code,n_bars,vwap,close,close_vs_vwap_pct,intraday_high,intraday_low,from_intraday_high_pct,from_prev_close_pct,max_intraday_dd_pct,max_dd_time,max_5m_drop_pct,max_5m_drop_time,volume_spike_2x,volume_spike_3x,volume_spike_opening,max_volume_ratio,near_trail_stop,analysis_end_time,is_partial_day
001120,369,46195.2,46100.0,-0.21,47200.0,45250.0,-2.33,-2.68,-4.03,10:17,-1.39,13:47,29,8,0,4.7,False,15:19,False
003690,367,13189.8,13200.0,0.08,13320.0,12970.0,-0.9,4.62,-2.04,10:56,-0.69,10:35,31,21,0,10.0,False,15:19,False
004690,360,149819.9,150600.0,0.52,152200.0,147000.0,-1.05,,-2.5,10:54,-0.85,09:38,40,15,0,13.9,False,15:19,False
005830,369,183298.0,184500.0,0.66,185000.0,180100.0,-0.27,5.5,-2.59,10:29,-0.87,10:00,18,5,0,5.5,False,15:19,False
016360,369,94712.7,94900.0,0.2,98000.0,93200.0,-3.16,-1.55,-4.69,11:11,-0.93,09:32,16,3,0,3.3,False,15:19,False
023530,369,104836.2,105200.0,0.35,105800.0,103000.0,-0.57,,-2.0,09:01,-1.14,14:22,26,13,0,7.5,False,15:19,False
024110,369,23156.0,23200.0,0.19,23850.0,22800.0,-2.73,,-4.3,10:55,-0.64,09:39,33,17,0,9.9,False,15:19,False
028050,369,34292.9,34050.0,-0.71,38000.0,32650.0,-10.39,-5.24,-14.08,10:48,-3.11,09:18,21,5,0,3.9,True,15:19,False
033780,369,155764.8,157800.0,1.31,159300.0,154100.0,-0.94,3.59,-3.26,11:11,-0.58,09:39,40,20,0,8.1,False,15:19,False
055550,369,89725.9,89900.0,0.19,93600.0,88200.0,-3.95,-3.26,-5.66,11:11,-1.22,09:39,24,6,0,4.3,False,15:19,False
069960,369,85056.8,84900.0,-0.18,87300.0,84000.0,-2.75,-1.02,-3.67,11:08,-1.61,09:13,19,4,0,4.1,False,15:19,False
078930,369,66524.5,67600.0,1.62,67800.0,65000.0,-0.29,-2.43,-3.98,10:51,-0.89,14:28,23,6,0,4.4,False,15:19,False
086790,369,106615.7,107300.0,0.64,109700.0,105000.0,-2.19,0.38,-4.1,11:10,-0.75,09:39,16,6,0,4.6,False,15:19,False
105560,369,146609.2,147000.0,0.27,150500.0,144100.0,-2.33,0.19,-4.05,11:11,-0.82,09:39,9,2,0,3.9,False,15:19,False
138930,369,17884.3,18010.0,0.7,18300.0,17610.0,-1.58,-0.82,-3.66,10:53,-0.77,09:33,18,4,0,6.1,False,15:19,False
139130,369,16682.3,16640.0,-0.25,17000.0,16370.0,-2.12,0.99,-3.53,11:11,-0.77,09:11,21,9,0,5.1,False,15:19,False
161390,369,55421.7,55800.0,0.68,56600.0,54300.0,-1.41,0.89,-3.89,10:18,-1.07,09:12,25,18,0,11.5,False,15:19,False
175330,369,28737.2,28900.0,0.57,29950.0,27800.0,-3.51,-0.06,-6.51,10:56,-1.03,09:17,39,8,0,4.6,False,15:19,False
316140,369,32070.0,32350.0,0.87,32900.0,31500.0,-1.67,2.4,-4.26,11:11,-0.77,09:39,32,17,0,13.6,False,15:19,False
417310,146,9604.4,9610.0,0.06,9690.0,9470.0,-0.83,-2.42,-1.55,14:20,-0.52,09:24,22,14,0,57.5,False,15:19,True
