ticker,entry_date,exit_date,pnl,pnl_pct,exit_reason
014680,2020-02-12,2020-02-24,-628261.2449999996,-0.13426178315989237,TRAIL
093920,2020-02-12,2020-02-24,-384022.69049999956,-0.08093513941569305,TRAIL
051360,2020-02-12,2020-02-24,-513887.94599999953,-0.10819682800319692,TRAIL
000080,2020-02-12,2020-02-27,-330464.4000000004,-0.06981489054085271,TRAIL
101240,2020-02-12,2020-02-27,-291127.79760000017,-0.06129326357525165,TRAIL
086450,2020-02-12,2020-02-28,-320632.1655000001,-0.06760322625121405,TRAIL
000660,2020-02-12,2020-02-28,-609819.3600000003,-0.12895498534893834,TRAIL
005930,2020-02-12,2020-02-28,-493680.3300000001,-0.10484186966083532,TRAIL
005935,2020-02-12,2020-02-28,-537579.23,-0.11399493121972232,TRAIL
094280,2020-02-12,2020-02-28,-643595.2949999999,-0.13556785933799892,TRAIL
003800,2020-02-12,2020-03-06,-680490.4500000002,-0.14330777670195408,TRAIL
036800,2020-02-12,2020-03-09,-290615.2000000002,-0.0612925203583447,TRAIL
035720,2020-02-12,2020-03-09,-74963.13784999959,-0.01583385743472098,TRAIL
229640,2020-02-12,2020-03-10,-618779.0559999999,-0.13040515602179442,TRAIL
035420,2020-02-12,2020-03-12,-430040.625,-0.09388997734572455,TRAIL
008490,2020-02-12,2020-03-12,-495838.33749999944,-0.10522186118354626,TRAIL
004800,2020-02-12,2020-03-12,-598761.5153999999,-0.12624332884355075,TRAIL
082920,2020-02-12,2020-03-13,-845054.8951000003,-0.1780249299195862,TRAIL
101240,2020-03-12,2020-03-13,-603175.4589000004,-0.1397965533424544,TRAIL
058470,2020-02-12,2020-03-16,-433217.3328,-0.09129292600421654,TRAIL
014680,2020-03-12,2020-03-16,-554133.25,-0.12952139485232456,TRAIL
093920,2020-03-12,2020-03-16,-767088.824,-0.17782308965379467,TRAIL
229640,2020-03-12,2020-03-16,-579356.0984999998,-0.13444164211157167,TRAIL
111110,2020-02-12,2020-03-17,-743957.435,-0.15703779938784684,TRAIL
006400,2020-03-12,2020-03-17,-610245.7454999997,-0.14487514059001844,TRAIL
036570,2020-03-12,2020-03-17,-518773.7999999998,-0.1306550417095982,TRAIL
086450,2020-03-12,2020-03-18,-757905.6874000002,-0.1763143067974529,TRAIL
035420,2020-03-12,2020-03-18,-615655.0,-0.14469360235728912,TRAIL
035720,2020-03-12,2020-03-18,-683524.4543999997,-0.15913066660890315,TRAIL
000660,2020-03-12,2020-03-18,-561612.7650000001,-0.13125734760633867,TRAIL
000080,2020-03-12,2020-03-19,-752560.0649999995,-0.17476822558013078,TRAIL
293940,2020-03-12,2020-03-19,-578922.3015000001,-0.13415211035447763,TRAIL
005935,2020-03-12,2020-03-19,-780414.25,-0.18086259965772541,TRAIL
003800,2020-03-12,2020-03-19,-832740.9250000003,-0.1931911213496884,TRAIL
088260,2020-03-12,2020-03-20,-571248.2630000003,-0.13242420943682465,TRAIL
