ticker,entry_date,exit_date,pnl,pnl_pct,exit_reason
021050,2020-02-12,2020-02-13,-819742.881,-0.17259431956280583,TRAIL
002410,2020-02-12,2020-02-17,-600125.7599999998,-0.1263993775579136,TRAIL
18064K,2020-02-12,2020-02-20,-131042.09999999963,-0.02770192056912321,TRAIL
026940,2020-02-12,2020-02-21,-761251.5,-0.16031563701742996,TRAIL
084680,2020-02-12,2020-02-21,-702950.2479999997,-0.14799026746617808,TRAIL
000145,2020-02-12,2020-02-24,-477092.25,-0.10047316553705174,TRAIL
068290,2020-02-12,2020-02-24,-516156.9299999997,-0.10881010328055617,TRAIL
007700,2020-02-12,2020-02-24,-565166.2425000002,-0.11911527095952334,TRAIL
281820,2020-02-12,2020-02-24,-309719.2000000002,-0.06545434835247525,TRAIL
097520,2020-02-12,2020-02-24,314617.93000000063,0.0664362045970082,TRAIL
002070,2020-02-12,2020-02-24,-605568.3455000003,-0.12759353980276772,TRAIL
033250,2020-02-12,2020-02-24,-674049.3556500003,-0.14191603843305836,TRAIL
267850,2020-02-12,2020-02-24,-792596.2919999999,-0.16693780644162046,TRAIL
004710,2020-02-12,2020-02-24,-547938.5173999993,-0.11540555466623298,TRAIL
000990,2020-02-12,2020-02-27,-443936.5175000001,-0.09399111375900018,TRAIL
006060,2020-02-12,2020-02-27,-397305.7000000002,-0.08376766718273988,TRAIL
000140,2020-02-12,2020-02-27,-693407.0,-0.14636739178516137,TRAIL
004770,2020-02-12,2020-02-27,-656231.8544999999,-0.13820166411276036,TRAIL
003230,2020-02-12,2020-02-27,-478530.2400000002,-0.10265905548825041,TRAIL
007810,2020-02-12,2020-02-28,-736868.0924999998,-0.15522479887429064,TRAIL
007810,2020-03-12,2020-03-13,-540938.44,-0.12740773084719623,TRAIL
006060,2020-03-12,2020-03-13,-665481.3904999997,-0.15672851221095735,TRAIL
000145,2020-03-12,2020-03-13,-894979.2100000004,-0.21093703779115563,TRAIL
000140,2020-03-12,2020-03-13,-710354.7719999999,-0.16752580686057186,TRAIL
18064K,2020-03-12,2020-03-13,-660427.1675,-0.15651799050194692,TRAIL
002070,2020-03-12,2020-03-13,-564373.07785,-0.13291988453349649,TRAIL
084680,2020-03-12,2020-03-13,-696967.9499999997,-0.1642407713541487,TRAIL
004270,2020-03-12,2020-03-13,-995179.2592500001,-0.2343982545073166,TRAIL
004835,2020-03-12,2020-03-13,-582942.4420000003,-0.13739330539110797,TRAIL
241590,2020-03-12,2020-03-13,-615989.8599999994,-0.14530565968539152,TRAIL
002410,2020-03-12,2020-03-13,-566865.6350000002,-0.13348448496827078,TRAIL
000990,2020-03-12,2020-03-16,-722064.0899999999,-0.17044420893993883,TRAIL
021050,2020-03-12,2020-03-16,-565701.1029999997,-0.13327121509009401,TRAIL
097520,2020-03-12,2020-03-16,-737537.5049999994,-0.1749089618913746,TRAIL
006405,2020-03-12,2020-03-17,-574429.3349000001,-0.1377767537694388,TRAIL
012510,2020-03-12,2020-03-18,-820891.5,-0.19466964842283227,TRAIL
001630,2020-03-12,2020-03-18,-695214.0,-0.16533700530104664,TRAIL
030190,2020-03-12,2020-03-18,-610105.6249999995,-0.14393122566582667,TRAIL
019175,2020-03-12,2020-03-19,-552976.2999999998,-0.13044141028861583,TRAIL
007700,2020-03-12,2020-03-23,-784706.7849999997,-0.18600033430942164,TRAIL
021050,2020-04-10,2020-04-13,-472054.0789999999,-0.1310898506985423,TRAIL
008350,2020-04-10,2020-04-13,-621935.1600000001,-0.17289269882008576,TRAIL
084680,2020-04-10,2020-04-13,-549809.696,-0.15262409987596484,TRAIL
019175,2020-04-10,2020-04-14,-853164.9024999999,-0.23937777805523644,TRAIL
004835,2020-04-10,2020-04-16,-208766.38049999997,-0.0580401288518204,TRAIL
180640,2020-04-10,2020-04-20,-135888.27000000002,-0.038518695157303315,TRAIL
18064K,2020-04-10,2020-04-20,-89400.375,-0.02503965865122617,TRAIL
900140,2020-04-10,2020-05-12,-284659.14910000004,-0.07903610958058507,TRAIL
007810,2020-04-10,2020-05-15,210515.1505,0.058455374841100215,REBAL
000145,2020-04-10,2020-05-15,363754.6200000001,0.10116293092212252,REBAL
097520,2020-04-10,2020-05-15,-106415.82499999972,-0.02967229740373202,REBAL
023150,2020-04-10,2020-05-15,140185.08850000007,0.03893115119930312,REBAL
006405,2020-04-10,2020-05-15,572753.3902999996,0.16307593124401823,REBAL
035720,2020-04-10,2020-05-15,1568002.1363000004,0.43567679521676167,REBAL
001070,2020-04-10,2020-05-15,77017.80000000028,0.02144072777843949,REBAL
019175,2020-05-15,2020-05-19,-519933.5325000002,-0.1402967003700668,TRAIL
020120,2020-04-10,2020-05-22,893929.5280000004,0.24833204191417504,TRAIL
012690,2020-05-15,2020-05-22,-537643.1639999999,-0.1442035575438056,TRAIL
000990,2020-04-10,2020-05-29,653799.335,0.18186202050214864,TRAIL
002720,2020-05-15,2020-06-03,-571184.869,-0.15319045968916023,TRAIL
012510,2020-04-10,2020-06-05,1029372.0799999996,0.28602138140893163,TRAIL
900140,2020-05-15,2020-06-05,135083.0604000003,0.036242179142433,TRAIL
002070,2020-04-10,2020-06-11,861455.6751500005,0.23913401983849605,TRAIL
011150,2020-05-15,2020-06-11,-361118.32224999974,-0.0969338650382568,TRAIL
021050,2020-05-15,2020-06-12,-121377.33099999977,-0.03254971068984947,TRAIL
004540,2020-05-15,2020-06-12,-461995.0125000002,-0.12392961878886015,TRAIL
033250,2020-04-10,2020-06-15,-450741.3223000001,-0.12511896106119894,TRAIL
180640,2020-05-15,2020-06-15,270630.93500000006,0.07280368083033627,TRAIL
18064K,2020-05-15,2020-06-15,-7249.435000000056,-0.001962732151387804,TRAIL
008350,2020-05-15,2020-06-15,352893.1660000002,0.09472015742207751,TRAIL
011000,2020-05-15,2020-06-15,26121.41280000005,0.0070073261902658225,TRAIL
084680,2020-05-15,2020-06-15,-410152.71750000026,-0.1099919680181412,TRAIL
019170,2020-05-15,2020-06-17,1346603.8349999995,0.36122489510894235,TRAIL
005320,2020-06-15,2020-06-17,-562642.0635000002,-0.14883973477893792,TRAIL
005690,2020-06-15,2020-06-18,-495680.80249999976,-0.13137459186509498,TRAIL
004835,2020-05-15,2020-06-19,1224818.3445000001,0.3290757295776524,TRAIL
006405,2020-06-15,2020-06-23,-525993.8054,-0.14556390014560713,TRAIL
011000,2020-06-15,2020-06-23,-634032.5722500002,-0.1678037052590892,TRAIL
020120,2020-06-15,2020-06-29,39078.28799999971,0.010338111172151948,TRAIL
019175,2020-06-15,2020-06-29,-95196.3999999999,-0.02526223429665871,TRAIL
180640,2020-06-15,2020-06-30,-465000.27,-0.12421537600180844,TRAIL
012510,2020-06-15,2020-07-01,-476061.2999999998,-0.1263993775579136,TRAIL
021050,2020-06-15,2020-07-07,1298187.9247499998,0.3434339571992208,TRAIL
000080,2020-05-15,2020-07-14,790919.7474999996,0.21246570598935866,REBAL
000990,2020-06-15,2020-07-14,208313.8200000003,0.055309551910040375,REBAL
012690,2020-06-15,2020-07-14,-298842.39000000013,-0.07905585995460063,REBAL
084680,2020-06-15,2020-07-14,-48487.93949999986,-0.012831296640442403,REBAL
008490,2020-06-15,2020-07-14,25373.52000000002,0.006788914060306062,REBAL
900140,2020-06-15,2020-07-14,-252998.72054999974,-0.06692969064956736,REBAL
005690,2020-07-14,2020-07-17,214488.0,0.05766624196127941,TRAIL
035420,2020-06-15,2020-07-20,329222.25,0.09134557758577636,TRAIL
035720,2020-06-15,2020-07-20,601093.2619999996,0.16065148604109947,TRAIL
007575,2020-07-14,2020-07-23,1707847.2000000002,0.46456574938820366,TRAIL
03473K,2020-07-14,2020-07-23,-81937.875,-0.022925421479584193,TRAIL
019170,2020-07-14,2020-07-24,2971092.48,0.7967353007958373,TRAIL
019175,2020-07-14,2020-07-24,5146475.85,1.3818720970883482,TRAIL
180640,2020-07-14,2020-07-27,-341808.0900000003,-0.09224702445717464,TRAIL
007570,2020-07-14,2020-07-31,1141358.7999999998,0.3071249313289717,TRAIL
28513K,2020-07-14,2020-07-31,5770052.350649999,1.5443098029188702,TRAIL
003000,2020-07-14,2020-08-03,-134049.11485,-0.03592379570938905,TRAIL
021050,2020-07-14,2020-08-06,-327648.7829999998,-0.08774083032858665,TRAIL
020120,2020-07-14,2020-08-10,669738.2534999996,0.17920890975378306,TRAIL
207940,2020-06-15,2020-08-12,-67006.03335000016,-0.018546786446644897,REBAL
000140,2020-07-14,2020-08-12,-97477.875,-0.026226506184554427,REBAL
005320,2020-07-14,2020-08-12,1264889.0089999996,0.3384959296808669,REBAL
002070,2020-07-14,2020-08-12,-102740.98849999998,-0.027500806504951732,REBAL
007575,2020-08-12,2020-08-13,-829497.06,-0.18169829695849773,TRAIL
007570,2020-08-12,2020-08-13,-626876.0,-0.1374656247401109,TRAIL
006405,2020-07-14,2020-08-18,400202.91039999994,0.10984273761975864,TRAIL
