ticker,entry_date,exit_date,pnl,pnl_pct,exit_reason
139670,2020-02-12,2020-02-13,-1033597.4780000006,-0.21776211901767523,TRAIL
082270,2020-02-12,2020-02-17,-573764.895,-0.12108850152720847,TRAIL
101360,2020-02-12,2020-02-18,-590318.6737500001,-0.12440462203828595,TRAIL
214150,2020-02-12,2020-02-21,-673497.1600000001,-0.14193677271138194,TRAIL
143540,2020-02-12,2020-02-21,-457056.875,-0.09622744416608124,TRAIL
032500,2020-02-12,2020-02-24,-421262.51999999955,-0.08961125832305362,TRAIL
088290,2020-02-12,2020-02-24,-598984.6875,-0.12612314020694385,TRAIL
033250,2020-02-12,2020-02-24,-674049.3556500003,-0.14191603843305836,TRAIL
002070,2020-02-12,2020-02-24,-605568.3455000003,-0.12759353980276772,TRAIL
138080,2020-02-12,2020-02-24,-558073.7324999999,-0.11830944253336957,TRAIL
179900,2020-02-12,2020-02-24,-764193.4500000002,-0.16134340245559714,TRAIL
066310,2020-02-12,2020-02-25,318400.40249999985,0.06704076026854827,TRAIL
050760,2020-02-12,2020-02-26,-129889.40550000034,-0.027354211446645346,TRAIL
123040,2020-02-12,2020-02-26,-491016.7259999998,-0.10337551068607546,TRAIL
073110,2020-02-12,2020-02-27,-444574.48000000045,-0.09369225390800588,TRAIL
036540,2020-02-12,2020-02-27,-605702.4749999996,-0.12761835517062348,TRAIL
207760,2020-02-12,2020-02-27,-407697.2938000001,-0.08585136174401982,TRAIL
101490,2020-02-12,2020-02-28,-111870.41249999963,-0.023622833741197547,TRAIL
200350,2020-02-12,2020-02-28,-731135.4575,-0.15393505675160496,TRAIL
078130,2020-02-12,2020-03-12,-606375.5582499998,-0.12769417848046172,TRAIL
032500,2020-03-12,2020-03-13,-549080.7599999998,-0.1288348702022976,TRAIL
18064K,2020-03-12,2020-03-13,-667235.6949999994,-0.15651799050194679,TRAIL
196170,2020-03-12,2020-03-13,-622105.8368000002,-0.14636109182052565,TRAIL
139670,2020-03-12,2020-03-13,-625372.3049999997,-0.14659109005775428,TRAIL
138080,2020-03-12,2020-03-13,-559725.8250000002,-0.13150868668133478,TRAIL
207760,2020-03-12,2020-03-13,-627490.7496000002,-0.14704811954290847,TRAIL
066310,2020-03-12,2020-03-13,-1152859.7999999998,-0.27103882081997455,TRAIL
078130,2020-03-12,2020-03-13,-658165.4100000001,-0.1543649359449651,TRAIL
089010,2020-03-12,2020-03-13,-615100.2299999995,-0.1442035575438055,TRAIL
078070,2020-03-12,2020-03-13,-1131549.17,-0.2656285271937272,TRAIL
021050,2020-03-12,2020-03-16,-568571.0635000002,-0.13327121509009413,TRAIL
214150,2020-03-12,2020-03-16,-660807.2385000004,-0.15516489370557202,TRAIL
036540,2020-03-12,2020-03-16,-620339.4165000003,-0.14539292533742756,TRAIL
083450,2020-03-12,2020-03-16,-1023833.2180000003,-0.24026905111561625,TRAIL
101490,2020-03-12,2020-03-16,-725167.1699999999,-0.17007940868001795,TRAIL
088290,2020-03-12,2020-03-18,-595618.9540000004,-0.1397873070968387,TRAIL
200350,2020-03-12,2020-03-18,-583790.3999999999,-0.13688258502721867,TRAIL
101360,2020-03-12,2020-03-19,-261560.91995,-0.0613422989465583,TRAIL
258610,2020-03-12,2020-03-20,-442767.3499999996,-0.10405598617352119,TRAIL
107640,2020-03-12,2020-04-10,-17466.0,-0.004095290416021575,REBAL
096530,2020-04-10,2020-04-14,-462012.56999999983,-0.12753578627707096,TRAIL
18064K,2020-04-10,2020-04-20,-90592.38000000035,-0.025039658651226267,TRAIL
258610,2020-04-10,2020-04-20,64866.314999999944,0.017712841910634873,TRAIL
101360,2020-04-10,2020-04-22,43087.34819999989,0.011763064832130918,TRAIL
088290,2020-04-10,2020-04-24,-486677.5549999997,-0.13311021870303688,TRAIL
078130,2020-04-10,2020-04-24,308528.42799999984,0.08426594074854578,TRAIL
200350,2020-04-10,2020-04-29,-341046.4415000002,-0.09310532348170604,TRAIL
051380,2020-04-10,2020-05-04,-514938.2009999999,-0.14061256521292645,TRAIL
256940,2020-04-10,2020-05-15,2558012.0456000003,0.6995441214342193,TRAIL
083450,2020-04-10,2020-05-15,748173.4024,0.20458437580348265,REBAL
196170,2020-04-10,2020-05-15,3451266.5760000004,0.9469403291708781,REBAL
138080,2020-04-10,2020-05-15,-28404.674999999814,-0.007783826377443666,REBAL
230240,2020-04-10,2020-05-15,356688.50985000003,0.09814769676434124,REBAL
078070,2020-04-10,2020-05-15,437332.14000000013,0.11996204364980277,REBAL
033640,2020-04-10,2020-05-15,-67844.39500000002,-0.01864584623786542,REBAL
070590,2020-05-15,2020-05-18,-975469.878,-0.2391170507898218,TRAIL
096530,2020-05-15,2020-05-19,-709302.4098999999,-0.17585479058234163,TRAIL
084650,2020-05-15,2020-05-19,-601344.5573999998,-0.14730441989516663,TRAIL
019175,2020-05-15,2020-05-19,-571284.9925000002,-0.1402967003700668,TRAIL
