timestamp,code,price,best_ask,best_bid,ask_qty_1,bid_qty_1,total_ask,total_bid,net_bid,volume
10:04:15.398,0088M0,33750.0,33750,33700,0,0,0,0,0,205914
10:05:14.658,0088M0,33450.0,33500,33450,0,0,0,0,0,208969
10:06:15.661,0088M0,33600.0,33650,33600,0,0,0,0,0,211897
10:07:17.337,0088M0,33900.0,33900,33850,0,0,0,0,0,218531
10:08:17.998,0088M0,33700.0,33700,33650,0,0,0,0,0,223563
10:09:18.058,0088M0,33950.0,34100,33950,0,0,0,0,0,228846
10:10:17.654,0088M0,34100.0,34100,33850,0,0,0,0,0,234024
10:11:19.945,0088M0,33850.0,33850,33800,0,0,0,0,0,237304
10:12:20.658,0088M0,33825.0,33850,33800,0,0,0,0,0,246748
10:13:19.573,0088M0,33800.0,33900,33800,0,0,0,0,0,248751
10:14:21.968,0088M0,33600.0,33650,33600,0,0,0,0,0,251122
10:15:23.233,0088M0,33350.0,33350,33250,0,0,0,0,0,256211
10:16:23.357,0088M0,33150.0,33200,33100,0,0,0,0,0,259367
10:17:21.961,0088M0,33300.0,33300,33250,0,0,0,0,0,262211
10:18:24.259,0088M0,33000.0,33200,33000,0,0,0,0,0,264509
10:19:24.048,0088M0,33050.0,33100,33050,0,0,0,0,0,264939
10:20:24.748,0088M0,33000.0,33050,33000,0,0,0,0,0,265798
10:21:25.348,0088M0,33200.0,33250,33100,0,0,0,0,0,266995
10:22:27.827,0088M0,33300.0,33350,33300,0,0,0,0,0,267296
10:23:26.962,0088M0,33000.0,33050,32900,0,0,0,0,0,271384
10:24:29.718,0088M0,32900.0,32900,32800,0,0,0,0,0,274507
10:25:29.542,0088M0,33350.0,33350,33000,0,0,0,0,0,275562
10:26:30.446,0088M0,33250.0,33350,33250,0,0,0,0,0,276911
10:27:30.354,0088M0,33300.0,33400,33300,0,0,0,0,0,278412
10:28:30.350,0088M0,32850.0,33050,32850,0,0,0,0,0,281261
10:29:29.240,0088M0,32600.0,32800,32600,0,0,0,0,0,284938
10:30:24.342,0088M0,32850.0,32850,32800,0,0,0,0,0,286558
10:31:31.552,0088M0,33100.0,33150,33000,0,0,0,0,0,288405
10:32:34.938,0088M0,33000.0,33250,33000,0,0,0,0,0,292661
10:33:33.343,0088M0,33200.0,33200,33050,0,0,0,0,0,293937
10:34:36.832,0088M0,33500.0,33550,33400,0,0,0,0,0,294506
10:35:36.038,0088M0,33400.0,33400,33350,0,0,0,0,0,295364
10:36:33.139,0088M0,33400.0,33450,33300,0,0,0,0,0,295683
10:37:37.841,0088M0,33400.0,33650,33400,0,0,0,0,0,298533
10:38:38.548,0088M0,33250.0,33450,33250,0,0,0,0,0,299506
10:39:40.095,0088M0,33150.0,33150,33100,0,0,0,0,0,300077
10:40:40.713,0088M0,33000.0,33150,33000,0,0,0,0,0,300719
10:41:41.365,0088M0,33000.0,33000,32900,0,0,0,0,0,301452
10:42:39.330,0088M0,33000.0,33100,33000,0,0,0,0,0,301827
10:43:39.228,0088M0,32950.0,33050,32950,0,0,0,0,0,302071
10:44:41.830,0088M0,32850.0,32950,32850,0,0,0,0,0,302858
10:45:34.645,0088M0,32950.0,32950,32900,0,0,0,0,0,303102
10:46:43.926,0088M0,32950.0,32950,32900,0,0,0,0,0,303747
10:47:44.439,0088M0,32950.0,33000,32850,0,0,0,0,0,305412
10:48:46.498,0088M0,32850.0,33000,32850,0,0,0,0,0,305689
10:49:46.529,0088M0,33000.0,33000,32950,0,0,0,0,0,306650
10:50:42.721,0088M0,33050.0,33050,32900,0,0,0,0,0,307009
10:51:47.234,0088M0,33000.0,33150,32950,0,0,0,0,0,307810
10:52:47.519,0088M0,33150.0,33150,33050,0,0,0,0,0,307999
10:53:44.727,0088M0,33300.0,33400,33300,0,0,0,0,0,308770
10:54:48.737,0088M0,33250.0,33300,33250,0,0,0,0,0,310596
10:55:45.022,0088M0,33050.0,33250,33050,0,0,0,0,0,310975
10:56:40.515,0088M0,33200.0,33200,33100,0,0,0,0,0,311159
10:57:51.714,0088M0,33000.0,33100,33000,0,0,0,0,0,311909
10:58:38.214,0088M0,33000.0,33000,32950,0,0,0,0,0,312975
10:59:47.218,0088M0,33050.0,33050,32950,0,0,0,0,0,313533
11:00:52.022,0088M0,33200.0,33200,33100,0,0,0,0,0,313714
11:01:51.014,0088M0,33050.0,33050,33000,0,0,0,0,0,313766
11:02:41.311,0088M0,32800.0,33000,32800,0,0,0,0,0,314597
11:03:57.116,0088M0,32950.0,33050,32900,0,0,0,0,0,315097
11:04:55.912,0088M0,33200.0,33300,33200,0,0,0,0,0,315569
11:05:55.213,0088M0,33300.0,33300,33200,0,0,0,0,0,317769
11:06:59.616,0088M0,33300.0,33300,33150,0,0,0,0,0,318393
11:07:58.209,0088M0,33350.0,33450,33350,0,0,0,0,0,318920
11:08:56.001,0088M0,33375.0,33400,33350,0,0,0,0,0,319143
11:09:49.709,0088M0,33500.0,33550,33400,0,0,0,0,0,320520
11:10:58.915,0088M0,33500.0,33500,33450,0,0,0,0,0,320667
11:12:02.846,0088M0,33950.0,33950,33850,0,0,0,0,0,325861
11:13:01.103,0088M0,34100.0,34150,34050,0,0,0,0,0,332933
11:14:04.175,0088M0,33900.0,33950,33850,0,0,0,0,0,341377
11:15:01.606,0088M0,33800.0,33800,33750,0,0,0,0,0,344274
11:15:59.298,0088M0,33900.0,33900,33850,0,0,0,0,0,345360
11:17:06.648,0088M0,33800.0,33900,33800,0,0,0,0,0,346536
11:17:59.310,0088M0,33900.0,34000,33750,0,0,0,0,0,348445
11:19:02.804,0088M0,34200.0,34250,34100,0,0,0,0,0,351993
11:20:06.214,0088M0,33950.0,34000,33900,0,0,0,0,0,355997
11:21:09.176,0088M0,33750.0,33800,33750,0,0,0,0,0,356774
11:22:09.855,0088M0,34500.0,34600,34500,0,0,0,0,0,371089
11:23:10.468,0088M0,35300.0,35400,35300,0,0,0,0,0,402423
11:24:11.717,0088M0,34900.0,34950,34800,0,0,0,0,0,423406
11:25:12.337,0088M0,34600.0,34600,34500,0,0,0,0,0,436626
11:26:12.941,0088M0,34350.0,34500,34350,0,0,0,0,0,448285
11:27:13.543,0088M0,34200.0,34250,34200,0,0,0,0,0,453934
11:28:14.141,0088M0,33850.0,33850,33800,0,0,0,0,0,460114
11:29:14.784,0088M0,33900.0,33900,33800,0,0,0,0,0,463966
11:30:14.093,0088M0,33950.0,33950,33850,0,0,0,0,0,465335
11:31:12.495,0088M0,33900.0,34000,33850,0,0,0,0,0,466977
11:32:15.995,0088M0,34000.0,34050,34000,0,0,0,0,0,469061
11:33:17.348,0088M0,33800.0,33850,33800,0,0,0,0,0,470494
