timestamp,code,price,best_ask,best_bid,ask_qty_1,bid_qty_1,total_ask,total_bid,net_bid,volume
10:16:53.710,072990,5350.0,5350,5340,0,0,0,0,0,422331
10:17:51.355,072990,5250.0,5250,5210,0,0,0,0,0,451202
10:18:53.855,072990,5210.0,5210,5200,0,0,0,0,0,461821
10:19:54.945,072990,5170.0,5170,5150,0,0,0,0,0,470107
10:20:52.251,072990,5140.0,5160,5130,0,0,0,0,0,481914
10:21:44.854,072990,5200.0,5200,5180,0,0,0,0,0,492576
10:22:57.897,072990,5200.0,5200,5170,0,0,0,0,0,495380
10:23:56.742,072990,5260.0,5260,5220,0,0,0,0,0,502667
10:24:59.821,072990,5190.0,5190,5160,0,0,0,0,0,506777
10:25:50.541,072990,5230.0,5230,5190,0,0,0,0,0,508722
10:26:54.772,072990,5160.0,5160,5130,0,0,0,0,0,511598
10:27:59.345,072990,5160.0,5160,5130,0,0,0,0,0,513982
10:28:59.550,072990,5150.0,5150,5120,0,0,0,0,0,519196
10:29:59.236,072990,5190.0,5190,5170,0,0,0,0,0,521943
10:31:02.442,072990,5230.0,5230,5190,0,0,0,0,0,531303
10:31:59.743,072990,5150.0,5150,5140,0,0,0,0,0,534932
10:33:01.437,072990,5150.0,5160,5140,0,0,0,0,0,538481
10:34:01.348,072990,5120.0,5140,5120,0,0,0,0,0,538999
10:35:04.347,072990,5270.0,5310,5250,0,0,0,0,0,552358
10:36:06.131,072990,5240.0,5260,5240,0,0,0,0,0,558887
10:37:07.245,072990,5225.0,5240,5210,0,0,0,0,0,565719
10:38:08.337,072990,5320.0,5320,5270,0,0,0,0,0,574282
10:39:06.838,072990,5320.0,5320,5290,0,0,0,0,0,582820
10:40:08.442,072990,5270.0,5270,5260,0,0,0,0,0,586013
10:41:05.437,072990,5250.0,5260,5250,0,0,0,0,0,589170
10:42:11.038,072990,5250.0,5280,5250,0,0,0,0,0,589484
10:43:05.446,072990,5260.0,5280,5260,0,0,0,0,0,590697
10:44:09.034,072990,5250.0,5260,5250,0,0,0,0,0,592118
10:45:13.765,072990,5250.0,5260,5250,0,0,0,0,0,592574
10:46:13.432,072990,5240.0,5260,5230,0,0,0,0,0,593784
10:47:01.630,072990,5270.0,5270,5230,0,0,0,0,0,595746
10:48:11.428,072990,5290.0,5290,5240,0,0,0,0,0,600329
10:49:11.036,072990,5290.0,5300,5250,0,0,0,0,0,602272
10:50:16.634,072990,5280.0,5310,5260,0,0,0,0,0,607831
10:50:48.833,072990,5290.0,5290,5250,0,0,0,0,0,608631
10:51:57.131,072990,5290.0,5290,5260,0,0,0,0,0,609675
10:53:14.233,072990,5260.0,5300,5260,0,0,0,0,0,611713
10:54:19.038,072990,5270.0,5300,5270,0,0,0,0,0,611793
10:55:00.434,072990,5270.0,5320,5270,0,0,0,0,0,613135
10:56:11.917,072990,5280.0,5310,5270,0,0,0,0,0,613598
10:57:16.332,072990,5250.0,5250,5240,0,0,0,0,0,614775
10:58:21.929,072990,5220.0,5240,5220,0,0,0,0,0,618366
10:59:20.327,072990,5200.0,5230,5200,0,0,0,0,0,620079
11:00:20.223,072990,5230.0,5230,5210,0,0,0,0,0,620387
11:00:36.816,072990,5210.0,5230,5200,0,0,0,0,0,620479
11:02:24.819,072990,5200.0,5230,5200,0,0,0,0,0,624291
11:03:24.831,072990,5220.0,5220,5190,0,0,0,0,0,624930
11:04:08.723,072990,5220.0,5220,5210,0,0,0,0,0,625527
11:05:27.124,072990,5210.0,5230,5210,0,0,0,0,0,626937
11:06:17.615,072990,5210.0,5230,5210,0,0,0,0,0,628589
11:07:29.698,072990,5230.0,5240,5230,0,0,0,0,0,631065
11:08:22.820,072990,5240.0,5240,5220,0,0,0,0,0,632483
11:09:24.116,072990,5220.0,5240,5220,0,0,0,0,0,633524
11:10:18.920,072990,5250.0,5250,5220,0,0,0,0,0,634518
11:11:22.021,072990,5280.0,5280,5250,0,0,0,0,0,637698
11:12:07.206,072990,5240.0,5260,5220,0,0,0,0,0,638751
11:13:33.569,072990,5240.0,5240,5220,0,0,0,0,0,639306
11:14:19.715,072990,5220.0,5240,5220,0,0,0,0,0,640355
11:15:01.208,072990,5210.0,5240,5210,0,0,0,0,0,641308
11:16:28.818,072990,5200.0,5230,5200,0,0,0,0,0,644529
11:17:19.714,072990,5230.0,5230,5220,0,0,0,0,0,644701
11:18:28.114,072990,5240.0,5240,5210,0,0,0,0,0,647774
11:19:35.999,072990,5290.0,5290,5260,0,0,0,0,0,651083
11:20:35.306,072990,5240.0,5250,5230,0,0,0,0,0,653241
11:21:12.013,072990,5250.0,5250,5210,0,0,0,0,0,653304
11:22:36.203,072990,5200.0,5220,5200,0,0,0,0,0,653706
11:23:33.699,072990,5210.0,5220,5200,0,0,0,0,0,654700
11:24:41.061,072990,5190.0,5210,5190,0,0,0,0,0,655594
11:25:30.911,072990,5190.0,5210,5190,0,0,0,0,0,655799
11:26:37.701,072990,5140.0,5160,5140,0,0,0,0,0,659805
11:27:34.008,072990,5150.0,5150,5140,0,0,0,0,0,663245
11:28:35.004,072990,5130.0,5140,5130,0,0,0,0,0,663865
11:29:43.807,072990,5120.0,5120,5080,0,0,0,0,0,666348
11:30:42.602,072990,5120.0,5120,5110,0,0,0,0,0,667012
11:31:11.198,072990,5140.0,5170,5130,0,0,0,0,0,668824
11:32:37.403,072990,5130.0,5130,5120,0,0,0,0,0,669988
11:33:40.994,072990,5120.0,5130,5110,0,0,0,0,0,670287
11:34:43.394,072990,5050.0,5120,5050,0,0,0,0,0,674417
11:35:47.794,072990,5100.0,5100,5060,0,0,0,0,0,679922
11:36:17.098,072990,5070.0,5090,5040,0,0,0,0,0,687266
11:37:46.787,072990,5070.0,5070,5060,0,0,0,0,0,690831
11:38:45.805,072990,5040.0,5080,5040,0,0,0,0,0,694160
11:39:45.993,072990,5030.0,5080,5030,0,0,0,0,0,695772
11:40:50.498,072990,5080.0,5100,5060,0,0,0,0,0,696795
11:41:31.894,072990,5140.0,5140,5080,0,0,0,0,0,699353
11:42:46.702,072990,5160.0,5180,5160,0,0,0,0,0,704978
11:43:52.785,072990,5180.0,5190,5150,0,0,0,0,0,711405
11:44:38.984,072990,5190.0,5190,5160,0,0,0,0,0,711723
11:45:49.486,072990,5150.0,5180,5150,0,0,0,0,0,712451
11:46:27.195,072990,5120.0,5170,5120,0,0,0,0,0,712603
11:47:46.591,072990,5120.0,5120,5110,0,0,0,0,0,715837
11:48:02.381,072990,5160.0,5160,5120,0,0,0,0,0,715839
11:49:58.634,072990,5130.0,5140,5130,0,0,0,0,0,716057
11:50:54.690,072990,5140.0,5140,5130,0,0,0,0,0,716461
11:51:41.878,072990,5130.0,5140,5130,0,0,0,0,0,716485
11:52:34.286,072990,5160.0,5160,5130,0,0,0,0,0,717485
11:53:57.888,072990,5180.0,5180,5120,0,0,0,0,0,725230
11:54:58.882,072990,5190.0,5190,5160,0,0,0,0,0,727021
11:56:01.783,072990,5150.0,5150,5110,0,0,0,0,0,732027
11:57:01.683,072990,5160.0,5160,5150,0,0,0,0,0,732147
11:57:38.672,072990,5120.0,5120,5110,0,0,0,0,0,732682
11:58:48.772,072990,5150.0,5150,5110,0,0,0,0,0,732686
12:01:04.070,072990,5110.0,5120,5110,0,0,0,0,0,732918
12:01:58.482,072990,5120.0,5150,5120,0,0,0,0,0,736230
12:02:59.969,072990,5120.0,5160,5120,0,0,0,0,0,736274
12:04:07.935,072990,5200.0,5200,5140,0,0,0,0,0,737597
12:05:04.976,072990,5270.0,5270,5220,0,0,0,0,0,743272
12:06:00.267,072990,5210.0,5210,5200,0,0,0,0,0,747404
12:06:58.374,072990,5250.0,5250,5230,0,0,0,0,0,747643
12:08:08.366,072990,5240.0,5250,5240,0,0,0,0,0,748586
12:09:07.067,072990,5240.0,5240,5230,0,0,0,0,0,749390
12:09:14.164,072990,5230.0,5240,5230,0,0,0,0,0,749487
12:11:12.070,072990,5220.0,5220,5210,0,0,0,0,0,749563
12:12:12.572,072990,5220.0,5220,5210,0,0,0,0,0,751213
12:13:12.170,072990,5240.0,5250,5210,0,0,0,0,0,751448
12:13:48.081,072990,5230.0,5240,5230,0,0,0,0,0,751557
12:14:31.973,072990,5220.0,5240,5220,0,0,0,0,0,752497
12:15:31.568,072990,5220.0,5220,5210,0,0,0,0,0,752654
12:17:08.875,072990,5220.0,5220,5200,0,0,0,0,0,752943
12:18:01.357,072990,5200.0,5210,5200,0,0,0,0,0,752949
12:19:05.865,072990,5190.0,5190,5180,0,0,0,0,0,753938
12:20:19.209,072990,5200.0,5210,5180,0,0,0,0,0,754587
12:21:04.456,072990,5230.0,5230,5210,0,0,0,0,0,755784
12:22:30.571,072990,5210.0,5220,5210,0,0,0,0,0,756230
12:24:11.653,072990,5210.0,5220,5210,0,0,0,0,0,756485
12:25:09.860,072990,5190.0,5210,5190,0,0,0,0,0,756547
12:26:17.756,072990,5210.0,5210,5190,0,0,0,0,0,756925
12:26:57.057,072990,5200.0,5210,5190,0,0,0,0,0,758262
12:28:09.053,072990,5230.0,5230,5220,0,0,0,0,0,759224
12:29:21.159,072990,5290.0,5290,5240,0,0,0,0,0,765879
12:30:11.258,072990,5220.0,5240,5220,0,0,0,0,0,768812
12:30:42.853,072990,5220.0,5230,5220,0,0,0,0,0,768847
12:32:27.224,072990,5250.0,5250,5230,0,0,0,0,0,768857
12:33:23.350,072990,5250.0,5250,5230,0,0,0,0,0,769760
12:34:16.851,072990,5230.0,5260,5230,0,0,0,0,0,770188
12:35:28.460,072990,5210.0,5260,5210,0,0,0,0,0,774616
12:36:28.251,072990,5250.0,5250,5200,0,0,0,0,0,784529
12:36:42.943,072990,5240.0,5240,5200,0,0,0,0,0,784629
12:38:20.947,072990,5270.0,5270,5240,0,0,0,0,0,787255
