timestamp,tag,code,name,strategy_state,trigger_reason,bid,ask,bid_size,ask_size,last_price,expected_fill_price,pnl_pct,holding_seconds
2026-04-08 09:28:03.497,SURGE_CANDIDATE,005930,삼성전자,,rank=1 chg=7.12% vol_surge=False str=0,0,0,0,0,210500,0,0.0,0
2026-04-08 09:28:03.498,SURGE_CANDIDATE,047040,대우건설,,rank=2 chg=16.71% vol_surge=False str=0,0,0,0,0,20250,0,0.0,0
2026-04-08 09:28:03.499,SURGE_CANDIDATE,000660,SK하이닉스,,rank=3 chg=9.83% vol_surge=False str=0,0,0,0,0,1006000,0,0.0,0
2026-04-08 09:28:03.499,SURGE_CANDIDATE,010170,대한광통신,,rank=5 chg=5.85% vol_surge=False str=0,0,0,0,0,13380,0,0.0,0
2026-04-08 09:28:03.537,SURGE_CANDIDATE,028050,삼성E&A,,rank=8 chg=6.28% vol_surge=False str=0,0,0,0,0,50800,0,0.0,0
2026-04-08 09:28:03.538,SURGE_CANDIDATE,017900,광전자,,rank=10 chg=22.61% vol_surge=False str=0,0,0,0,0,9220,0,0.0,0
2026-04-08 09:28:03.538,SURGE_CANDIDATE,009150,삼성전기,,rank=11 chg=9.85% vol_surge=False str=0,0,0,0,0,502000,0,0.0,0
2026-04-08 09:28:03.539,SURGE_CANDIDATE,005380,현대차,,rank=12 chg=4.76% vol_surge=False str=0,0,0,0,0,495500,0,0.0,0
2026-04-08 09:28:03.540,SURGE_CANDIDATE,034020,두산에너빌리티,,rank=13 chg=5.48% vol_surge=False str=0,0,0,0,0,100100,0,0.0,0
2026-04-08 09:28:03.540,SURGE_CANDIDATE,042700,한미반도체,,rank=15 chg=8.88% vol_surge=False str=0,0,0,0,0,276000,0,0.0,0
2026-04-08 09:28:03.541,SURGE_CANDIDATE,015760,한국전력,,rank=16 chg=10.28% vol_surge=False str=0,0,0,0,0,44000,0,0.0,0
2026-04-08 09:28:03.541,SURGE_CANDIDATE,000720,현대건설,,rank=20 chg=8.34% vol_surge=False str=0,0,0,0,0,168900,0,0.0,0
2026-04-08 09:28:03.808,SURGE_TR_RECEIVED,,,,START 12 codes,0,0,0,0,0,0,0.0,0
2026-04-08 09:28:12.275,SIM_RESULT,,,,STOP trades=0,0,0,0,0,0,0,0.0,0
2026-04-08 09:28:30.996,SURGE_CANDIDATE,005930,삼성전자,,rank=1 chg=6.36% vol_surge=False str=0,0,0,0,0,209000,0,0.0,0
2026-04-08 09:28:30.997,SURGE_CANDIDATE,047040,대우건설,,rank=2 chg=19.6% vol_surge=False str=0,0,0,0,0,20750,0,0.0,0
2026-04-08 09:28:30.998,SURGE_CANDIDATE,000660,SK하이닉스,,rank=4 chg=9.06% vol_surge=False str=0,0,0,0,0,999000,0,0.0,0
2026-04-08 09:28:30.998,SURGE_CANDIDATE,006360,GS건설,,rank=5 chg=15.1% vol_surge=False str=0,0,0,0,0,33150,0,0.0,0
2026-04-08 09:28:30.999,SURGE_CANDIDATE,032820,우리기술,,rank=7 chg=10.53% vol_surge=False str=0,0,0,0,0,22050,0,0.0,0
2026-04-08 09:28:30.999,SURGE_CANDIDATE,000720,현대건설,,rank=8 chg=11.42% vol_surge=False str=0,0,0,0,0,173700,0,0.0,0
2026-04-08 09:28:31.000,SURGE_CANDIDATE,028050,삼성E&A,,rank=9 chg=6.69% vol_surge=False str=0,0,0,0,0,51000,0,0.0,0
2026-04-08 09:28:31.000,SURGE_CANDIDATE,034020,두산에너빌리티,,rank=10 chg=5.9% vol_surge=False str=0,0,0,0,0,100500,0,0.0,0
2026-04-08 09:28:31.001,SURGE_CANDIDATE,010170,대한광통신,,rank=11 chg=3.32% vol_surge=False str=0,0,0,0,0,13060,0,0.0,0
2026-04-08 09:28:31.002,SURGE_CANDIDATE,017900,광전자,,rank=13 chg=20.61% vol_surge=False str=0,0,0,0,0,9070,0,0.0,0
2026-04-08 09:28:31.002,SURGE_CANDIDATE,005380,현대차,,rank=14 chg=4.55% vol_surge=False str=0,0,0,0,0,494500,0,0.0,0
2026-04-08 09:28:31.003,SURGE_CANDIDATE,009150,삼성전기,,rank=16 chg=8.42% vol_surge=False str=0,0,0,0,0,495500,0,0.0,0
2026-04-08 09:28:31.003,SURGE_CANDIDATE,064260,다날,,rank=17 chg=5.8% vol_surge=False str=0,0,0,0,0,7480,0,0.0,0
2026-04-08 09:28:31.004,SURGE_CANDIDATE,042700,한미반도체,,rank=19 chg=7.89% vol_surge=False str=0,0,0,0,0,273500,0,0.0,0
2026-04-08 09:28:31.005,SURGE_TR_RECEIVED,,,,START 14 codes,0,0,0,0,0,0,0.0,0
2026-04-08 09:28:53.991,SIM_RESULT,,,,STOP trades=0,0,0,0,0,0,0,0.0,0
2026-04-08 09:43:53.898,SURGE_CANDIDATE,005930,삼성전자,,rank=1 chg=6.11% vol_surge=False str=0,0,0,0,0,208500,0,0.0,0
2026-04-08 09:43:53.899,SURGE_CANDIDATE,047040,대우건설,,rank=2 chg=23.92% vol_surge=False str=0,0,0,0,0,21500,0,0.0,0
2026-04-08 09:43:53.899,SURGE_CANDIDATE,000660,SK하이닉스,,rank=4 chg=9.17% vol_surge=False str=0,0,0,0,0,1000000,0,0.0,0
2026-04-08 09:43:53.900,SURGE_CANDIDATE,032820,우리기술,,rank=6 chg=10.03% vol_surge=False str=0,0,0,0,0,21950,0,0.0,0
