date,is_bull,breadth,ral_mode,kospi_close
2019-10-25,True,0.49166666666666664,NORMAL,2087.889892578125
2019-10-28,True,0.475,NORMAL,2093.60009765625
2019-10-29,False,0.49372384937238495,NORMAL,2092.68994140625
2019-10-30,False,0.4309623430962343,NORMAL,2080.27001953125
2019-10-31,False,0.46502057613168724,NORMAL,2083.47998046875
2019-11-01,False,0.5169491525423728,NORMAL,2100.199951171875
2019-11-04,False,0.6625,NORMAL,2130.239990234375
2019-11-05,False,0.6790123456790124,NORMAL,2142.639892578125
2019-11-06,True,0.6680161943319838,NORMAL,2144.14990234375
2019-11-07,True,0.6774193548387096,NORMAL,2144.2900390625
2019-11-08,True,0.72,NORMAL,2137.22998046875
2019-11-11,True,0.6294820717131474,NORMAL,2124.090087890625
2019-11-12,True,0.6666666666666666,NORMAL,2140.919921875
2019-11-13,True,0.5856573705179283,NORMAL,2122.449951171875
2019-11-14,True,0.5945945945945946,NORMAL,2139.22998046875
2019-11-15,True,0.678030303030303,NORMAL,2162.179931640625
2019-11-18,True,0.6879699248120301,NORMAL,2160.68994140625
2019-11-19,True,0.6007604562737643,NORMAL,2153.239990234375
2019-11-20,True,0.4524714828897338,NORMAL,2125.320068359375
2019-11-21,True,0.34108527131782945,NORMAL,2096.60009765625
2019-11-22,True,0.32567049808429116,NORMAL,2101.9599609375
2019-11-25,True,0.4696969696969697,NORMAL,2123.5
2019-11-26,True,0.48872180451127817,NORMAL,2121.35009765625
2019-11-27,True,0.4344569288389513,NORMAL,2127.85009765625
2019-11-28,True,0.40977443609022557,NORMAL,2118.60009765625
2019-11-29,True,0.3088803088803089,NORMAL,2087.9599609375
2019-12-02,True,0.3346303501945525,NORMAL,2091.919921875
2019-12-03,False,0.29457364341085274,NORMAL,2084.070068359375
2019-12-04,False,0.2637795275590551,NORMAL,2068.889892578125
2019-12-05,False,0.25301204819277107,NORMAL,2060.739990234375
2019-12-06,False,0.31746031746031744,NORMAL,2081.85009765625
2019-12-09,False,0.304,NORMAL,2088.64990234375
2019-12-10,False,0.3654618473895582,NORMAL,2098.0
2019-12-11,False,0.4426229508196721,NORMAL,2105.6201171875
2019-12-12,True,0.5691056910569106,SURGE,2137.35009765625
