ticker,stage,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,exit_reason,hold_days,sector
090460,B,2019-10-25,24200.0,2019-10-30,23232.5,288,-306393.37200000044,-0.04391090225579433,STOP_LOSS,5,전기·전자
011070,B,2019-10-25,126500.0,2019-10-30,122725.0,55,-235538.25624999963,-0.033814976413488074,STOP_LOSS,5,전기·전자
010950,B,2019-10-25,105500.0,2019-10-30,102725.0,66,-211158.0075000003,-0.030290888227353752,STOP_LOSS,5,화학
178920,B,2019-10-28,34700.0,2019-11-05,33492.5,202,-271933.9907499999,-0.03875105228410957,STOP_LOSS,8,화학
014680,B,2019-10-25,93000.0,2019-11-11,90600.0,75,-208066.5,-0.029796057114962953,STOP_LOSS,17,화학
009150,B,2019-10-28,115500.0,2019-11-11,112375.0,60,-215359.875,-0.031040764160176836,STOP_LOSS,14,전기·전자
000080,B,2019-10-25,28450.0,2019-11-15,27660.0,245,-221557.0524999993,-0.03174958639392457,STOP_LOSS,21,음식료·담배
009460,B,2019-11-12,3335.0,2019-11-18,3019.4,2085,-684594.0707999999,-0.09834042575176477,STOP_LOSS,6,종이·목재
007700,B,2019-11-13,60750.0,2019-11-21,51520.0,113,-1068058.6544999992,-0.1554072323001387,STOP_LOSS,8,기타금융
003230,B,2019-11-01,87900.0,2019-11-26,85645.0,56,-146089.31400000025,-0.029644381657339843,STOP_LOSS,25,음식료·담배
090430,B,2019-11-06,203000.0,2019-12-04,195525.0,34,-281698.45749999955,-0.04076715102754978,STOP_LOSS,28,화학
034730,B,2019-11-07,267000.0,2019-12-04,261075.0,26,-182057.75249999948,-0.026195423016340123,STOP_LOSS,27,기타금융
120110,B,2019-11-07,51600.0,2019-12-04,50020.0,135,-241231.3649999993,-0.03459004702731384,STOP_LOSS,27,화학
000080,B,2019-11-18,29600.0,2019-12-04,28685.0,232,-239809.2940000007,-0.03488085829674263,STOP_LOSS,16,음식료·담배
178920,B,2019-11-20,36150.0,2019-12-04,34880.0,189,-267334.5465000002,-0.03908281409988475,STOP_LOSS,14,화학
009420,B,2019-11-27,34300.0,2019-12-04,33569.5,195,-169450.12987499963,-0.02530544756911471,STOP_LOSS,7,제약
003520,B,2019-12-02,6520.0,2019-12-04,6279.5,1033,-275317.76832500007,-0.04083073254101342,STOP_LOSS,2,제약
123690,B,2019-12-02,10300.0,2019-12-04,9813.0,654,-345176.85089999996,-0.05118321212159414,STOP_LOSS,2,유통
207940,B,2019-10-25,551262.0,2019-12-24,613078.0,12,712481.6232000003,0.10758090988010482,MAX_HOLD,60,제약
012510,B,2019-10-25,68600.0,2019-12-24,77700.0,101,887981.3950000005,0.12801451799817973,MAX_HOLD,60,IT 서비스
000990,B,2019-11-06,17300.0,2020-01-06,26750.0,407,3805935.347500001,0.5399104613509494,MAX_HOLD,61,전기·전자
035150,B,2019-12-13,9020.0,2020-01-09,8591.5,775,-359768.89187500067,-0.051406284657344814,STOP_LOSS,27,화학
003850,B,2019-12-30,12293.0,2020-01-09,11718.199999999999,589,-367244.8219600003,-0.0506621192673086,STOP_LOSS,10,제약
009420,B,2020-01-02,37000.0,2020-01-09,35167.5,195,-385864.8543750001,-0.05341948988393079,STOP_LOSS,7,제약
028050,B,2019-12-13,19650.0,2020-01-13,19007.5,356,-256736.38650000002,-0.03665858689987431,STOP_LOSS,31,일반서비스
