date,ticker,type,sl_mult,cvar_rank,old_sl,new_sl
2019-11-12,009460,ENTRY_TIGHTEN,2.4,0.8504273504273504,,
2019-11-20,097520,ENTRY_TIGHTEN,2.4,0.7863247863247863,,
2019-11-25,097520,HOLD_TIGHTEN,,0.7863247863247863,23870.0,23972.0
2019-12-02,009420,HOLD_TIGHTEN,,0.7649402390438247,29670.0,31342.0
2019-12-03,097520,HOLD_TIGHTEN,,0.796812749003984,23972.0,25797.5
2019-12-03,009420,HOLD_TIGHTEN,,0.7649402390438247,31342.0,33569.5
2020-01-08,097520,HOLD_TIGHTEN,,0.768,24271.25,25389.5
2020-02-13,180640,ENTRY_TIGHTEN,2.4,0.8391608391608392,,
2020-02-20,180640,HOLD_TIGHTEN,,0.8391608391608392,38296.0,41423.5
2020-03-04,180640,HOLD_TIGHTEN,,0.7958477508650519,38729.75,39617.5
2020-04-06,008350,ENTRY_TIGHTEN,0.6,0.8202614379084967,,
2020-04-07,008350,HOLD_TIGHTEN,,0.8202614379084967,5799.775,6078.35
2020-05-04,00499K,ENTRY_TIGHTEN,0.6,0.7701149425287357,,
2020-05-06,00499K,HOLD_TIGHTEN,,0.7701149425287357,65358.0,67308.0
2020-06-09,002700,ENTRY_TIGHTEN,2.4,0.7606837606837606,,
2020-07-02,012610,ENTRY_TIGHTEN,2.4,0.7686170212765957,,
2020-07-02,066970,ENTRY_TIGHTEN,2.4,0.8111702127659575,,
2020-07-06,012610,HOLD_TIGHTEN,,0.7686170212765957,8110.450000000001,8424.0
2020-07-06,066970,HOLD_TIGHTEN,,0.8111702127659575,25273.114999999998,25952.64
2020-07-13,012610,HOLD_TIGHTEN,,0.7686170212765957,8073.0,8365.2
2020-07-13,066970,HOLD_TIGHTEN,,0.8111702127659575,24671.565,25233.84
2020-07-14,012610,HOLD_TIGHTEN,,0.7686170212765957,8365.2,8414.4
2020-07-16,012610,HOLD_TIGHTEN,,0.7686170212765957,8414.4,8428.8
2020-07-17,012610,HOLD_TIGHTEN,,0.7686170212765957,8428.8,8518.8
2020-07-20,012610,HOLD_TIGHTEN,,0.7686170212765957,8518.8,8580.0
2020-07-21,012610,HOLD_TIGHTEN,,0.7686170212765957,8580.0,8644.8
2020-07-22,012610,HOLD_TIGHTEN,,0.7686170212765957,8644.8,8710.8
2020-07-23,012610,HOLD_TIGHTEN,,0.7686170212765957,8710.8,8800.8
2020-07-23,066970,HOLD_TIGHTEN,,0.8111702127659575,25233.84,25704.72
2020-07-23,005360,ENTRY_TIGHTEN,2.4,0.8776595744680851,,
2020-07-24,012610,HOLD_TIGHTEN,,0.7686170212765957,8800.8,8827.2
2020-07-24,271980,ENTRY_TIGHTEN,2.4,0.75,,
2020-07-27,066970,HOLD_TIGHTEN,,0.8111702127659575,25704.72,25800.84
2020-07-28,066970,HOLD_TIGHTEN,,0.8111702127659575,24600.54,25621.56
2020-07-29,066970,HOLD_TIGHTEN,,0.8111702127659575,25621.56,25883.04
2020-07-30,066970,HOLD_TIGHTEN,,0.8111702127659575,25883.04,26198.88
2020-08-03,267260,ENTRY_TIGHTEN,2.4,0.8414322250639386,,
2020-08-21,005360,HOLD_TIGHTEN,,0.8746803069053708,5528.4,5531.1
2020-08-27,214330,ENTRY_TIGHTEN,2.4,0.9232736572890026,,
2020-09-21,081000,ENTRY_TIGHTEN,2.4,0.8588235294117648,,
2020-09-21,026890,ENTRY_TIGHTEN,2.4,0.9129411764705883,,
2020-09-23,214330,HOLD_TIGHTEN,,0.9294117647058824,2760.15,2764.5
2020-09-25,214330,HOLD_TIGHTEN,,0.9294117647058824,2781.0,2803.05
2020-09-28,214330,HOLD_TIGHTEN,,0.9294117647058824,2803.05,2817.75
2020-09-29,214330,HOLD_TIGHTEN,,0.9294117647058824,2817.75,2838.0
2020-12-01,285130,HOLD_TIGHTEN,,0.7835990888382688,177083.15,219135.08000000002
2020-12-02,285130,HOLD_TIGHTEN,,0.7835990888382688,210294.755,220776.44
2020-12-03,285130,HOLD_TIGHTEN,,0.7835990888382688,220776.44,221416.88
2020-12-04,285130,HOLD_TIGHTEN,,0.7835990888382688,221416.88,222337.52
2020-12-07,285130,HOLD_TIGHTEN,,0.7835990888382688,222337.52,224379.2
2020-12-08,285130,HOLD_TIGHTEN,,0.7835990888382688,224379.2,225980.36
2020-12-09,285130,HOLD_TIGHTEN,,0.7835990888382688,218891.40999999997,229183.04
2020-12-10,285130,HOLD_TIGHTEN,,0.7835990888382688,229183.04,230264.0
2020-12-11,285130,HOLD_TIGHTEN,,0.7835990888382688,230264.0,233066.24
2020-12-14,285130,HOLD_TIGHTEN,,0.7835990888382688,233066.24,233106.32
2020-12-15,285130,HOLD_TIGHTEN,,0.7835990888382688,233106.32,234227.12
2020-12-16,285130,HOLD_TIGHTEN,,0.7835990888382688,234227.12,234587.36
2020-12-17,285130,HOLD_TIGHTEN,,0.7835990888382688,234587.36,235748.36
2020-12-22,285130,HOLD_TIGHTEN,,0.7835990888382688,235748.36,235788.44
2020-12-23,285130,HOLD_TIGHTEN,,0.7835990888382688,235788.44,236629.16
2020-12-24,285130,HOLD_TIGHTEN,,0.7835990888382688,231299.96,237629.84
2020-12-24,006110,ENTRY_TIGHTEN,2.4,0.876993166287016,,
2020-12-28,285130,HOLD_TIGHTEN,,0.7835990888382688,237629.84,238590.56
2020-12-30,285130,HOLD_TIGHTEN,,0.7835990888382688,233378.11,238190.24
2021-01-04,285130,HOLD_TIGHTEN,,0.7591397849462366,232911.03999999998,237869.84
2021-01-04,010060,ENTRY_TIGHTEN,2.4,0.7612903225806451,,
2021-01-05,010060,HOLD_TIGHTEN,,0.7612903225806451,64879.845,66407.44
2021-01-07,010060,HOLD_TIGHTEN,,0.7612903225806451,64363.29,65759.08
2021-01-08,010060,HOLD_TIGHTEN,,0.7612903225806451,63661.28,65501.56
2021-01-15,272450,ENTRY_TIGHTEN,2.4,0.843010752688172,,
2021-02-01,010060,HOLD_TIGHTEN,,0.7924901185770751,69558.335,72154.81
2021-02-09,272450,ENTRY_TIGHTEN,2.4,0.8596837944664032,,
2021-02-15,272450,HOLD_TIGHTEN,,0.8596837944664032,15854.08,15871.48
2021-02-16,272450,HOLD_TIGHTEN,,0.8596837944664032,15871.48,15912.04
2021-02-17,272450,HOLD_TIGHTEN,,0.8596837944664032,15912.04,15981.64
