timestamp,code,price,best_ask,best_bid,ask_qty_1,bid_qty_1,total_ask,total_bid,net_bid,volume
10:44:54.161,152550,304.0,304,303,0,0,0,0,0,38562841
10:45:21.373,152550,310.0,311,310,0,0,0,0,0,41223443
10:47:56.990,152550,323.0,323,322,0,0,0,0,0,44580875
10:48:57.636,152550,322.0,322,321,0,0,0,0,0,48847949
10:49:58.220,152550,314.0,315,314,0,0,0,0,0,51543620
10:50:58.878,152550,319.0,319,316,0,0,0,0,0,53219498
10:51:59.549,152550,317.0,317,316,0,0,0,0,0,54576468
10:53:00.185,152550,320.0,321,320,0,0,0,0,0,55926877
10:54:01.560,152550,317.0,317,316,0,0,0,0,0,57649235
10:55:02.234,152550,312.0,313,312,0,0,0,0,0,58886941
10:56:02.907,152550,316.0,317,316,0,0,0,0,0,60020470
10:57:03.576,152550,322.0,322,321,0,0,0,0,0,62532307
10:58:04.217,152550,317.0,318,317,0,0,0,0,0,63899987
10:59:04.842,152550,316.0,317,316,0,0,0,0,0,65187149
11:00:05.490,152550,316.0,316,315,0,0,0,0,0,66923261
11:01:06.158,152550,307.0,308,307,0,0,0,0,0,68733226
11:02:06.782,152550,314.0,314,313,0,0,0,0,0,69936980
11:03:07.405,152550,313.0,313,312,0,0,0,0,0,70999070
11:04:08.701,152550,308.0,308,307,0,0,0,0,0,71840904
11:05:09.309,152550,312.0,314,312,0,0,0,0,0,73469908
11:06:09.966,152550,314.0,315,314,0,0,0,0,0,75005785
11:07:10.594,152550,316.0,317,316,0,0,0,0,0,75630230
11:08:11.236,152550,316.0,317,316,0,0,0,0,0,76819211
11:09:11.891,152550,309.0,310,309,0,0,0,0,0,78456052
11:10:12.558,152550,304.0,305,304,0,0,0,0,0,80037322
11:11:13.229,152550,302.0,302,301,0,0,0,0,0,81588663
11:12:13.879,152550,302.0,303,302,0,0,0,0,0,82172203
11:13:14.486,152550,305.0,305,304,0,0,0,0,0,83207705
11:14:15.128,152550,305.0,305,304,0,0,0,0,0,83817201
11:15:16.373,152550,309.0,309,308,0,0,0,0,0,84180700
11:16:17.050,152550,308.0,309,308,0,0,0,0,0,85025976
11:17:17.701,152550,309.0,309,308,0,0,0,0,0,85525943
11:18:18.323,152550,302.0,305,302,0,0,0,0,0,86012307
11:19:18.954,152550,304.0,304,303,0,0,0,0,0,86443300
11:20:19.611,152550,301.0,302,301,0,0,0,0,0,87028208
11:21:20.267,152550,295.0,296,295,0,0,0,0,0,88135829
11:22:20.900,152550,299.0,299,298,0,0,0,0,0,88878109
11:23:21.534,152550,300.0,300,299,0,0,0,0,0,89363177
11:24:22.195,152550,300.0,300,299,0,0,0,0,0,89619022
11:25:20.833,152550,299.0,299,298,0,0,0,0,0,89807691
11:26:22.842,152550,298.0,298,297,0,0,0,0,0,90046170
11:27:24.661,152550,296.0,296,295,0,0,0,0,0,90580557
11:28:21.234,152550,295.0,296,295,0,0,0,0,0,90751595
11:29:26.000,152550,290.0,292,290,0,0,0,0,0,91858737
11:30:26.665,152550,292.0,293,292,0,0,0,0,0,92411806
11:31:27.281,152550,291.0,292,291,0,0,0,0,0,92763786
11:32:27.890,152550,291.0,292,291,0,0,0,0,0,93347208
11:33:28.557,152550,295.0,295,293,0,0,0,0,0,93591677
11:34:27.622,152550,290.0,291,290,0,0,0,0,0,93842857
11:35:29.431,152550,291.0,292,291,0,0,0,0,0,94030015
11:36:30.331,152550,292.0,292,291,0,0,0,0,0,94169889
11:37:31.240,152550,289.0,290,289,0,0,0,0,0,94395319
11:38:31.025,152550,293.0,293,292,0,0,0,0,0,94660757
11:39:32.243,152550,292.0,293,292,0,0,0,0,0,94936782
11:40:32.721,152550,295.0,297,295,0,0,0,0,0,95180994
11:41:34.310,152550,299.0,299,298,0,0,0,0,0,95478681
11:42:34.921,152550,302.0,303,302,0,0,0,0,0,96420660
11:43:34.116,152550,300.0,300,299,0,0,0,0,0,96650739
11:44:36.836,152550,300.0,301,300,0,0,0,0,0,96962581
11:45:35.919,152550,298.0,300,297,0,0,0,0,0,97129432
11:46:38.070,152550,299.0,299,298,0,0,0,0,0,97200091
11:47:36.517,152550,295.0,297,295,0,0,0,0,0,97480950
