timestamp,tag,code,name,strategy_state,trigger_reason,bid,ask,bid_size,ask_size,last_price,expected_fill_price,pnl_pct,holding_seconds
2026-04-09 09:09:59.332,SURGE_CANDIDATE,000250,삼천당제약,,rank=10 chg=8.66% vol_surge=False str=0,0,0,0,0,527000,0,0.0,0
2026-04-09 09:09:59.334,SURGE_CANDIDATE,475150,SK이터닉스,,rank=13 chg=4.32% vol_surge=False str=0,0,0,0,0,60400,0,0.0,0
2026-04-09 09:09:59.334,SURGE_CANDIDATE,319400,현대무벡스,,rank=17 chg=4.79% vol_surge=False str=0,0,0,0,0,30600,0,0.0,0
2026-04-09 09:10:03.090,SURGE_TR_RECEIVED,,,,START 3 codes,0,0,0,0,0,0,0.0,0
2026-04-09 09:10:33.397,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=3 new=0,0,0,0,0,0,0,0.0,0
2026-04-09 09:11:03.711,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:11:34.042,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:12:04.363,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=1,0,0,0,0,0,0,0.0,0
2026-04-09 09:12:34.679,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=3 new=0,0,0,0,0,0,0,0.0,0
2026-04-09 09:13:05.016,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:13:35.329,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:14:05.663,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:14:36.034,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:15:06.381,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:15:36.733,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:16:07.097,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=3,0,0,0,0,0,0,0.0,0
2026-04-09 09:16:37.455,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=3,0,0,0,0,0,0,0.0,0
2026-04-09 09:17:07.891,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=3,0,0,0,0,0,0,0.0,0
2026-04-09 09:17:38.231,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=3,0,0,0,0,0,0,0.0,0
2026-04-09 09:18:08.575,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:18:38.920,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:19:09.273,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:19:39.600,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=3,0,0,0,0,0,0,0.0,0
2026-04-09 09:20:09.924,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=3,0,0,0,0,0,0,0.0,0
2026-04-09 09:20:40.296,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=3,0,0,0,0,0,0,0.0,0
2026-04-09 09:21:10.644,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=3,0,0,0,0,0,0,0.0,0
2026-04-09 09:21:41.024,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:22:11.358,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:22:41.763,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=5 new=3,0,0,0,0,0,0,0.0,0
2026-04-09 09:23:12.112,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=3,0,0,0,0,0,0,0.0,0
2026-04-09 09:23:42.469,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=3 new=2,0,0,0,0,0,0,0.0,0
2026-04-09 09:24:12.802,SURGE_TR_RECEIVED,,,,SCAN found=20 filtered=4 new=3,0,0,0,0,0,0,0.0,0
