date,ticker,qscore,entry,tp,sl,sector,stage
20260311,010170,0.65,5510,12126,2202,전기·전자,A
20260311,032500,0.65,19030,35280,10905,전기·전자,A
20260311,050890,0.65,9010,15600,5715,전기·전자,A
20260311,357580,0.65,15450,33880,6235,전기·전자,A
20260311,360350,0.65,9110,14420,6455,의료·정밀기기,A
20260311,105330,0.6494,7900,12792,5454,운송장비·부품,A
20260311,217730,0.648,2260,3832,1474,제약,A
20260311,192090,0.6474,13125,14923,12226,기타,A
20260311,376900,0.6471,77300,150500,40700,제약,A
20260311,052020,0.6469,12860,20604,8988,유통,A
20260311,329750,0.6468,13715,14895,13125,기타,B
20260311,456610,0.6468,62620,67790,60035,기타,B
20260311,261240,0.6467,14975,16199,14363,기타,B
20260311,455030,0.6467,12630,13670,12110,기타,B
20260311,483340,0.6467,17310,21610,15160,기타,B
20260311,200710,0.6467,42500,79044,24228,전기·전자,B
20260311,033130,0.6465,2905,4557,2079,IT 서비스,B
20260311,027360,0.6455,5140,10826,2297,금융,B
20260311,017960,0.6452,42600,73630,27085,금속,B
20260311,091700,0.6452,8250,11954,6398,전기·전자,B
20260311,036830,0.6451,57400,102716,34742,일반서비스,B
20260311,033160,0.645,10260,17346,6717,전기·전자,B
20260311,389020,0.645,46450,94566,22392,전기·전자,B
20260311,032820,0.6446,20650,42280,9835,전기·전자,B
20260311,174900,0.6446,71500,128816,42842,제약,B
20260311,476760,0.6445,10265,11193,9801,기타,B
20260311,290550,0.6444,17500,30804,10848,전기·전자,B
20260311,496770,0.6443,21325,27691,18142,기타,B
20260311,402490,0.6443,12620,21570,8145,전기·전자,B
20260311,371460,0.6442,12775,15181,11572,기타,B
20260311,425420,0.6442,50900,90186,31257,전기·전자,B
20260311,084110,0.6439,69700,115530,46785,제약,B
20260311,327260,0.6437,60800,119744,31328,전기·전자,B
20260311,284430,0.6435,19675,24647,17189,기타,B
20260311,218410,0.643,74700,149900,37100,전기·전자,B
20260311,900290,0.6426,6330,12046,3472,금융,B
20260311,295310,0.6423,95000,164600,60200,금속,B
20260311,385510,0.642,39970,59530,30190,기타,B
20260311,417500,0.6419,4590,8328,2721,화학,B
20260311,187790,0.6418,4640,7612,3154,화학,B
20260311,138080,0.6417,25400,50038,13081,전기·전자,B
20260311,261060,0.6416,25330,39726,18132,기타,B
20260311,080580,0.6414,17990,32988,10491,전기·전자,B
20260311,056090,0.6413,2780,6492,924,의료·정밀기기,B
20260311,377990,0.6407,24445,36663,18336,기타,B
20260311,189300,0.6407,136000,237772,85114,전기·전자,B
20260311,389030,0.6407,4975,8787,3069,일반서비스,B
20260311,471990,0.6402,25480,41740,17350,기타,B
20260311,073490,0.64,37700,65530,23785,전기·전자,B
20260311,122990,0.6399,6880,9646,5497,전기·전자,B
