date,ticker,fill_price,add_qty,amount,signal_mom,signal_unrealized,bear_streak,event
2021-10-29,060980,0.0,0,586882.0,0.6832,-0.0928,21,SIGNAL
2021-11-01,060980,50900.0,11,560544.0,0.6832,-0.0928,21,FILL
2024-08-09,024110,0.0,0,525888.0,0.3359,-0.0501,5,SIGNAL
2024-08-12,024110,13500.0,38,513590.0,0.3359,-0.0501,5,FILL
