timestamp,total,cash,exposure
2026-02-27 23:29:04,10000000,5935633,40.6
2026-02-27 23:32:54,10000000,5935633,40.6
2026-02-27 23:48:43,10000000,10000000,0.0
2026-02-27 23:57:50,10000000,10000000,0.0
2026-02-28 00:08:02,10000000,5935633,40.6
2026-02-28 12:08:05,10000000,5935633,40.6
2026-02-28 12:27:43,10000000,5935633,40.6
2026-02-28 12:36:58,10000000,10000000,0.0
2026-02-28 12:37:30,10000000,5935633,40.6
2026-02-28 12:49:34,10000000,5935633,40.6
2026-02-28 13:29:42,10000000,5935633,40.6
2026-02-28 13:50:58,10000000,5935633,40.6
2026-02-28 14:02:40,10000000,5935633,40.6
2026-03-02 20:14:30,100000000,90109668,9.9
