datetime,open,high,low,close,volume,status
2026-03-27 09:01,457000.0,457000.0,431500.0,433000.0,295290000,HOLD
2026-03-27 09:02,433500.0,435500.0,433000.0,434500.0,98216500,HOLD
2026-03-27 09:03,434000.0,435000.0,430500.0,431000.0,125620000,HOLD
2026-03-27 09:04,431000.0,434000.0,430500.0,433000.0,92667500,HOLD
2026-03-27 09:05,433500.0,434500.0,433000.0,433500.0,90699500,HOLD
2026-03-27 09:06,434000.0,434000.0,431500.0,432000.0,88356500,HOLD
2026-03-27 09:07,431500.0,432000.0,430000.0,431000.0,75871500,HOLD
2026-03-27 09:08,431000.0,432500.0,430500.0,431000.0,94118000,HOLD
2026-03-27 09:09,431000.0,431500.0,431000.0,431500.0,18122000,HOLD
2026-03-30 09:01,434000.0,434000.0,403000.0,404500.0,251939000,HOLD
2026-03-30 09:02,404500.0,406000.0,401000.0,403000.0,95687500,HOLD
2026-03-30 09:03,403500.0,405500.0,403000.0,404000.0,76838000,HOLD
2026-03-30 09:04,404000.0,406500.0,403500.0,406500.0,76119500,HOLD
2026-03-30 09:05,406500.0,410000.0,406500.0,409000.0,68967000,HOLD
2026-03-30 09:06,409500.0,410000.0,407500.0,408500.0,59236000,HOLD
2026-03-30 09:07,408500.0,410000.0,407500.0,409000.0,42119000,HOLD
2026-03-30 09:08,409000.0,411000.0,408500.0,410500.0,59893000,HOLD
2026-03-30 09:09,410500.0,411000.0,409000.0,409500.0,52543500,HOLD
2026-03-30 09:10,410000.0,412000.0,408500.0,411000.0,49732000,HOLD
2026-03-30 09:11,411000.0,412500.0,411000.0,412000.0,44890500,HOLD
2026-03-30 09:12,412000.0,413000.0,410500.0,411500.0,68793000,HOLD
2026-03-30 09:13,411000.0,412000.0,409500.0,410500.0,58784000,HOLD
2026-03-30 09:14,409500.0,411000.0,408500.0,409000.0,43097000,HOLD
2026-03-30 09:15,409000.0,409750.0,408500.0,409500.0,45871000,HOLD
2026-03-30 09:16,409500.0,410000.0,408500.0,409500.0,48340000,HOLD
2026-03-30 09:17,409000.0,411000.0,408500.0,411000.0,58241500,HOLD
2026-03-30 09:18,411000.0,414000.0,411000.0,413000.0,99888000,HOLD
2026-03-30 09:19,413000.0,415500.0,412500.0,415500.0,101969500,HOLD
2026-03-30 09:20,415500.0,418500.0,415500.0,418000.0,81304000,HOLD
