date,event,regime,pv_before,target_exp,trimmed,positions_after
2021-09-28,EMERGENCY_REBAL,BEAR,322266240,229623768,97793580,10
2023-03-10,EMERGENCY_REBAL,BEAR,401563852,230661925,171345630,12
2023-04-06,EMERGENCY_REBAL,BEAR,390904328,229474563,161987428,12
2023-07-24,EMERGENCY_REBAL,BEAR,304616076,213875425,90810030,11
2024-03-07,EMERGENCY_REBAL,BEAR,307371902,216944930,90556842,11
2024-03-19,EMERGENCY_REBAL,BEAR,357616040,215194942,146704260,11
2024-07-03,EMERGENCY_REBAL,BEAR,325150850,213033029,112132130,11
2024-07-25,EMERGENCY_REBAL,BEAR,300904670,210795310,90115850,11
