date,equity,n_positions
2021-01-04,100000000.0,0
2021-01-05,100000000.0,0
2021-01-06,100000000.0,0
2021-01-07,100000000.0,0
2021-01-08,100000000.0,0
2021-01-11,100000000.0,0
2021-01-12,100000000.0,0
2021-01-13,100000000.0,0
2021-01-14,100000000.0,0
2021-01-15,100000000.0,0
2021-01-18,100000000.0,0
2021-01-19,100000000.0,0
2021-01-20,100000000.0,0
2021-01-21,100000000.0,0
2021-01-22,100000000.0,0
2021-01-25,100000000.0,0
2021-01-26,100000000.0,0
2021-01-27,100000000.0,0
2021-01-28,100000000.0,0
2021-01-29,100000000.0,0
2021-02-01,99020885.58289,0
2021-02-02,99843487.38289002,0
2021-02-03,101585742.48289001,0
2021-02-04,101559006.18289003,0
2021-02-05,102041237.86408001,0
2021-02-08,101999483.26408002,0
2021-02-09,102390020.26408002,0
2021-02-10,102776698.06408001,0
2021-02-15,103426866.16408001,0
2021-02-16,103810917.76408002,0
2021-02-17,103599905.56408001,0
2021-02-18,102367746.16408002,0
2021-02-19,102736506.76408002,0
2021-02-22,101490828.45958002,0
2021-02-23,100630713.77884004,0
2021-02-24,98377977.01015002,0
2021-02-25,99659251.21015002,0
2021-02-26,98691661.21015002,0
2021-03-02,98749872.31015001,0
2021-03-03,98964118.21015002,0
2021-03-04,98848583.41015002,0
2021-03-05,96901246.30663003,0
2021-03-08,95359002.25663003,0
2021-03-09,94004625.94309002,0
2021-03-10,93790361.14309002,0
2021-03-11,94874418.24184003,0
2021-03-12,96402020.64184003,0
2021-03-15,96923741.64184003,0
2021-03-16,97036893.74584001,0
2021-03-17,96659993.54584001,0
2021-03-18,96960577.34584002,0
2021-03-19,96781534.04584002,0
2021-03-22,97059350.54584001,0
2021-03-23,96493768.29784001,0
2021-03-24,96440784.39784002,0
2021-03-25,96701223.69784002,0
2021-03-26,97644059.19784002,0
2021-03-29,97874881.29784001,0
2021-03-30,98304168.69784002,0
2021-03-31,98269397.19784002,0
2021-04-01,98366590.89784002,0
2021-04-02,98448881.49784002,0
2021-04-05,98804031.68318503,0
2021-04-06,99263753.48318502,0
2021-04-07,99300949.58318503,0
2021-04-08,100444872.98318502,0
2021-04-09,100792324.28318503,0
2021-04-12,100171336.88318503,0
2021-04-13,100440642.98318502,0
2021-04-14,100825392.98318502,0
2021-04-15,101346043.88318503,0
2021-04-16,101605830.68318503,0
2021-04-19,102166198.58318503,0
2021-04-20,103085393.78318503,0
2021-04-21,102731452.58318503,0
2021-04-22,103454391.08318503,0
2021-04-23,104367975.68318503,0
2021-04-26,104708251.28318503,0
2021-04-27,106685154.38318501,0
2021-04-28,104427029.18318503,0
2021-04-29,103578587.48318502,0
2021-04-30,103000713.68318503,0
2021-05-03,101796778.80068503,0
2021-05-04,101648002.08767503,0
2021-05-06,103448308.08767505,0
2021-05-07,104789325.18767506,0
2021-05-10,106557323.88767505,0
2021-05-11,106987218.65267505,0
2021-05-12,104672953.25267506,0
2021-05-13,102463831.25267504,0
2021-05-14,102205874.83289503,0
2021-05-17,101536783.33289503,0
2021-05-18,103658492.83289503,0
2021-05-20,103446199.97789502,0
2021-05-21,102895131.77789505,0
2021-05-24,101941730.27789503,0
2021-05-25,102094523.74589504,0
2021-05-26,102056624.74589506,0
2021-05-27,103190795.74589504,0
2021-05-28,103564156.24589506,0
2021-05-31,104047118.74589506,0
2021-06-01,104163974.74589504,0
2021-06-02,104353244.74589504,0
2021-06-03,104649412.24589506,0
2021-06-04,104150380.30624002,0
2021-06-07,103765821.10624002,0
2021-06-08,104148339.10624002,0
2021-06-09,102911601.40624003,0
