code,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,hold_days,exit_reason,q_score
207940,20220401,20220405,1209243.66,1194134.944,4,-69749.11656320002,-0.014419988061628544,3,MA20,52.5
006260,20220401,20220405,52404.6,51496.8,95,-95780.78220000025,-0.01923912709952948,3,MA20,52.5
011170,20220401,20220405,196608.432,189644.95,25,-183332.24131249916,-0.03729895802485199,3,MA20,45.0
086790,20220401,20220405,48496.8,47005.8,103,-163014.11492999922,-0.03263434515266971,3,MA20,42.0
035420,20220401,20220406,336171.0,329340.0,14,-104624.98199999984,-0.02223039167566503,4,MA20,52.5
009830,20220401,20220406,44691.204,43329.168,111,-160564.594413599,-0.03236717179514768,4,MA20,52.5
000100,20220401,20220406,54124.032,53724.336,92,-46410.17787840031,-0.009320415286133955,4,MA20,52.5
139480,20220401,20220406,141783.0,137225.0,35,-168895.6062500002,-0.03403503064542297,4,MA20,52.5
003550,20220401,20220407,76352.4,73652.4,65,-184835.44169999938,-0.037243389598755124,5,MA20,45.0
105560,20220405,20220407,59619.0,58083.6,85,-140136.35669999942,-0.0276533155537663,3,MA20,45.0
023530,20220405,20220408,98897.4,94311.0,51,-243285.6289499998,-0.04823490253535479,4,MA20,52.5
003550,20220411,20220412,75049.8,72754.2,64,-155998.12416000012,-0.032478043778930814,2,MA20,45.0
006800,20220411,20220412,8466.9,8343.28,569,-79597.06632399932,-0.01652191427795283,2,MA20,45.0
030200,20220401,20220414,36573.0,35279.3,136,-185299.27035999857,-0.03725411191315969,10,MA20,49.5
033780,20220401,20220414,81162.0,80638.4,61,-41531.53768000007,-0.00838871491584733,10,MA20,42.0
000100,20220411,20220414,54857.496,53816.152,87,-99726.83818679955,-0.020895694845422672,4,MA20,52.5
007070,20220401,20220415,24295.494,24369.164,205,5360.776691000909,0.0010763366326284386,11,MA20,52.5
138930,20220411,20220415,8046.06,7894.18,599,-100196.91694900021,-0.02078951076676042,5,MA20,45.0
055550,20220412,20220415,41031.9,40219.4,116,-103347.62828000076,-0.0217130532585624,4,MA20,52.5
032830,20220412,20220415,65631.0,64570.6,72,-85414.51223999914,-0.018075492831131447,4,MA20,52.5
001680,20220411,20220420,23597.1,25741.941514285714,204,427307.52457990404,0.08876704037076011,8,TP,52.5
008770,20220401,20220422,83466.6,82135.4,59,-87990.4777700007,-0.01786779418354182,16,MA20,52.5
003490,20220401,20220425,31262.4,29890.1,159,-227463.12550500128,-0.045760584440094426,17,MA20,49.5
014820,20220411,20220425,57915.6,58083.6,83,4543.1693399995565,0.0009451163417109493,11,MA20,52.5
017670,20220414,20220425,60621.0,59480.8,79,-99238.81723999977,-0.020721986770261082,8,MA20,52.5
004000,20220401,20220426,82965.6,83133.4,60,341.3921999996528,6.858107456577441e-05,18,MA20,43.5
032640,20220401,20220427,14028.0,13772.4,356,-100554.40008000005,-0.020135171086398642,19,MA20,52.5
316140,20220401,20220427,15380.7,15269.4,325,-45849.48225000035,-0.009172230782734277,19,MA20,42.0
024110,20220405,20220427,10821.6,10978.0,470,63446.66299999971,0.01247439380498257,17,MA20,52.5
006260,20220411,20220503,54208.2,56486.8,88,190823.66512000095,0.04000226423308671,17,MA20,54.0
003670,20220414,20220506,126747.99,126242.01,37,-27829.621021499857,-0.005934231536926117,16,MA20,52.5
034730,20220401,20220509,241983.0,248003.0,20,110727.88300000038,0.022879268998235492,26,MA20,52.5
010950,20220401,20220509,98496.6,113768.60680000001,50,752507.9008370014,0.15279875667525608,26,TP,42.0
029780,20220405,20220509,32514.9,33033.8,156,70899.51804000046,0.01397771760023875,24,MA20,52.5
047050,20220414,20220510,23196.3,23602.7,207,74597.5701450007,0.01553587145363715,18,MA20,54.0
267250,20220401,20220511,54108.0,57884.0,92,337007.61039999966,0.06770026983070888,28,MA20,52.5
105560,20220530,20220602,60120.0,58083.6,82,-176272.36763999984,-0.03575620459081833,3,MA20,45.0
006800,20220530,20220602,8106.18,7834.3,610,-175165.6998499995,-0.03542443974843875,3,MA20,45.0
055550,20220530,20220607,43286.4,41616.6,114,-199608.57018000167,-0.040450404053005436,5,MA20,60.0
005380,20220530,20220607,187875.0,183133.0,26,-132576.84310000017,-0.02714096793080509,5,MA20,52.5
071050,20220530,20220607,71342.4,69061.6,69,-166667.43827999942,-0.0338574272802708,5,MA20,45.0
002380,20220530,20220607,355710.0,340817.0,13,-202248.7109500002,-0.043736732591155764,5,MA20,45.0
032830,20220530,20220607,68837.4,64832.47519999999,71,-293325.71699143946,-0.06001603963310632,5,SL,42.0
004000,20220530,20220607,83667.0,81536.6,59,-135074.38583000004,-0.02736319421038164,5,MA20,42.0
029780,20220530,20220608,33767.4,33033.8,146,-116510.32285999972,-0.023632731865645507,6,MA20,52.5
002700,20220530,20220609,2374.74,2315.36,2084,-133157.0799679989,-0.02690608319226504,7,MA20,52.5
015760,20220530,20220610,23346.6,22654.6,212,-156069.4116399996,-0.031532491669022396,8,MA20,52.5
030200,20220530,20220610,37775.4,36926.0,131,-120704.14670000039,-0.02439168612377375,8,MA20,52.5
033780,20220530,20220610,84168.0,83632.4,58,-40523.62444000039,-0.008301054795171642,8,MA20,52.5
028260,20220530,20220610,120741.0,116267.0,40,-188028.82600000035,-0.03893226534482909,8,MA20,43.5
069960,20220530,20220613,79458.6,76646.4,62,-183622.94976000022,-0.03727300103450103,9,MA20,60.0
004170,20220530,20220613,254508.0,246007.0,19,-170633.55934999976,-0.03528656721989088,9,MA20,45.0
005850,20220530,20220613,30661.2,29540.8,161,-189658.73416000046,-0.03842004096382408,9,MA20,42.0
161390,20220602,20220613,37474.8,34797.92182857143,139,-381518.04254020564,-0.07324212855023336,7,SL,54.0
003550,20220530,20220614,82063.8,76107.7081142857,60,-366270.11499222927,-0.07438726840016127,10,SL,43.5
000210,20220530,20220616,69538.8,65568.6,71,-290962.1726699993,-0.05893197423596597,12,MA20,43.5
001450,20220530,20220620,31462.8,31237.4,157,-44951.13001000043,-0.009100046086171694,14,MA20,45.0
010950,20220602,20220620,115230.0,112774.0,45,-120415.91849999968,-0.023222331858023023,12,MA20,52.5
000810,20220721,20220722,198897.0,194111.0,23,-118783.8783499999,-0.025965783546257587,2,MA20,45.0
068270,20220721,20220722,162049.452,158747.868,29,-104723.12793540116,-0.022284199656534723,2,MA20,42.0
141080,20220721,20220722,46242.3,44211.4,102,-215945.4474600004,-0.04578302182201153,2,MA20,42.0
003490,20220721,20220722,25400.7,24900.1,186,-102142.86627000105,-0.021619687449558698,2,MA20,37.5
011200,20220721,20220722,24348.6,24051.8,195,-67021.69695000071,-0.014115842799996864,2,MA20,37.5
001570,20220721,20220725,5250.48,6357.38261142857,904,989433.1666640006,0.20845822007440917,3,TP,42.0
