snapshot_time,rank,code,name,price,change_pct
09:01:12,1,610089,메리츠 인버스 2X WTI원유 선물 ETN(H),4385,20.14
09:01:12,2,288980,모아데이타,1380,17.85
09:01:12,3,530036,삼성 인버스 2X WTI원유 선물 ETN,25,13.64
09:01:12,4,064290,인텍플러스,22200,11.9
09:01:12,5,461910,PLUS 미국테크TOP10레버리지(합성),36195,11.78
09:01:12,6,033160,엠케이전자,18160,11.75
09:01:12,7,440110,파두,52200,11.06
09:01:12,8,028050,삼성E&A,52900,10.67
09:01:12,9,316670,KIWOOM 코스닥150,9800,10.67
09:01:12,10,570061,한투 레버리지 은 선물 ETN,84065,10.43
09:01:12,11,015760,한국전력,44050,10.4
09:01:12,12,319660,피에스케이,85700,10.3
09:01:12,13,317850,대모,9460,10.0
09:01:12,14,308100,형지글로벌,1344,9.98
09:01:12,15,036170,에이치엠넥스,4280,9.88
09:01:12,16,530124,삼성 레버리지 일본니케이225선물 ETN(H),39335,9.74
09:01:12,17,064760,티씨케이,244000,9.66
09:01:12,18,0080Y0,SOL 조선TOP3플러스레버리지,15920,9.57
09:01:12,19,700027,하나 반도체 ETN,32520,9.49
09:01:12,20,011080,형지I&C,617,9.4
09:11:20,1,580070,KB 레버리지 2차전지 TOP 10 TR ETN,49000,58.94
09:11:20,2,520050,미래에셋 인버스 2X 원유선물혼합 ETN(H),3010,34.08
09:11:20,3,530134,삼성 블룸버그 인버스2X WTI원유선물 ETN B,3865,31.02
09:11:20,4,570117,한투 블룸버그인버스2XWTI원유선물 ETN B,3885,30.81
09:11:20,5,700030,하나 S&P 인버스 2X WTI원유 선물 ETN B,3800,29.91
09:11:20,6,500094,신한 블룸버그 인버스2X WTI원유선물 ETN B,3845,29.24
09:11:20,7,017900,광전자,9400,25.0
09:11:20,8,036170,에이치엠넥스,4825,23.88
09:11:20,9,580069,KB S&P 인버스 2X WTI원유 선물 ETN B,3865,23.88
09:11:20,10,288980,모아데이타,1436,22.63
09:11:20,11,067170,오텍,2265,21.97
09:11:20,12,610089,메리츠 인버스 2X WTI원유 선물 ETN(H),4385,20.14
09:11:20,13,033160,엠케이전자,19380,19.26
09:11:20,14,062970,한국첨단소재,4845,18.32
09:11:20,15,242040,나무기술,5920,17.46
