code,signal_date,entry_date,exit_date,entry_price,exit_price,quantity,pnl_pct,pnl_amount,hold_days,exit_reason
000390,2025-12-22,2025-12-23,2025-12-23,8910.0,8180.0,2242,-0.08193041526374856,-1718562.502,0,SL
012200,2025-12-22,2025-12-23,2025-12-24,4475.0,3930.0,4464,-0.12178770949720674,-2514783.24,1,SL
012200,2025-12-24,2025-12-26,2025-12-26,4190.0,5100.0,2054,0.21718377088305485,1833854.334,0,TP
033530,2025-12-24,2025-12-26,2025-12-29,11850.0,10430.0,1482,-0.11983122362869203,-2176442.97,1,SL
308170,2025-12-29,2025-12-30,2026-01-02,6900.0,8620.0,1398,0.24927536231884062,2365010.58,1,TP
010780,2025-12-23,2025-12-24,2026-01-05,25000.0,23400.0,781,-0.06399999999999995,-1329652.5,5,MAX_HOLD
023810,2025-12-23,2025-12-24,2026-01-05,8780.0,10860.0,2003,0.2369020501138952,4094136.006,5,TP
489790,2025-12-24,2025-12-26,2026-01-06,42900.0,49600.0,286,0.1561771561771561,1865895.46,5,MAX_HOLD
025820,2025-12-29,2025-12-30,2026-01-08,5810.0,5540.0,2372,-0.04647160068846812,-696943.412,5,MAX_HOLD
308170,2026-01-02,2026-01-05,2026-01-08,8540.0,7530.0,1212,-0.11826697892271665,-1266556.9679999999,3,SL
042700,2026-01-05,2026-01-06,2026-01-13,169000.0,173200.0,113,0.024852071005917242,396302.3,5,MAX_HOLD
023810,2026-01-05,2026-01-06,2026-01-13,10860.0,12350.0,1238,0.1372007366482504,1789496.812,5,MAX_HOLD
101140,2026-01-07,2026-01-08,2026-01-15,12880.0,12200.0,1062,-0.052795031055900665,-778242.096,5,MAX_HOLD
012200,2026-01-08,2026-01-09,2026-01-16,11150.0,11380.0,1456,0.020627802690583064,268318.96,5,MAX_HOLD
003160,2026-01-08,2026-01-09,2026-01-16,27900.0,30550.0,407,0.09498207885304666,1031993.27,5,MAX_HOLD
005380,2026-01-13,2026-01-14,2026-01-21,406500.0,549000.0,45,0.35055350553505527,6337500.75,5,TP
272210,2026-01-13,2026-01-14,2026-01-21,86500.0,88800.0,148,0.026589595375722475,287911.8,5,MAX_HOLD
092780,2026-01-15,2026-01-16,2026-01-22,7080.0,6100.0,1824,-0.1384180790960452,-1840467.072,4,SL
000270,2026-01-19,2026-01-20,2026-01-23,174000.0,159000.0,71,-0.08620689655172409,-1115651.4,3,SL
298020,2026-01-21,2026-01-22,2026-01-23,403000.0,363000.0,49,-0.09925558312655092,-2040962.7,1,SL
052690,2026-01-16,2026-01-19,2026-01-26,130000.0,134100.0,136,0.031538461538461515,485112.0,5,MAX_HOLD
377300,2026-01-23,2026-01-26,2026-01-26,77900.0,70900.0,230,-0.08985879332477531,-1683459.7,0,SL
006220,2026-01-27,2026-01-28,2026-01-28,15800.0,14260.0,847,-0.09746835443037971,-1359248.66,0,SL
457190,2026-01-21,2026-01-22,2026-01-29,93100.0,104400.0,150,0.12137486573576806,1637743.5,5,MAX_HOLD
011500,2026-01-22,2026-01-23,2026-01-30,25200.0,25950.0,524,0.029761904761904656,338860.32,5,MAX_HOLD
450080,2026-01-28,2026-01-29,2026-01-30,77500.0,67500.0,167,-0.12903225806451613,-1723064.25,1,SL
026890,2026-01-23,2026-01-26,2026-02-02,11070.0,11230.0,1134,0.014453477868112019,129971.142,5,MAX_HOLD
010660,2026-01-26,2026-01-27,2026-02-03,5930.0,6120.0,3224,0.03204047217537953,534174.888,5,MAX_HOLD
006800,2026-01-29,2026-01-30,2026-02-03,39900.0,49950.0,345,0.25187969924812026,3410811.45,2,TP
033240,2026-01-30,2026-02-02,2026-02-04,30150.0,38000.0,396,0.26036484245439473,3059648.46,2,TP
272210,2026-02-03,2026-02-04,2026-02-05,124800.0,111300.0,109,-0.10817307692307687,-1527273.12,1,SL
128820,2026-02-04,2026-02-05,2026-02-05,11740.0,9800.0,1202,-0.16524701873935266,-2389737.068,0,SL
004560,2026-02-02,2026-02-03,2026-02-06,17430.0,15890.0,698,-0.08835341365461846,-1124801.1739999999,3,SL
004840,2026-01-30,2026-02-02,2026-02-09,6140.0,5620.0,2781,-0.08469055374592838,-1516128.894,5,SL
006800,2026-02-03,2026-02-04,2026-02-11,51500.0,51078.0,380,-0.00819417475728157,-240597.0,5,MAX_HOLD
005090,2026-02-05,2026-02-06,2026-02-12,26700.0,34950.0,637,0.3089887640449438,5185517.61,4,TP
322000,2026-02-05,2026-02-06,2026-02-13,78300.0,81400.0,152,0.03959131545338446,422403.44,5,MAX_HOLD
010780,2026-02-09,2026-02-10,2026-02-20,29150.0,32050.0,560,0.09948542024013718,1557071.6,5,MAX_HOLD
000390,2026-02-09,2026-02-10,2026-02-20,10310.0,9730.0,1109,-0.0562560620756547,-690098.539,5,MAX_HOLD
000120,2026-02-11,2026-02-12,2026-02-24,146500.0,138800.0,94,-0.052559726962457365,-780261.1,5,MAX_HOLD
005440,2026-02-12,2026-02-13,2026-02-24,13400.0,18750.0,1218,0.39925373134328357,6449383.08,4,TP
000540,2026-02-20,2026-02-23,2026-02-24,6900.0,5820.0,2779,-0.15652173913043477,-3079937.91,1,SL
005090,2026-02-13,2026-02-19,2026-02-25,40000.0,48850.0,378,0.22124999999999995,3283308.0,4,TP
009290,2026-02-20,2026-02-23,2026-02-25,10710.0,9500.0,1253,-0.11297852474323067,-1571150.483,2,SL
006340,2026-02-24,2026-02-25,2026-02-25,7020.0,6190.0,3554,-0.11823361823361822,-3052111.228,0,SL
085620,2026-02-24,2026-02-25,2026-02-26,15480.0,13890.0,789,-0.1027131782945736,-1304586.252,1,SL
001820,2026-02-24,2026-02-25,2026-02-27,61500.0,53900.0,284,-0.12357723577235769,-2230010.6,2,SL
078000,2026-02-25,2026-02-26,2026-02-27,22000.0,19000.0,770,-0.13636363636363635,-2379454.0,1,SL
042700,2026-02-26,2026-02-27,2026-02-27,263500.0,323500.0,57,0.22770398481973442,3358420.05,0,TP
011070,2026-02-26,2026-02-27,2026-03-03,333000.0,285000.0,31,-0.14414414414414412,-1530324.3,1,SL
042700,2026-02-27,2026-03-03,2026-03-03,314000.0,282000.0,70,-0.10191082802547768,-2330118.0,0,SL
006340,2026-02-27,2026-03-03,2026-03-03,6650.0,5930.0,2315,-0.1082706766917293,-1729918.475,0,SL
005850,2026-02-25,2026-02-26,2026-03-04,72900.0,59900.0,332,-0.17832647462277096,-4415231.48,3,SL
013520,2026-02-27,2026-03-03,2026-03-04,3370.0,2770.0,3197,-0.17804154302670627,-1962372.949,1,SL
079550,2026-03-03,2026-03-04,2026-03-04,825000.0,619000.0,24,-0.24969696969696975,-5025180.0,0,SL
272210,2026-03-03,2026-03-04,2026-03-04,176900.0,116000.0,55,-0.34426229508196726,-3389390.95,0,SL
014530,2026-03-03,2026-03-04,2026-03-05,5350.0,4910.0,2641,-0.0822429906542056,-1219970.335,1,SL
117580,2026-03-04,2026-03-05,2026-03-05,10450.0,12700.0,1756,0.2153110047846889,3875764.18,0,TP
004090,2026-03-04,2026-03-05,2026-03-06,26500.0,23250.0,623,-0.12264150943396224,-2092438.95,1,SL
117580,2026-03-05,2026-03-06,2026-03-06,13940.0,11870.0,1336,-0.14849354375896695,-2841877.744,0,SL
079550,2026-03-06,2026-03-09,2026-03-09,877000.0,796000.0,21,-0.09236031927023947,-1776509.7,0,SL
465770,2026-03-04,2026-03-05,2026-03-12,6910.0,6540.0,1673,-0.05354558610709115,-666407.763,5,MAX_HOLD
117580,2026-03-09,2026-03-10,2026-03-13,12120.0,10590.0,1335,-0.12623762376237624,-2108888.82,3,SL
014530,2026-03-09,2026-03-10,2026-03-17,4090.0,3860.0,4397,-0.05623471882640585,-1085043.293,5,MAX_HOLD
009680,2026-03-11,2026-03-12,2026-03-19,11140.0,10880.0,1017,-0.02333931777378817,-310870.458,5,MAX_HOLD
475150,2026-03-12,2026-03-13,2026-03-19,39150.0,53700.0,286,0.3716475095785441,4115392.71,4,TP
322000,2026-03-12,2026-03-13,2026-03-20,127200.0,131000.0,61,0.029874213836478036,199987.28,5,MAX_HOLD
035510,2026-03-17,2026-03-18,2026-03-20,23300.0,21200.0,510,-0.09012875536480691,-1119720.3,2,SL
214390,2026-03-19,2026-03-20,2026-03-20,7900.0,7150.0,1437,-0.09493670886075944,-1124294.43,0,SL
007340,2026-03-16,2026-03-17,2026-03-20,35300.0,39750.0,275,0.1260623229461757,1223750.0,3,EOD
047040,2026-03-19,2026-03-20,2026-03-20,16860.0,19110.0,962,0.13345195729537362,2164500.0,0,EOD
