timestamp,code,price,best_ask,best_bid,ask_qty_1,bid_qty_1,total_ask,total_bid,net_bid,volume
10:34:47.376,333620,6710.0,6760,6710,0,0,0,0,0,904857
10:35:48.622,333620,6610.0,6630,6610,0,0,0,0,0,965768
10:36:49.237,333620,6540.0,6550,6540,0,0,0,0,0,1023943
10:37:50.020,333620,6350.0,6350,6320,0,0,0,0,0,1092449
10:38:50.698,333620,6160.0,6170,6160,0,0,0,0,0,1145034
10:39:51.326,333620,6020.0,6020,6010,0,0,0,0,0,1175831
10:40:51.956,333620,6070.0,6070,6060,0,0,0,0,0,1197543
10:41:51.672,333620,6110.0,6110,6100,0,0,0,0,0,1210793
10:42:53.182,333620,6020.0,6030,6020,0,0,0,0,0,1221669
10:43:53.818,333620,6040.0,6040,6030,0,0,0,0,0,1228920
10:44:55.028,333620,6110.0,6120,6110,0,0,0,0,0,1240290
10:45:55.693,333620,6140.0,6140,6130,0,0,0,0,0,1241002
10:46:56.267,333620,6110.0,6120,6100,0,0,0,0,0,1246110
10:47:56.959,333620,6070.0,6070,6050,0,0,0,0,0,1250413
10:48:53.567,333620,6010.0,6040,6010,0,0,0,0,0,1277068
10:49:56.471,333620,5950.0,5980,5950,0,0,0,0,0,1295466
10:50:58.856,333620,5980.0,5980,5950,0,0,0,0,0,1306502
10:51:59.533,333620,5910.0,5950,5900,0,0,0,0,0,1313713
10:52:54.555,333620,5910.0,5910,5900,0,0,0,0,0,1320018
10:54:01.410,333620,5910.0,5920,5900,0,0,0,0,0,1329239
10:55:02.201,333620,5880.0,5880,5870,0,0,0,0,0,1346897
10:55:56.165,333620,5930.0,5930,5910,0,0,0,0,0,1351897
10:57:03.544,333620,5910.0,5920,5910,0,0,0,0,0,1354282
10:57:58.060,333620,5870.0,5920,5890,0,0,0,0,0,1366340
11:00:05.489,333620,5880.0,5880,5860,0,0,0,0,0,1372630
11:01:04.060,333620,5940.0,5940,5920,0,0,0,0,0,1381896
11:02:06.784,333620,5880.0,5910,5880,0,0,0,0,0,1384639
11:03:07.393,333620,5885.0,5890,5880,0,0,0,0,0,1385017
11:04:08.678,333620,5870.0,5870,5860,0,0,0,0,0,1385976
11:05:07.557,333620,5860.0,5890,5860,0,0,0,0,0,1388097
11:06:03.859,333620,5880.0,5900,5860,0,0,0,0,0,1390273
11:06:54.253,333620,5890.0,5890,5870,0,0,0,0,0,1391973
11:08:10.451,333620,5890.0,5890,5880,0,0,0,0,0,1392699
11:09:07.558,333620,5900.0,5900,5860,0,0,0,0,0,1393032
11:10:12.523,333620,5910.0,5910,5870,0,0,0,0,0,1394723
11:10:38.745,333620,5900.0,5900,5860,0,0,0,0,0,1395606
11:12:01.952,333620,5930.0,5930,5880,0,0,0,0,0,1404868
11:13:10.146,333620,5920.0,5920,5860,0,0,0,0,0,1405598
11:13:58.857,333620,5920.0,5920,5900,0,0,0,0,0,1406317
11:15:13.139,333620,5920.0,5920,5900,0,0,0,0,0,1406754
11:16:14.545,333620,5920.0,5920,5870,0,0,0,0,0,1407927
11:16:35.658,333620,5910.0,5910,5870,0,0,0,0,0,1408238
11:17:55.546,333620,5910.0,5910,5890,0,0,0,0,0,1411044
11:19:16.736,333620,5910.0,5910,5880,0,0,0,0,0,1411057
11:20:15.252,333620,5910.0,5910,5890,0,0,0,0,0,1411195
11:21:07.860,333620,5940.0,5940,5920,0,0,0,0,0,1412171
11:22:17.539,333620,5930.0,5930,5890,0,0,0,0,0,1412970
11:22:54.442,333620,5920.0,5920,5870,0,0,0,0,0,1414233
11:24:13.643,333620,5880.0,5920,5880,0,0,0,0,0,1414304
11:25:19.935,333620,5920.0,5920,5890,0,0,0,0,0,1414325
11:26:21.141,333620,5890.0,5890,5880,0,0,0,0,0,1414392
11:27:13.132,333620,5910.0,5910,5890,0,0,0,0,0,1415034
11:28:09.843,333620,5910.0,5910,5890,0,0,0,0,0,1415164
11:29:23.339,333620,5910.0,5910,5890,0,0,0,0,0,1416859
11:30:25.729,333620,5920.0,5920,5900,0,0,0,0,0,1417616
11:30:59.434,333620,5940.0,5940,5910,0,0,0,0,0,1418516
11:31:42.934,333620,5930.0,5930,5920,0,0,0,0,0,1418647
11:32:58.934,333620,5930.0,5930,5900,0,0,0,0,0,1419600
11:34:28.234,333620,5930.0,5930,5910,0,0,0,0,0,1420033
11:35:27.640,333620,5930.0,5930,5910,0,0,0,0,0,1420136
11:36:31.014,333620,5940.0,5940,5930,0,0,0,0,0,1420236
11:37:26.333,333620,5940.0,5940,5910,0,0,0,0,0,1421018
11:38:25.430,333620,5950.0,5960,5940,0,0,0,0,0,1421209
11:39:19.225,333620,5920.0,5940,5920,0,0,0,0,0,1423128
11:40:13.818,333620,5920.0,5940,5920,0,0,0,0,0,1423504
11:41:29.619,333620,5950.0,5950,5920,0,0,0,0,0,1424639
11:41:39.320,333620,5950.0,5950,5920,0,0,0,0,0,1424652
11:43:31.120,333620,5940.0,5940,5930,0,0,0,0,0,1424770
11:44:15.525,333620,5960.0,5960,5940,0,0,0,0,0,1425818
11:45:31.815,333620,5920.0,5940,5920,0,0,0,0,0,1427546
11:46:36.517,333620,5970.0,5970,5950,0,0,0,0,0,1429286
11:47:24.211,333620,5960.0,5960,5950,0,0,0,0,0,1430833
11:48:39.292,333620,5970.0,5970,5960,0,0,0,0,0,1431694
