code,open,high,low,close,volume,amount,market_cap
005930,71800.0,72100.0,71600.0,71700.0,8123087,0.0,0.0
000660,126800.0,127500.0,125400.0,125600.0,2667583,0.0,0.0
005935,58000.0,58200.0,57700.0,57700.0,899379,0.0,0.0
207940,1055240.0,1058184.0,1037579.0,1037579.0,37085,0.0,0.0
005380,181100.0,183400.0,181100.0,182900.0,280528,0.0,0.0
000270,84300.0,85200.0,84100.0,84500.0,765813,0.0,0.0
068270,149951.0,150227.0,147284.0,147284.0,301613,0.0,0.0
105560,51700.0,52400.0,51600.0,52000.0,720118,0.0,0.0
035420,214000.0,215500.0,212500.0,213500.0,494143,0.0,0.0
012330,225000.0,227500.0,223500.0,223500.0,91993,0.0,0.0
055550,36500.0,37000.0,36500.0,36700.0,640850,0.0,0.0
066570,101300.0,101600.0,99900.0,100000.0,772580,0.0,0.0
028260,120500.0,121300.0,119800.0,120100.0,168693,0.0,0.0
096770,135200.0,136200.0,134500.0,134800.0,207571,0.0,0.0
003550,82400.0,83100.0,82000.0,82400.0,133272,0.0,0.0
032830,69300.0,70100.0,69300.0,69400.0,98642,0.0,0.0
051910,471500.0,477500.0,467000.0,471000.0,206370,0.0,0.0
086790,41700.0,42150.0,41600.0,41600.0,822790,0.0,0.0
017670,50200.0,51100.0,50200.0,51100.0,536158,0.0,0.0
003490,22400.0,22500.0,22300.0,22300.0,466145,0.0,0.0
034730,168500.0,170500.0,168200.0,168900.0,118792,0.0,0.0
011200,16300.0,16420.0,16050.0,16140.0,1132102,0.0,0.0
009150,146200.0,150100.0,144600.0,149400.0,475009,0.0,0.0
018260,165800.0,166400.0,162600.0,163800.0,121663,0.0,0.0
015760,19150.0,19350.0,19130.0,19160.0,684774,0.0,0.0
011170,161500.0,164500.0,160300.0,160300.0,50545,0.0,0.0
030200,34050.0,34600.0,34000.0,34450.0,832923,0.0,0.0
316140,12890.0,12970.0,12810.0,12810.0,1401376,0.0,0.0
010950,68300.0,68500.0,67100.0,67200.0,419596,0.0,0.0
003670,313087.0,320842.0,308241.0,308726.0,714113,0.0,0.0
033780,90500.0,91000.0,90100.0,90400.0,305828,0.0,0.0
009830,32250.0,32800.0,31950.0,32150.0,494236,0.0,0.0
010130,529000.0,541000.0,526000.0,530000.0,76595,0.0,0.0
000810,263500.0,269000.0,260500.0,266000.0,60982,0.0,0.0
042700,58400.0,59000.0,57400.0,57900.0,601332,0.0,0.0
008770,65000.0,65400.0,64700.0,64800.0,162228,0.0,0.0
161390,45650.0,46000.0,43050.0,45000.0,460277,0.0,0.0
090430,131400.0,132100.0,128100.0,128100.0,155737,0.0,0.0
004020,35900.0,36100.0,35150.0,35200.0,186210,0.0,0.0
006400,435668.0,435668.0,423430.0,424410.0,357507,0.0,0.0
018880,6441.0,6562.0,6441.0,6460.0,655436,0.0,0.0
034020,16150.0,16240.0,15840.0,15950.0,3611870,0.0,0.0
024110,11800.0,11870.0,11780.0,11850.0,872824,0.0,0.0
011780,126200.0,126300.0,122600.0,122700.0,59918,0.0,0.0
000100,60582.0,62018.0,59721.0,61444.0,510533,0.0,0.0
001040,100500.0,103200.0,98800.0,99100.0,118046,0.0,0.0
047050,53400.0,58300.0,52800.0,55600.0,2320449,0.0,0.0
097950,324000.0,326500.0,320000.0,320000.0,24987,0.0,0.0
071050,59900.0,62300.0,59700.0,61700.0,154688,0.0,0.0
006800,7180.0,7270.0,7120.0,7120.0,397916,0.0,0.0
029780,32850.0,33050.0,32750.0,32750.0,86906,0.0,0.0
010140,8100.0,8110.0,7880.0,7980.0,3552820,0.0,0.0
001800,15300.0,15460.0,15300.0,15400.0,61958,0.0,0.0
032640,10390.0,10490.0,10390.0,10410.0,404012,0.0,0.0
001450,31350.0,32150.0,31350.0,31900.0,226143,0.0,0.0
004370,408500.0,414000.0,407500.0,410000.0,23178,0.0,0.0
002380,215000.0,217000.0,211000.0,214500.0,20117,0.0,0.0
000720,35500.0,36900.0,35400.0,36700.0,605868,0.0,0.0
016360,39250.0,39450.0,39100.0,39200.0,122256,0.0,0.0
005490,459000.0,461000.0,451000.0,451500.0,628444,0.0,0.0
139480,74900.0,75200.0,74300.0,75000.0,43248,0.0,0.0
267250,61500.0,61700.0,60800.0,60800.0,178229,0.0,0.0
011070,239000.0,242500.0,238000.0,238500.0,106244,0.0,0.0
004490,54900.0,57300.0,54500.0,56700.0,57277,0.0,0.0
000080,22850.0,23000.0,22800.0,22950.0,130921,0.0,0.0
