code,open,high,low,close,volume,amount,market_cap
005930,78700.0,80200.0,78600.0,79800.0,18207598,0.0,0.0
000660,227000.0,234500.0,227000.0,234500.0,3136231,0.0,0.0
005935,62800.0,63400.0,62600.0,62900.0,1647331,0.0,0.0
207940,1087619.0,1094977.0,1078788.0,1089090.0,31469,0.0,0.0
005380,280500.0,290000.0,278500.0,283000.0,1667920,0.0,0.0
000270,129900.0,133900.0,129100.0,131000.0,2632809,0.0,0.0
068270,165406.0,166694.0,163934.0,164763.0,496590,0.0,0.0
105560,79000.0,79300.0,77300.0,77400.0,1034489,0.0,0.0
035420,166700.0,169400.0,166300.0,166800.0,663328,0.0,0.0
012330,237000.0,240500.0,233500.0,235500.0,323533,0.0,0.0
055550,46500.0,46750.0,45650.0,45700.0,740437,0.0,0.0
066570,100900.0,101900.0,99800.0,101800.0,843389,0.0,0.0
028260,131300.0,131600.0,130100.0,131400.0,252542,0.0,0.0
096770,109800.0,110200.0,102400.0,103100.0,718167,0.0,0.0
003550,80600.0,80700.0,79500.0,79500.0,123816,0.0,0.0
032830,83600.0,84900.0,82600.0,84000.0,198006,0.0,0.0
051910,358000.0,359000.0,351000.0,351500.0,208142,0.0,0.0
086790,59000.0,59100.0,58000.0,58400.0,428770,0.0,0.0
017670,51000.0,51500.0,50800.0,51500.0,621638,0.0,0.0
003490,21850.0,22000.0,21700.0,21750.0,422691,0.0,0.0
034730,175000.0,178200.0,167100.0,169000.0,594896,0.0,0.0
011200,17680.0,18440.0,17650.0,17930.0,2961650,0.0,0.0
009150,151600.0,153400.0,150700.0,151600.0,372889,0.0,0.0
018260,151800.0,151800.0,148100.0,149300.0,109018,0.0,0.0
015760,19760.0,19930.0,19720.0,19840.0,1600534,0.0,0.0
011170,110800.0,113000.0,109400.0,110000.0,71932,0.0,0.0
030200,36200.0,36450.0,36000.0,36300.0,379229,0.0,0.0
316140,13980.0,14170.0,13940.0,14120.0,907160,0.0,0.0
010950,66500.0,67500.0,66500.0,66500.0,170661,0.0,0.0
003670,258322.0,261230.0,250083.0,250568.0,271560,0.0,0.0
033780,86700.0,87000.0,86100.0,86500.0,213667,0.0,0.0
009830,29950.0,30200.0,29350.0,29650.0,1720896,0.0,0.0
010130,487000.0,494000.0,484500.0,488500.0,36716,0.0,0.0
000810,337500.0,338000.0,327000.0,334000.0,53901,0.0,0.0
042700,182200.0,183800.0,178100.0,179500.0,980995,0.0,0.0
008770,56100.0,56300.0,55500.0,55500.0,177760,0.0,0.0
161390,45500.0,47500.0,45450.0,46350.0,596757,0.0,0.0
090430,185300.0,185900.0,181400.0,181600.0,210477,0.0,0.0
004020,28800.0,28900.0,28550.0,28650.0,223755,0.0,0.0
006400,375458.0,378395.0,367137.0,367137.0,263554,0.0,0.0
018880,4443.0,4694.0,4401.0,4666.0,4556576,0.0,0.0
034020,19790.0,19940.0,19350.0,19720.0,5968659,0.0,0.0
024110,13280.0,13350.0,13060.0,13310.0,547009,0.0,0.0
011780,149800.0,149900.0,145000.0,145000.0,52577,0.0,0.0
000100,75800.0,76100.0,74800.0,75600.0,383351,0.0,0.0
001040,129000.0,129200.0,124500.0,128400.0,74268,0.0,0.0
047050,69500.0,71900.0,65600.0,66600.0,4951911,0.0,0.0
097950,393500.0,399500.0,388000.0,396500.0,68725,0.0,0.0
071050,65600.0,67800.0,64700.0,67000.0,169295,0.0,0.0
006800,7030.0,7100.0,6960.0,7020.0,417458,0.0,0.0
029780,37950.0,38000.0,36800.0,36850.0,134674,0.0,0.0
010140,8980.0,8990.0,8850.0,8860.0,2922469,0.0,0.0
001800,15950.0,15990.0,15420.0,15590.0,91675,0.0,0.0
032640,9770.0,9930.0,9730.0,9930.0,1162502,0.0,0.0
001450,31600.0,32300.0,31000.0,32200.0,535644,0.0,0.0
004370,574000.0,578000.0,549000.0,560000.0,56632,0.0,0.0
002380,281000.0,281500.0,277000.0,277000.0,11502,0.0,0.0
000720,32250.0,32300.0,31900.0,31950.0,390073,0.0,0.0
016360,36750.0,37300.0,36200.0,37150.0,932476,0.0,0.0
005490,373500.0,375500.0,368000.0,368000.0,314133,0.0,0.0
139480,58000.0,58300.0,57000.0,57300.0,243554,0.0,0.0
267250,69400.0,69500.0,68300.0,68300.0,201985,0.0,0.0
011070,265000.0,270000.0,259500.0,263500.0,271868,0.0,0.0
004490,114300.0,117700.0,111900.0,113200.0,81700,0.0,0.0
000080,21450.0,21600.0,20650.0,20850.0,472317,0.0,0.0
021240,55100.0,55800.0,54200.0,55200.0,112524,0.0,0.0
007070,18816.0,18816.0,18217.0,18303.0,241241,0.0,0.0
138930,8080.0,8090.0,7940.0,7950.0,432229,0.0,0.0
069960,49300.0,49350.0,48250.0,48300.0,84754,0.0,0.0
002350,8090.0,8120.0,8010.0,8050.0,40379,0.0,0.0
011210,57700.0,61700.0,57300.0,59400.0,650343,0.0,0.0
001120,29200.0,29650.0,28400.0,28500.0,382713,0.0,0.0
023530,63900.0,64100.0,63400.0,63600.0,87875,0.0,0.0
004000,46400.0,46500.0,45000.0,45050.0,69816,0.0,0.0
009540,138900.0,140300.0,136700.0,138600.0,278955,0.0,0.0
006260,148400.0,149300.0,141000.0,141800.0,444622,0.0,0.0
004170,161100.0,161700.0,158500.0,159000.0,33844,0.0,0.0
005940,11990.0,12480.0,11880.0,12330.0,763214,0.0,0.0
001630,56500.0,56700.0,55100.0,55200.0,2069,0.0,0.0
006120,41250.0,41400.0,40400.0,40900.0,32956,0.0,0.0
000880,26200.0,26300.0,26000.0,26300.0,106561,0.0,0.0
014820,48350.0,49300.0,47200.0,47600.0,86394,0.0,0.0
002760,1199.0,1228.0,1191.0,1203.0,257396,0.0,0.0
005010,4585.0,4680.0,4565.0,4620.0,657416,0.0,0.0
006650,139500.0,140300.0,135900.0,136300.0,38108,0.0,0.0
000150,218000.0,226500.0,216500.0,225500.0,69503,0.0,0.0
001740,4960.0,5040.0,4900.0,5000.0,1532222,0.0,0.0
005850,44700.0,46350.0,43750.0,45000.0,710756,0.0,0.0
001430,20850.0,21750.0,20700.0,21750.0,195391,0.0,0.0
007310,500000.0,503000.0,475000.0,478000.0,15757,0.0,0.0
000990,44200.0,46450.0,43550.0,45400.0,1793233,0.0,0.0
002600,185300.0,187400.0,176000.0,176000.0,345,0.0,0.0
001060,27400.0,27900.0,27050.0,27900.0,91067,0.0,0.0
000070,48246.0,48513.0,47912.0,48446.0,12157,0.0,0.0
004140,2945.0,3165.0,2930.0,2975.0,3390978,0.0,0.0
007160,49100.0,51400.0,46450.0,47300.0,203113,0.0,0.0
002320,19660.0,20300.0,19520.0,19970.0,59792,0.0,0.0
000210,56500.0,56800.0,55300.0,56300.0,86103,0.0,0.0
001530,22558.0,23014.0,22558.0,22786.0,177641,0.0,0.0
007860,9970.0,10020.0,9690.0,9890.0,159079,0.0,0.0
002240,21022.0,21022.0,20467.0,20745.0,24768,0.0,0.0
006490,1090.0,1090.0,1064.0,1070.0,193461,0.0,0.0
003460,2210.0,2210.0,2200.0,2205.0,498,0.0,0.0
004830,8710.0,8750.0,8550.0,8590.0,253187,0.0,0.0
001390,5090.0,5500.0,5040.0,5280.0,2620223,0.0,0.0
004560,18300.0,18430.0,17800.0,17850.0,198957,0.0,0.0
002310,8640.0,8680.0,8580.0,8680.0,107430,0.0,0.0
000950,20900.0,21350.0,20900.0,21100.0,642,0.0,0.0
003080,3005.0,3005.0,2945.0,2985.0,97388,0.0,0.0
005960,4790.0,4880.0,4770.0,4810.0,20414,0.0,0.0
002200,2635.0,2680.0,2595.0,2595.0,96038,0.0,0.0
001270,24850.0,25200.0,24850.0,25150.0,7586,0.0,0.0
001680,30450.0,30450.0,29100.0,29500.0,888686,0.0,0.0
007570,13100.0,13280.0,13090.0,13130.0,11934,0.0,0.0
002450,1168.0,1176.0,1158.0,1163.0,44838,0.0,0.0
003410,7000.0,7010.0,7000.0,7010.0,479101,0.0,0.0
006110,86200.0,86400.0,79800.0,81400.0,168698,0.0,0.0
001290,643.0,650.0,642.0,645.0,40939,0.0,0.0
000230,7830.0,7830.0,7630.0,7630.0,20444,0.0,0.0
004890,42900.0,42900.0,42100.0,42550.0,1647,0.0,0.0
002030,250500.0,253500.0,246500.0,252000.0,1753,0.0,0.0
000400,3670.0,3830.0,3670.0,3770.0,914432,0.0,0.0
001940,20050.0,20800.0,20050.0,20200.0,12396,0.0,0.0
002630,504.0,508.0,499.0,504.0,51102,0.0,0.0
005250,14620.0,14680.0,14410.0,14480.0,18655,0.0,0.0
006740,1588.0,1588.0,1552.0,1568.0,363076,0.0,0.0
001550,12650.0,13100.0,12520.0,12770.0,27608,0.0,0.0
003230,700000.0,712000.0,671000.0,712000.0,188158,0.0,0.0
007700,15170.0,15680.0,15010.0,15170.0,9279,0.0,0.0
002990,3720.0,4780.0,3710.0,3980.0,2378059,0.0,0.0
001140,0.0,0.0,0.0,2110.0,0,0.0,0.0
006040,33826.0,33962.0,33189.0,33599.0,53858,0.0,0.0
003560,0.0,0.0,0.0,10760.0,0,0.0,0.0
001810,1802.0,1817.0,1794.0,1813.0,13780,0.0,0.0
006360,14600.0,14660.0,14460.0,14470.0,250973,0.0,0.0
007690,36000.0,36000.0,35200.0,35200.0,10696,0.0,0.0
004060,392.0,404.0,391.0,395.0,470479,0.0,0.0
003580,4555.0,4650.0,4510.0,4525.0,96339,0.0,0.0
006200,890.0,918.0,890.0,916.0,130529,0.0,0.0
004430,13000.0,13110.0,12940.0,12950.0,44014,0.0,0.0
006730,7110.0,7170.0,7040.0,7050.0,121645,0.0,0.0
003350,57000.0,57200.0,54000.0,55400.0,168150,0.0,0.0
004310,3620.0,3670.0,3540.0,3565.0,112744,0.0,0.0
003960,76700.0,78000.0,70000.0,72900.0,840928,0.0,0.0
003690,6602.0,6755.0,6534.0,6755.0,420587,0.0,0.0
002700,1776.0,1776.0,1744.0,1749.0,552908,0.0,0.0
004650,9460.0,9640.0,9360.0,9420.0,19458,0.0,0.0
002820,2940.0,3050.0,2940.0,2985.0,59159,0.0,0.0
002880,1439.0,1439.0,1322.0,1359.0,1124527,0.0,0.0
004380,12250.0,12370.0,12180.0,12340.0,60756,0.0,0.0
002870,945.0,956.0,907.0,907.0,147351,0.0,0.0
004410,191.0,194.0,188.0,190.0,4170266,0.0,0.0
002790,35600.0,35600.0,34450.0,34450.0,153092,0.0,0.0
001570,88000.0,89000.0,85000.0,85100.0,274899,0.0,0.0
247540,201000.0,203000.0,191300.0,191600.0,710704,0.0,0.0
086900,132800.0,132800.0,128400.0,128700.0,44937,0.0,0.0
196170,269500.0,280000.0,267000.0,273500.0,829928,0.0,0.0
263750,44300.0,44500.0,43200.0,43450.0,340239,0.0,0.0
112040,40150.0,43750.0,39300.0,42700.0,550704,0.0,0.0
357780,305000.0,310500.0,304500.0,308500.0,40554,0.0,0.0
145020,230000.0,237000.0,222000.0,229000.0,85561,0.0,0.0
141080,62700.0,66000.0,62100.0,65900.0,488475,0.0,0.0
214150,50700.0,51900.0,50300.0,51800.0,214261,0.0,0.0
293490,20550.0,20650.0,20050.0,20350.0,181612,0.0,0.0
066970,158400.0,159100.0,153400.0,153400.0,202152,0.0,0.0
041510,80700.0,82200.0,80100.0,81300.0,110778,0.0,0.0
054040,5390.0,5420.0,5370.0,5390.0,68467,0.0,0.0
950130,5988.0,6014.0,5860.0,5945.0,104266,0.0,0.0
039030,199600.0,202500.0,182600.0,188300.0,320786,0.0,0.0
253450,41400.0,41850.0,41150.0,41700.0,49242,0.0,0.0
112610,47150.0,47450.0,45000.0,45100.0,521096,0.0,0.0
236200,27100.0,27300.0,26450.0,26600.0,55220,0.0,0.0
122870,40800.0,40850.0,40150.0,40400.0,93836,0.0,0.0
058470,54362.0,54662.0,52059.0,52460.0,750568,0.0,0.0
039440,34950.0,37650.0,34950.0,37150.0,1043675,0.0,0.0
064760,141200.0,145900.0,136500.0,142000.0,94710,0.0,0.0
035080,15200.0,15470.0,15120.0,15170.0,51162,0.0,0.0
067160,103900.0,105900.0,103100.0,104800.0,87349,0.0,0.0
096530,21500.0,21750.0,21200.0,21250.0,166779,0.0,0.0
048410,8804.0,8866.0,8574.0,8598.0,392586,0.0,0.0
060310,2635.0,2780.0,2635.0,2655.0,1640477,0.0,0.0
036930,35400.0,36450.0,35050.0,35700.0,786648,0.0,0.0
049430,9120.0,9300.0,9120.0,9300.0,15717,0.0,0.0
060250,9840.0,9850.0,9630.0,9650.0,163619,0.0,0.0
078890,5418.0,5496.0,5408.0,5418.0,66798,0.0,0.0
053800,60600.0,60800.0,60300.0,60700.0,24229,0.0,0.0
036620,4165.0,4280.0,4060.0,4060.0,843650,0.0,0.0
049800,2605.0,2635.0,2575.0,2590.0,10388,0.0,0.0
079960,20600.0,20800.0,19980.0,20100.0,176996,0.0,0.0
053210,5330.0,5360.0,5290.0,5310.0,19814,0.0,0.0
036810,36422.0,37111.0,35784.0,36029.0,481148,0.0,0.0
049770,47750.0,47800.0,44600.0,46650.0,129726,0.0,0.0
060150,7120.0,7200.0,7090.0,7190.0,96089,0.0,0.0
079170,7600.0,7610.0,7490.0,7610.0,12923,0.0,0.0
053050,3810.0,4050.0,3795.0,3895.0,1429211,0.0,0.0
036710,2510.0,2565.0,2500.0,2525.0,69531,0.0,0.0
079000,6290.0,6360.0,6270.0,6310.0,2989,0.0,0.0
052900,1221.0,1242.0,1221.0,1224.0,51375,0.0,0.0
052790,8820.0,9140.0,8800.0,9070.0,49164,0.0,0.0
078150,3470.0,3570.0,3415.0,3535.0,13185898,0.0,0.0
052460,3180.0,3205.0,3095.0,3095.0,92840,0.0,0.0
048910,10100.0,10240.0,9810.0,9950.0,231312,0.0,0.0
059210,4710.0,4735.0,4545.0,4620.0,311888,0.0,0.0
052020,5900.0,5955.0,5716.0,5928.0,124889,0.0,0.0
035720,42500.0,43000.0,42200.0,42300.0,871491,0.0,0.0
059100,5230.0,5390.0,5210.0,5260.0,4395,0.0,0.0
035610,4245.0,5080.0,4240.0,4315.0,3600391,0.0,0.0
048470,4220.0,4485.0,4135.0,4310.0,299358,0.0,0.0
263720,24950.0,25250.0,23650.0,24650.0,128721,0.0,0.0
328130,49750.0,49900.0,47500.0,49050.0,410823,0.0,0.0
041960,4220.0,4350.0,4220.0,4295.0,75456,0.0,0.0
066575,45350.0,45500.0,44950.0,45350.0,34491,0.0,0.0
950160,14000.0,14130.0,13740.0,13830.0,92393,0.0,0.0
011560,12700.0,12950.0,12570.0,12680.0,58736,0.0,0.0
068760,87104.0,87477.0,85515.0,85889.0,66437,0.0,0.0
078130,0.0,0.0,0.0,800.0,0,0.0,0.0
