sim_time,strategy,rank,code,name,entry_price,exit_price,qty,pnl,pnl_pct,exit_reason,source,params_hash
2026-04-07 19:20:35,A,,0007C0,아크릴,0,0,53,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,A,,046890,서울반도체,0,0,194,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,A,,004650,창해에탄올,0,0,165,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,A,,005810,풍산홀딩스,0,0,36,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,A,,033640,네패스,0,0,91,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,A,,0007C0,아크릴,0,0,53,19822,1.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,A,,046890,서울반도체,0,0,194,19788,1.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,A,,004650,창해에탄올,0,0,165,19800,1.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,A,,005810,풍산홀딩스,0,0,36,19656,1.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,A,,033640,네패스,0,0,91,9464,0.47,,실시간순위,20260407_192035
2026-04-07 19:20:35,B,,0007C0,아크릴,0,0,26,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,B,,046890,서울반도체,0,0,97,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,B,,004650,창해에탄올,0,0,82,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,B,,005810,풍산홀딩스,0,0,18,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,B,,033640,네패스,0,0,45,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,B,,493330,지에프아이,0,0,70,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,B,,077360,덕산하이메탈,0,0,84,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,B,,393890,더블유씨피,0,0,63,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,B,,394420,리센스메디컬,0,0,42,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,B,,079000,와토스코리아,0,0,113,0.0,0.0,,실시간순위,20260407_192035
2026-04-07 19:20:35,B,,0007C0,아크릴,0,0,26,19448,2.0,,실시간순위,20260407_192035
