ticker,entry_date,exit_date,pnl_pct,exit_reason
069960,2020-01-13,2020-01-28,-0.11399603766249013,TRAIL
028050,2020-01-13,2020-02-03,-0.1415508883533936,TRAIL
006280,2020-01-13,2020-02-03,-0.0475673213899254,TRAIL
051900,2020-01-13,2020-02-03,-0.07374934004466288,TRAIL
005490,2020-01-13,2020-02-03,-0.09673758898197306,TRAIL
003690,2020-01-13,2020-02-13,-0.022117453093979902,REBAL
000100,2020-01-13,2020-02-13,-0.031880391991350766,REBAL
016360,2020-01-13,2020-02-13,-0.06453277938813635,REBAL
029780,2020-01-13,2020-02-13,-0.0014324435989520668,REBAL
051600,2020-01-13,2020-02-13,-0.018839505497345765,REBAL
000080,2020-01-13,2020-02-13,0.0869380468402837,REBAL
010120,2020-01-13,2020-02-13,-0.04639240163387399,REBAL
014680,2020-01-13,2020-02-21,-0.022975000550314924,TRAIL
003550,2020-02-13,2020-02-27,-0.12530124153661013,TRAIL
005387,2020-02-13,2020-02-27,-0.12532601160542506,TRAIL
005385,2020-02-13,2020-02-27,-0.132067778543225,TRAIL
005935,2020-01-13,2020-02-28,-0.07137237417502125,TRAIL
005930,2020-01-13,2020-02-28,-0.0943282674588652,TRAIL
051910,2020-01-13,2020-02-28,0.11565580860549182,TRAIL
051915,2020-02-13,2020-02-28,-0.11527705134344912,TRAIL
005380,2020-02-13,2020-02-28,-0.16402159414483566,TRAIL
051900,2020-02-13,2020-02-28,-0.13390338290453158,TRAIL
126560,2020-02-13,2020-02-28,-0.16447475014123375,TRAIL
214320,2020-02-13,2020-03-06,-0.13010772305725968,TRAIL
035720,2020-01-13,2020-03-09,0.007987365993718812,TRAIL
028260,2020-01-13,2020-03-09,-0.03667161269213302,TRAIL
185750,2020-01-13,2020-03-11,-0.09252523543691209,TRAIL
097950,2020-02-13,2020-03-12,-0.14428662979073148,TRAIL
034310,2020-02-13,2020-03-12,-0.13266942141264024,TRAIL
032640,2020-02-13,2020-03-12,-0.13990047808656408,TRAIL
004370,2020-02-13,2020-03-13,-0.07428286042479727,TRAIL
036570,2020-01-13,2020-03-16,-0.020556525285178245,TRAIL
010130,2020-03-13,2020-03-18,-0.11938133071653786,TRAIL
051915,2020-03-13,2020-03-18,-0.20702258233752183,TRAIL
005935,2020-03-13,2020-03-19,-0.11737945113119916,TRAIL
005930,2020-03-13,2020-03-19,-0.09854357688868555,TRAIL
097950,2020-03-13,2020-03-19,-0.2935229748946606,TRAIL
185750,2020-03-13,2020-03-19,-0.09716766899792444,TRAIL
003690,2020-03-13,2020-03-19,-0.20209279894848522,TRAIL
017670,2020-03-13,2020-03-19,-0.1341888601277984,TRAIL
028260,2020-03-13,2020-03-19,-0.15458755764204496,TRAIL
016360,2020-03-13,2020-03-19,-0.19268854106813707,TRAIL
032640,2020-03-13,2020-03-19,-0.18689338429637078,TRAIL
012750,2020-03-13,2020-03-23,-0.027807307310878184,TRAIL
035720,2020-03-13,2020-04-13,0.06891213979894689,REBAL
003120,2020-03-13,2020-04-13,0.1286243408653873,REBAL
051900,2020-03-13,2020-04-13,0.12410886063116972,REBAL
088980,2020-03-13,2020-05-18,0.10817318378636646,REBAL
000120,2020-03-13,2020-05-18,0.22039142690823602,REBAL
006280,2020-04-13,2020-05-18,-0.062497109805205425,REBAL
126560,2020-04-13,2020-05-18,0.11343383680196345,REBAL
293480,2020-04-13,2020-05-18,0.0024516839224143537,REBAL
005500,2020-04-13,2020-05-18,0.10202570322817298,REBAL
039490,2020-04-13,2020-05-18,-0.017356338479722993,REBAL
185750,2020-04-13,2020-05-18,0.13449590111396822,REBAL
007310,2020-04-13,2020-05-18,0.1343828882499411,REBAL
016580,2020-04-13,2020-05-18,-0.014541843313755616,REBAL
026960,2020-04-13,2020-05-18,0.06373722850301113,REBAL
001450,2020-04-13,2020-06-15,-0.004095290416021506,TRAIL
094280,2020-05-18,2020-06-15,-0.031011633918291263,TRAIL
001440,2020-05-18,2020-06-15,-0.11918163993118563,TRAIL
007070,2020-05-18,2020-06-15,-0.13665616953624476,TRAIL
213500,2020-05-18,2020-06-15,-0.14189342633330168,TRAIL
108670,2020-05-18,2020-06-15,0.07099985824201613,TRAIL
051900,2020-05-18,2020-06-15,-0.15057153715805732,TRAIL
002310,2020-05-18,2020-06-15,-0.1344416421115716,TRAIL
004370,2020-03-13,2020-06-16,0.45836147900383,REBAL
000100,2020-03-13,2020-06-16,0.33129137186030416,REBAL
271560,2020-04-13,2020-06-16,0.15596082362426067,REBAL
003230,2020-04-13,2020-06-16,0.2969679533808088,REBAL
181710,2020-05-18,2020-06-16,-0.09661433507011781,REBAL
