ticker,entry_date,exit_date,pnl_pct,exit_reason
008770,2020-01-13,2020-01-28,-0.15879893462324154,TRAIL
086980,2020-01-13,2020-01-28,-0.143764853345482,TRAIL
204620,2020-01-13,2020-01-28,-0.19120949259032655,TRAIL
004170,2020-01-13,2020-01-28,-0.14523465212457903,TRAIL
007370,2020-01-13,2020-01-29,0.5733986877891302,TRAIL
032350,2020-01-13,2020-01-30,-0.10571821996540709,TRAIL
131220,2020-01-13,2020-01-31,-0.04898113648177821,TRAIL
100130,2020-01-13,2020-01-31,-0.11234580232732358,TRAIL
100120,2020-01-13,2020-02-13,-0.00814368354441163,REBAL
000660,2020-01-13,2020-02-13,0.0160239966462809,REBAL
005935,2020-01-13,2020-02-13,0.04789154703411432,REBAL
005930,2020-01-13,2020-02-13,0.022640406485561676,REBAL
035420,2020-01-13,2020-02-13,-0.02268551166158917,REBAL
035720,2020-01-13,2020-02-13,0.05011176365050557,REBAL
014680,2020-01-13,2020-02-13,0.0572637675204322,REBAL
207940,2020-01-13,2020-02-24,0.045811149800581166,TRAIL
001390,2020-02-13,2020-02-24,-0.08124283834154106,TRAIL
006405,2020-02-13,2020-02-26,-0.12644806602680075,TRAIL
009155,2020-02-13,2020-02-27,-0.1530296805199701,TRAIL
037760,2020-02-13,2020-02-27,-0.1430587382649487,TRAIL
195870,2020-01-13,2020-02-28,-0.12892258371537593,TRAIL
011790,2020-01-13,2020-02-28,0.005687663509164908,TRAIL
009150,2020-01-13,2020-02-28,-0.0457490995621195,TRAIL
003670,2020-01-13,2020-02-28,0.008770077663576662,TRAIL
006400,2020-02-13,2020-02-28,-0.12950604893186263,TRAIL
032850,2020-02-13,2020-02-28,-0.13112395235275356,TRAIL
051910,2020-02-13,2020-02-28,-0.10283247704552259,TRAIL
012510,2020-02-13,2020-02-28,-0.09175180250029549,TRAIL
020150,2020-02-13,2020-02-28,-0.1240951937529904,TRAIL
136540,2020-02-13,2020-02-28,-0.14146145725519094,TRAIL
051915,2020-02-13,2020-02-28,-0.11527705134344912,TRAIL
065680,2020-02-13,2020-03-09,-0.01977882914962761,TRAIL
063160,2020-02-13,2020-03-12,-0.16378846542219883,TRAIL
082920,2020-02-13,2020-03-13,-0.1780249299195862,TRAIL
058470,2020-02-13,2020-03-16,-0.09349611929793888,TRAIL
064480,2020-03-13,2020-03-16,-0.2636661987650373,TRAIL
207940,2020-03-13,2020-03-18,-0.14223648393170205,TRAIL
007570,2020-03-13,2020-03-18,0.37969237815536516,TRAIL
151860,2020-03-13,2020-03-18,-0.17661421648568712,TRAIL
006405,2020-03-13,2020-03-18,-0.16639002223762706,TRAIL
012510,2020-03-13,2020-03-18,-0.14168738845065026,TRAIL
006400,2020-03-13,2020-03-18,-0.15156369630428307,TRAIL
243070,2020-03-13,2020-03-18,-0.13247057974965376,TRAIL
018120,2020-03-13,2020-03-18,-0.08836415045774274,TRAIL
068270,2020-03-13,2020-03-19,-0.15497987845745836,TRAIL
181710,2020-03-13,2020-03-19,-0.09010553092273296,TRAIL
051910,2020-03-13,2020-03-19,-0.2728314818910634,TRAIL
003230,2020-03-13,2020-03-19,-0.12271421364190495,TRAIL
036570,2020-03-13,2020-04-13,0.11589322881096374,REBAL
035720,2020-03-13,2020-04-13,0.06891213979894695,REBAL
003120,2020-03-13,2020-04-13,0.1286243408653875,REBAL
035420,2020-03-13,2020-04-13,0.08494254785804263,REBAL
033540,2020-04-13,2020-04-20,-0.30080265207964213,TRAIL
004370,2020-03-13,2020-05-18,0.33869064832062273,REBAL
000100,2020-03-13,2020-05-18,0.5960339102407289,REBAL
006280,2020-04-13,2020-05-18,-0.062497109805205495,REBAL
035600,2020-04-13,2020-05-18,0.3143920024966213,REBAL
207940,2020-04-13,2020-05-18,0.07278433349943611,REBAL
126560,2020-04-13,2020-05-18,0.11343383680196345,REBAL
005250,2020-04-13,2020-05-18,0.037129523270461116,REBAL
000220,2020-04-13,2020-05-18,0.046215957866070606,REBAL
293480,2020-04-13,2020-05-18,0.00245168392241427,REBAL
002390,2020-04-13,2020-05-18,0.015056723229824145,REBAL
001390,2020-04-13,2020-05-18,0.24488088697997312,REBAL
192820,2020-04-13,2020-05-18,0.17095064241394625,REBAL
001450,2020-04-13,2020-05-18,0.13516257151733127,REBAL
005500,2020-04-13,2020-05-18,0.1020257032281729,REBAL
039490,2020-04-13,2020-05-18,-0.017356338479722982,REBAL
263750,2020-04-13,2020-05-18,0.06619170517475229,REBAL
067900,2020-04-13,2020-05-28,0.14448726706223322,TRAIL
084110,2020-05-18,2020-05-29,-0.12992196071292217,TRAIL
005430,2020-05-18,2020-06-03,-0.12395253117558143,TRAIL
248170,2020-05-18,2020-06-11,-0.009981252056588856,TRAIL
136540,2020-04-13,2020-06-12,0.1313770414023873,TRAIL
006650,2020-05-18,2020-06-12,-0.12193134384008,TRAIL
009240,2020-05-18,2020-06-15,-0.08832037442655229,TRAIL
094280,2020-05-18,2020-06-15,-0.03101163391829126,TRAIL
271560,2020-04-13,2020-06-16,0.15596082362426072,REBAL
194700,2020-05-18,2020-06-16,-0.08611429057094114,REBAL
000020,2020-05-18,2020-06-16,0.4348579702063006,REBAL
181710,2020-05-18,2020-06-16,-0.0966143350701178,REBAL
008490,2020-05-18,2020-06-16,0.10218703036962049,REBAL
003230,2020-05-18,2020-06-16,0.020494949326792706,REBAL
097950,2020-05-18,2020-06-16,0.03536210695259877,REBAL
001680,2020-05-18,2020-06-16,0.017176460662471266,REBAL
005180,2020-05-18,2020-06-16,-0.01306740491677808,REBAL
02826K,2020-06-16,2020-06-17,-0.17403141149582746,TRAIL
120030,2020-06-16,2020-06-22,0.18723615625282158,TRAIL
131400,2020-06-16,2020-06-23,-0.12524589684329512,TRAIL
079550,2020-06-16,2020-06-24,-0.07936715800085715,TRAIL
210540,2020-06-16,2020-06-25,-0.05721020826050042,TRAIL
234080,2020-06-16,2020-06-26,-0.13177538138832662,TRAIL
206650,2020-06-16,2020-06-29,-0.14323760532864385,TRAIL
004780,2020-06-16,2020-07-01,-0.09037931013989448,TRAIL
207940,2020-06-16,2020-07-08,-0.13358567735310867,TRAIL
084730,2020-06-16,2020-07-10,0.1349777932891966,TRAIL
192080,2020-05-18,2020-07-15,0.18798052153822237,REBAL
000080,2020-05-18,2020-07-15,0.19481502522099584,REBAL
068270,2020-06-16,2020-07-15,0.1437067928419312,REBAL
011200,2020-06-16,2020-07-15,0.020294212675830973,REBAL
051915,2020-06-16,2020-07-15,0.19991162145911057,REBAL
002390,2020-06-16,2020-07-15,0.17133988084521307,REBAL
039020,2020-06-16,2020-07-15,0.1675473773342473,REBAL
035720,2020-05-18,2020-07-20,0.3938364937634241,TRAIL
035080,2020-07-15,2020-07-20,-0.1266971959519279,TRAIL
063080,2020-07-15,2020-07-23,-0.1251299446851444,TRAIL
108670,2020-07-15,2020-07-23,-0.12433946699931449,TRAIL
016740,2020-07-15,2020-07-24,-0.11304239506806552,TRAIL
017810,2020-06-16,2020-07-28,0.12460624128406174,TRAIL
089970,2020-06-16,2020-08-12,0.42487883120457987,TRAIL
112610,2020-07-15,2020-08-13,0.5344769960119645,REBAL
101160,2020-07-15,2020-08-13,0.15270672768869004,REBAL
122350,2020-07-15,2020-08-13,0.1071401396247717,REBAL
097950,2020-07-15,2020-08-13,0.01655151453876818,REBAL
194700,2020-07-15,2020-08-13,0.10741753662368987,REBAL
014680,2020-07-15,2020-08-13,0.14912081875074437,REBAL
035420,2020-07-15,2020-08-13,0.06275545601044165,REBAL
009450,2020-07-15,2020-08-13,0.0616892408592503,REBAL
084730,2020-07-15,2020-08-13,-0.008977176247315534,REBAL
058470,2020-07-15,2020-08-13,0.09805501369861942,REBAL
029460,2020-07-15,2020-08-13,-0.032549710689849694,REBAL
251270,2020-07-15,2020-08-13,0.1637538179408286,REBAL
010780,2020-07-15,2020-08-18,0.0699591623479151,TRAIL
145990,2020-08-13,2020-08-18,-0.13573022532765555,TRAIL
298050,2020-08-13,2020-08-18,-0.12530737677986103,TRAIL
011200,2020-08-13,2020-08-18,-0.1452944498442176,TRAIL
014440,2020-08-13,2020-08-18,-0.10863156354391086,TRAIL
005160,2020-08-13,2020-08-18,-0.1502334814962794,TRAIL
006110,2020-08-13,2020-08-18,-0.13229652461678496,TRAIL
051910,2020-08-13,2020-08-20,-0.12365640990433563,TRAIL
011790,2020-08-13,2020-08-20,-0.1457587410841169,TRAIL
005385,2020-08-13,2020-08-20,-0.13769226365289675,TRAIL
050960,2020-08-13,2020-08-21,0.04049745777430583,TRAIL
185750,2020-08-13,2020-08-27,0.012579776314112303,TRAIL
006280,2020-08-13,2020-08-28,-0.0980485649050761,TRAIL
003070,2020-08-13,2020-08-31,0.5077570759462798,TRAIL
005380,2020-08-13,2020-09-14,-0.0069407324434044085,REBAL
094280,2020-08-13,2020-09-14,0.0367350274457102,REBAL
003670,2020-08-13,2020-09-14,-0.1153208749574909,REBAL
071055,2020-08-13,2020-09-14,0.27710133346651356,REBAL
006800,2020-08-13,2020-09-14,-0.014589544468539798,REBAL
307750,2020-09-14,2020-09-16,-0.13609503789569274,TRAIL
306200,2020-08-13,2020-09-21,0.12322207302511198,TRAIL
006260,2020-09-14,2020-09-21,-0.06581802786092472,TRAIL
000500,2020-09-14,2020-09-21,-0.16752183710784627,TRAIL
005160,2020-09-14,2020-09-21,-0.13555967300120433,TRAIL
136540,2020-09-14,2020-09-21,-0.15512259802326225,TRAIL
004440,2020-09-14,2020-09-22,-0.1420561159860965,TRAIL
054540,2020-09-14,2020-09-22,-0.16875998007696555,TRAIL
286750,2020-09-14,2020-09-22,-0.09822207991499607,TRAIL
101170,2020-09-14,2020-09-22,-0.16541168881882565,TRAIL
210980,2020-09-14,2020-09-22,-0.11064183725200447,TRAIL
064260,2020-09-14,2020-09-22,-0.14519696316329456,TRAIL
063080,2020-09-14,2020-09-22,-0.12484873645307898,TRAIL
122870,2020-09-14,2020-09-24,-0.12837344979075066,TRAIL
035900,2020-09-14,2020-09-24,-0.13712667931878347,TRAIL
004000,2020-09-14,2020-09-25,-0.13965400769151762,TRAIL
097230,2020-09-14,2020-09-28,-0.07927846871065462,TRAIL
251270,2020-09-14,2020-10-05,-0.1126407628502427,TRAIL
022100,2020-09-14,2020-10-19,0.01833499583586977,TRAIL
011200,2020-09-14,2020-10-19,-0.03370326826851829,REBAL
089470,2020-10-19,2020-10-22,-0.12467568126251223,TRAIL
126340,2020-10-19,2020-10-22,-0.1289785793955997,TRAIL
067830,2020-10-19,2020-10-26,-0.1311644718621431,TRAIL
108380,2020-10-19,2020-10-26,-0.1281642273002208,TRAIL
058610,2020-10-19,2020-10-26,-0.13932600605750084,TRAIL
086280,2020-10-19,2020-10-28,-0.057783512317375905,TRAIL
192820,2020-10-19,2020-10-30,-0.13577927092665767,TRAIL
011785,2020-10-19,2020-11-10,-0.083080836348544,TRAIL
016710,2020-10-19,2020-11-17,0.020249046929364523,REBAL
079170,2020-10-19,2020-11-17,0.06623341543101849,REBAL
018670,2020-10-19,2020-11-17,-0.07493370072115813,REBAL
000430,2020-10-19,2020-11-17,-0.06199672701974131,REBAL
004020,2020-10-19,2020-11-17,0.06601640113869059,REBAL
026960,2020-10-19,2020-11-17,0.03221373545422754,REBAL
060250,2020-10-19,2020-11-17,-0.03173043548479634,REBAL
010240,2020-10-19,2020-11-17,0.0739420189170514,REBAL
002460,2020-10-19,2020-11-17,-0.04988401269574461,REBAL
035610,2020-10-19,2020-11-17,0.0016814190363217886,REBAL
003490,2020-11-17,2020-11-18,-0.12971631640447548,TRAIL
263020,2020-11-17,2020-11-19,-0.14352194975777846,TRAIL
014820,2020-11-17,2020-12-07,-0.07822411993198122,TRAIL
069140,2020-11-17,2020-12-08,-0.14353585904143198,TRAIL
307950,2020-10-19,2020-12-16,0.918038699939514,REBAL
000270,2020-10-19,2020-12-16,0.3137466381746097,REBAL
003100,2020-11-17,2020-12-16,-0.06217549646380076,REBAL
