,equity
2019-01-02,500000000.0
2019-01-03,500000000.0
2019-01-04,500000000.0
2019-01-07,500000000.0
2019-01-08,500000000.0
2019-01-09,500000000.0
2019-01-10,500000000.0
2019-01-11,500000000.0
2019-01-14,500000000.0
2019-01-15,500000000.0
2019-01-16,500000000.0
2019-01-17,500000000.0
2019-01-18,500000000.0
2019-01-21,500000000.0
2019-01-22,500000000.0
2019-01-23,500000000.0
2019-01-24,500000000.0
2019-01-25,500000000.0
2019-01-28,500000000.0
2019-01-29,500000000.0
2019-01-30,500000000.0
2019-01-31,500000000.0
2019-02-01,500000000.0
2019-02-07,500000000.0
2019-02-08,500000000.0
2019-02-11,500000000.0
2019-02-12,500000000.0
2019-02-13,500000000.0
2019-02-14,500000000.0
2019-02-15,500000000.0
2019-02-18,500000000.0
2019-02-19,500000000.0
2019-02-20,500000000.0
2019-02-21,500000000.0
2019-02-22,500000000.0
2019-02-25,500000000.0
2019-02-26,500000000.0
2019-02-27,500000000.0
2019-02-28,500000000.0
2019-03-04,500000000.0
2019-03-05,500000000.0
2019-03-06,500000000.0
2019-03-07,500000000.0
2019-03-08,500000000.0
2019-03-11,500000000.0
2019-03-12,500000000.0
2019-03-13,500000000.0
2019-03-14,500000000.0
2019-03-15,500000000.0
2019-03-18,500000000.0
2019-03-19,500000000.0
2019-03-20,500000000.0
2019-03-21,500000000.0
2019-03-22,500000000.0
2019-03-25,500000000.0
2019-03-26,500000000.0
2019-03-27,500000000.0
2019-03-28,500000000.0
2019-03-29,500000000.0
2019-04-01,500000000.0
2019-04-02,500000000.0
2019-04-03,500000000.0
2019-04-04,500000000.0
2019-04-05,500000000.0
2019-04-08,500000000.0
2019-04-09,500000000.0
2019-04-10,500000000.0
2019-04-11,500000000.0
2019-04-12,500000000.0
2019-04-15,500000000.0
2019-04-16,500000000.0
2019-04-17,500000000.0
2019-04-18,500000000.0
2019-04-19,500000000.0
2019-04-22,500000000.0
2019-04-23,500000000.0
2019-04-24,500000000.0
2019-04-25,500000000.0
2019-04-26,500000000.0
2019-04-29,500000000.0
2019-04-30,500000000.0
2019-05-02,500000000.0
2019-05-03,500000000.0
2019-05-07,500000000.0
2019-05-08,500000000.0
2019-05-09,500000000.0
2019-05-10,500000000.0
2019-05-13,500000000.0
2019-05-14,500000000.0
2019-05-15,500000000.0
2019-05-16,500000000.0
2019-05-17,500000000.0
2019-05-20,500000000.0
2019-05-21,500000000.0
2019-05-22,500000000.0
2019-05-23,500000000.0
2019-05-24,500000000.0
2019-05-27,500000000.0
2019-05-28,500000000.0
2019-05-29,500000000.0
2019-05-30,500000000.0
2019-05-31,500000000.0
2019-06-03,500000000.0
2019-06-04,500000000.0
2019-06-05,500000000.0
2019-06-07,500000000.0
2019-06-10,500000000.0
2019-06-11,500000000.0
2019-06-12,500000000.0
2019-06-13,500000000.0
2019-06-14,500000000.0
2019-06-17,500000000.0
2019-06-18,500000000.0
2019-06-19,500000000.0
2019-06-20,500000000.0
2019-06-21,500000000.0
2019-06-24,500000000.0
2019-06-25,500000000.0
2019-06-26,500000000.0
2019-06-27,500000000.0
2019-06-28,500000000.0
2019-07-01,500000000.0
2019-07-02,500000000.0
2019-07-03,500000000.0
2019-07-04,500000000.0
2019-07-05,500000000.0
2019-07-08,500000000.0
2019-07-09,500000000.0
2019-07-10,500000000.0
2019-07-11,500000000.0
2019-07-12,500000000.0
2019-07-15,500000000.0
2019-07-16,500000000.0
2019-07-17,500000000.0
2019-07-18,500000000.0
2019-07-19,500000000.0
2019-07-22,500000000.0
2019-07-23,500000000.0
2019-07-24,500000000.0
2019-07-25,500000000.0
2019-07-26,500000000.0
2019-07-29,500000000.0
2019-07-30,500000000.0
2019-07-31,500000000.0
2019-08-01,500000000.0
2019-08-02,500000000.0
2019-08-05,500000000.0
2019-08-06,500000000.0
2019-08-07,500000000.0
2019-08-08,500000000.0
2019-08-09,500000000.0
2019-08-12,500000000.0
2019-08-13,500000000.0
2019-08-14,500000000.0
2019-08-16,500000000.0
2019-08-19,500000000.0
2019-08-20,500000000.0
2019-08-21,500000000.0
2019-08-22,500000000.0
2019-08-23,500000000.0
2019-08-26,500000000.0
2019-08-27,500000000.0
2019-08-28,500000000.0
2019-08-29,500000000.0
2019-08-30,500000000.0
2019-09-02,500000000.0
2019-09-03,500000000.0
2019-09-04,500000000.0
2019-09-05,500000000.0
2019-09-06,500000000.0
2019-09-09,500000000.0
2019-09-10,500000000.0
2019-09-11,500000000.0
2019-09-16,500000000.0
2019-09-17,500000000.0
2019-09-18,500000000.0
2019-09-19,500000000.0
2019-09-20,500000000.0
2019-09-23,500000000.0
2019-09-24,500000000.0
2019-09-25,500000000.0
2019-09-26,500000000.0
2019-09-27,500000000.0
2019-09-30,500000000.0
2019-10-01,500000000.0
2019-10-02,500000000.0
2019-10-04,500000000.0
2019-10-07,500000000.0
2019-10-08,500000000.0
