trade_id,code,name,entry_time,exit_time,entry_fill_price,exit_fill_price,raw_ask_at_entry,raw_bid_at_exit,qty,gross_pnl_pct,net_pnl_pct,gross_pnl_krw,net_pnl_krw,entry_reason,exit_reason,entry_slippage_pct,exit_slippage_pct,fee_entry,fee_exit,tax,holding_seconds
1,006110,삼아알미늄,2026-04-09 14:52:14,2026-04-09 14:54:29,48622,47979,48500,48100,23,-1.3224,-1.5324,-14789,-17108.61,SURGE_A,SL,0.25,0.25,167.75,165.53,1986.33,135.4
2,047040,대우건설,2026-04-09 14:51:43,2026-04-09 15:01:44,23559,23341,23500,23400,85,-0.9253,-1.1353,-18530,-22699.15,SURGE_A,TIME_EXIT,0.25,0.25,300.38,297.6,3571.17,600.5
3,047810,한국항공우주,2026-04-09 14:51:44,2026-04-09 15:01:44,198997,201495,198500,202000,7,1.2553,1.0453,17486,14526.64,SURGE_A,TIME_EXIT,0.25,0.25,208.95,211.57,2538.84,600.1
4,079550,LIG넥스원,2026-04-09 14:51:44,2026-04-09 15:01:45,890220,887775,888000,890000,1,-0.2747,-0.4847,-2445,-4309.6900000000005,SURGE_A,TIME_EXIT,0.25,0.25,133.53,133.17,1597.99,601.0
5,000250,삼천당제약,2026-04-09 14:58:48,2026-04-09 15:04:40,504258,497752,503000,499000,2,-1.2902,-1.5002,-13012,-15104.52,SURGE_A,SL,0.25,0.25,151.28,149.33,1791.91,351.5
