rank,slot,name,trades,win_rate,pnl_pct,sharpe,pf,avg_hold_min,avg_mfe,avg_mae,score
1,10,Momentum MA5,1,0.0,-1.31,0.00,0.0,1,0.2,-0.7,-10.53
2,12,Adaptive Best,1,0.0,-1.31,0.00,0.0,1,0.2,-0.7,-10.53
3,1,Conservative,0,0.0,0.00,0.00,0.0,0,0.0,0.0,-999.00
4,2,Moderate,0,0.0,0.00,0.00,0.0,0,0.0,0.0,-999.00
5,3,Aggressive,0,0.0,0.00,0.00,0.0,0,0.0,0.0,-999.00
6,4,Trailing A,0,0.0,0.00,0.00,0.0,0,0.0,0.0,-999.00
7,5,Trailing B,0,0.0,0.00,0.00,0.0,0,0.0,0.0,-999.00
8,6,Micro Imbalance,0,0.0,0.00,0.00,0.0,0,0.0,0.0,-999.00
9,7,Time Decay 15m,0,0.0,0.00,0.00,0.0,0,0.0,0.0,-999.00
10,8,Time Decay 30m,0,0.0,0.00,0.00,0.0,0,0.0,0.0,-999.00
11,9,Volume Spike,0,0.0,0.00,0.00,0.0,0,0.0,0.0,-999.00
12,11,Mean Reversion,0,0.0,0.00,0.00,0.0,0,0.0,0.0,-999.00
