timestamp,code,price,best_ask,best_bid,ask_qty_1,bid_qty_1,total_ask,total_bid,net_bid,volume
09:03:14.398,308100,1237.0,1240,1234,0,0,0,0,0,1287179
09:04:15.111,308100,1199.0,1199,1185,0,0,0,0,0,1690638
09:05:15.774,308100,1167.0,1171,1167,0,0,0,0,0,1872367
09:06:16.421,308100,1155.0,1156,1155,0,0,0,0,0,2005566
09:07:17.045,308100,1154.0,1155,1154,0,0,0,0,0,2091229
09:08:16.443,308100,1149.0,1154,1149,0,0,0,0,0,2286944
09:09:18.395,308100,1143.0,1143,1140,0,0,0,0,0,2338841
09:10:17.651,308100,1133.0,1138,1133,0,0,0,0,0,2406611
09:11:18.155,308100,1152.0,1154,1149,0,0,0,0,0,2455236
09:12:19.353,308100,1142.0,1150,1142,0,0,0,0,0,2542073
09:13:21.835,308100,1161.0,1161,1154,0,0,0,0,0,2562876
09:14:22.618,308100,1175.0,1176,1175,0,0,0,0,0,2628541
09:15:23.387,308100,1190.0,1192,1190,0,0,0,0,0,2695224
09:16:22.955,308100,1175.0,1189,1175,0,0,0,0,0,2783109
09:17:24.727,308100,1157.0,1157,1155,0,0,0,0,0,2849734
09:18:25.530,308100,1132.0,1143,1132,0,0,0,0,0,2901918
09:19:26.326,308100,1133.0,1134,1133,0,0,0,0,0,2996998
09:20:25.933,308100,1139.0,1139,1134,0,0,0,0,0,3028409
09:21:28.688,308100,1143.0,1144,1142,0,0,0,0,0,3061045
09:22:29.296,308100,1127.0,1127,1126,0,0,0,0,0,3087574
09:23:29.453,308100,1126.0,1131,1125,0,0,0,0,0,3119479
09:24:28.734,308100,1128.0,1130,1128,0,0,0,0,0,3132826
09:25:31.414,308100,1127.0,1130,1127,0,0,0,0,0,3152191
09:26:32.072,308100,1120.0,1120,1117,0,0,0,0,0,3213642
09:27:30.834,308100,1121.0,1128,1121,0,0,0,0,0,3240190
09:28:32.032,308100,1116.0,1117,1116,0,0,0,0,0,3251920
09:28:49.125,308100,1112.0,1114,1111,0,0,0,0,0,3280172
09:31:36.189,308100,1109.0,1110,1109,0,0,0,0,0,3362068
09:32:36.840,308100,1115.0,1116,1114,0,0,0,0,0,3388800
09:33:34.125,308100,1116.0,1120,1116,0,0,0,0,0,3399768
09:34:38.273,308100,1121.0,1122,1121,0,0,0,0,0,3410116
09:35:38.965,308100,1127.0,1127,1122,0,0,0,0,0,3420669
09:36:39.691,308100,1139.0,1141,1136,0,0,0,0,0,3457490
09:37:37.518,308100,1130.0,1130,1129,0,0,0,0,0,3470261
09:38:38.715,308100,1122.0,1135,1122,0,0,0,0,0,3490581
09:39:39.214,308100,1125.0,1126,1124,0,0,0,0,0,3495993
09:40:40.222,308100,1120.0,1125,1120,0,0,0,0,0,3526148
09:41:42.315,308100,1116.0,1119,1116,0,0,0,0,0,3549463
09:42:40.422,308100,1115.0,1116,1114,0,0,0,0,0,3559551
09:43:36.216,308100,1113.0,1117,1113,0,0,0,0,0,3570947
09:44:45.010,308100,1109.0,1110,1109,0,0,0,0,0,3589928
09:45:44.320,308100,1106.0,1109,1106,0,0,0,0,0,3603579
09:46:44.718,308100,1088.0,1088,1087,0,0,0,0,0,3669585
09:47:43.611,308100,1092.0,1097,1092,0,0,0,0,0,3694679
09:48:44.602,308100,1096.0,1096,1094,0,0,0,0,0,3711175
09:49:47.623,308100,1090.0,1092,1090,0,0,0,0,0,3720901
09:50:49.839,308100,1092.0,1094,1092,0,0,0,0,0,3731498
09:51:49.609,308100,1101.0,1102,1101,0,0,0,0,0,3764590
09:52:50.516,308100,1100.0,1101,1100,0,0,0,0,0,3787087
09:53:52.526,308100,1100.0,1100,1098,0,0,0,0,0,3788616
09:54:52.303,308100,1087.0,1092,1087,0,0,0,0,0,3814200
09:55:52.801,308100,1081.0,1081,1080,0,0,0,0,0,3850081
09:56:45.310,308100,1089.0,1096,1089,0,0,0,0,0,3867148
09:57:50.803,308100,1090.0,1091,1089,0,0,0,0,0,3870772
09:58:51.707,308100,1092.0,1092,1090,0,0,0,0,0,3872354
09:59:51.001,308100,1088.0,1089,1088,0,0,0,0,0,3886431
10:00:55.604,308100,1085.0,1086,1082,0,0,0,0,0,3911712
10:01:50.894,308100,1089.0,1090,1089,0,0,0,0,0,3923054
10:02:58.005,308100,1085.0,1085,1084,0,0,0,0,0,3929632
10:03:47.404,308100,1085.0,1089,1084,0,0,0,0,0,3935629
10:04:53.103,308100,1089.0,1090,1085,0,0,0,0,0,3940253
10:05:54.696,308100,1084.0,1088,1084,0,0,0,0,0,3948481
10:06:57.587,308100,1079.0,1086,1078,0,0,0,0,0,3973074
10:08:01.594,308100,1071.0,1071,1070,0,0,0,0,0,3994380
