date,open,high,low,close,volume
2023-02-09,8340,8530,8110,8130,3199844
2023-02-10,8180,8220,7680,7940,1677220
2023-02-13,7800,8540,7590,8210,4069408
2023-02-14,8380,8380,7760,7810,1056262
2023-02-15,7810,7900,7130,7160,1166782
2023-02-16,7200,7250,6950,7070,703370
2023-02-17,6980,7940,6850,7150,3705930
2023-02-20,7300,9080,7300,8960,14142893
2023-02-21,9250,9740,8610,9050,8864818
2023-02-22,8830,9010,8510,8750,1922981
2023-02-23,8870,9340,8610,8920,5408366
2023-02-24,8950,11590,8950,11590,15807150
2023-02-27,11320,11890,11080,11490,4751288
2023-02-28,11720,14700,11100,13340,15451642
2023-03-02,13460,15650,13300,13960,7527755
2023-03-03,14240,14600,13420,13990,1806932
2023-03-06,13810,13990,12800,13750,1697819
2023-03-07,13610,14250,12750,12750,1442517
2023-03-08,12630,13140,12310,12380,1018249
2023-03-09,12580,13120,11390,12030,1481253
2023-03-10,11800,12240,11460,11820,913332
2023-03-13,12100,14490,11670,13720,17055514
2023-03-14,14320,16130,13300,13620,13951074
2023-03-15,14140,14740,13230,13870,4974678
2023-03-16,13620,14280,12820,12970,2210756
2023-03-17,13150,14430,12870,14280,5077558
2023-03-20,14280,14290,13030,13100,1599999
2023-03-21,13080,13660,12860,12970,1993969
2023-03-22,13440,14790,13160,13780,7202245
2023-03-23,13580,15440,13300,14460,6740521
2023-03-24,14700,15150,14080,14320,2032223
2023-03-27,14310,15300,13840,14680,4003459
2023-03-28,14680,15130,14110,14160,1261660
2023-03-29,13990,14090,13300,13440,1154440
2023-03-30,13570,13870,12570,12650,1084197
2023-03-31,12640,12740,11800,11900,1025849
2023-04-03,11990,12260,11720,12180,736166
2023-04-04,12290,12790,11400,11600,1372100
2023-04-05,11590,11700,11230,11420,591325
2023-04-06,11450,11450,10840,11100,786861
2023-04-07,11350,11400,10790,10860,627616
2023-04-10,10590,10870,10380,10630,943543
2023-04-11,10730,10780,10300,10760,759118
2023-04-12,10830,10830,10350,10350,499707
2023-04-13,10250,10560,10100,10350,397819
2023-04-14,10550,10610,10220,10330,475192
2023-04-17,10600,10740,10410,10420,613499
2023-04-18,10440,10590,9870,9950,571482
2023-04-19,10050,10280,9780,9950,602656
2023-04-20,9830,9930,9370,9510,593481
2023-04-21,9530,9970,9250,9300,1033882
2023-04-24,9260,9360,9060,9180,307618
2023-04-25,9180,9800,8960,9250,1104370
2023-04-26,9250,9670,9030,9400,927708
2023-04-27,9650,9660,8860,9250,593415
2023-04-28,9390,9530,9030,9040,400369
2023-05-02,8920,9390,8770,9330,371787
2023-05-03,9100,9390,9020,9110,184920
2023-05-04,9110,9270,9040,9190,126712
2023-05-08,9290,9580,9200,9240,363194
2023-05-09,9170,9310,8950,9110,164731
2023-05-10,9140,9740,9110,9190,806476
2023-05-11,9480,9550,9230,9280,371336
2023-05-12,9200,9410,9120,9140,193101
2023-05-15,9110,9120,8550,8690,404057
2023-05-16,8820,8860,8510,8650,143013
2023-05-17,8600,8940,8530,8910,157523
2023-05-18,9000,9210,8910,9180,234073
2023-05-19,9300,9990,9260,9430,2685876
2023-05-22,9540,9620,9250,9380,428179
2023-05-23,9470,9690,9280,9660,494507
2023-05-24,9680,9710,9390,9400,348591
2023-05-25,9650,9790,9190,9250,574830
2023-05-26,9360,9460,9060,9150,185339
2023-05-30,9270,9400,9230,9350,155023
2023-05-31,9200,9520,9200,9370,285917
