date,open,high,low,close,volume
2023-02-09,6680,8280,6550,6870,13447192
2023-02-10,6680,6810,6550,6810,428675
2023-02-13,6840,6900,6790,6860,315650
2023-02-14,7000,7170,6890,6890,538035
2023-02-15,6760,7230,6220,6370,1109510
2023-02-16,6370,6500,6300,6400,350800
2023-02-17,6340,8310,6250,7650,13991117
2023-02-20,7720,9590,7600,8880,11970853
2023-02-21,8710,8780,8120,8280,1246457
2023-02-22,8360,9340,7950,8020,4903440
2023-02-23,7850,8630,7840,8050,2329233
2023-02-24,8100,8680,8010,8090,1452460
2023-02-27,8060,9300,7970,8470,4531327
2023-02-28,8600,9250,8440,8770,2740091
2023-03-02,8820,10680,8820,10110,9314223
2023-03-03,10110,10480,9130,9330,2193880
2023-03-06,9310,9620,9050,9100,1149429
2023-03-07,9000,9060,8560,8730,580364
2023-03-08,8600,8780,8390,8500,478452
2023-03-09,8500,9190,8050,8230,1508792
2023-03-10,8090,8130,7530,7610,389785
2023-03-13,7460,9060,7460,8140,6457098
2023-03-14,8010,8200,7030,7090,851324
2023-03-15,7290,7930,7250,7370,1022264
2023-03-16,7360,7700,7050,7210,303289
2023-03-17,7260,7890,7260,7670,652342
2023-03-20,7680,8000,7600,7710,257102
2023-03-21,7960,7960,7280,7640,275362
2023-03-22,7710,8050,7650,7770,287842
2023-03-23,7750,7800,7350,7420,226682
2023-03-24,7540,8030,7460,7870,590516
2023-03-27,7830,7900,7320,7730,222033
2023-03-28,7700,7780,7500,7720,145694
2023-03-29,7630,7750,7330,7460,134756
2023-03-30,7460,7560,7350,7540,92632
2023-03-31,7560,7560,7130,7130,123973
2023-04-03,7200,7440,7120,7300,108387
2023-04-04,7270,7700,7250,7450,219987
2023-04-05,7430,7640,7400,7560,95762
2023-04-06,7520,7590,7110,7220,102395
2023-04-07,7200,7260,7060,7110,77716
2023-04-10,7120,7190,6910,6970,88548
2023-04-11,6930,7190,6760,7070,85425
2023-04-12,7030,7170,7000,7020,47309
2023-04-13,7020,7060,6750,6920,64403
2023-04-14,6990,7000,6720,6800,68484
2023-04-17,6760,6990,6660,6770,69484
2023-04-18,6800,6840,6490,6560,109605
2023-04-19,6510,6620,6460,6500,83996
2023-04-20,6450,6540,6350,6450,88914
2023-04-21,6440,6640,6280,6510,69183
2023-04-24,6350,6730,6310,6460,83953
2023-04-25,6390,6520,6220,6300,54888
2023-04-26,6340,6420,6060,6300,69994
2023-04-27,6240,6440,6120,6310,41323
2023-04-28,6330,6390,6150,6270,31163
2023-05-02,6180,6500,6180,6490,40814
2023-05-03,6490,6510,6140,6160,50816
2023-05-04,6200,6390,6090,6220,39799
2023-05-08,6160,6350,6160,6160,31360
2023-05-09,6080,6190,6080,6120,23829
2023-05-10,6120,6160,6010,6040,25012
2023-05-11,6150,6250,6070,6130,44194
2023-05-12,6070,6130,5870,5950,72553
2023-05-15,5940,6000,5840,5870,31930
2023-05-16,5870,5990,5710,5830,38363
2023-05-17,5750,6150,5750,6080,40241
2023-05-18,6090,6150,6040,6110,21132
2023-05-19,6150,6370,6100,6280,66976
2023-05-22,6290,6310,6110,6140,17206
2023-05-23,6050,6120,6010,6070,35976
2023-05-24,6070,6130,5930,6090,27567
2023-05-25,6140,7140,6090,6600,1183135
2023-05-26,6530,7000,6280,6330,228231
2023-05-30,6320,6520,6220,6350,89683
2023-05-31,6400,6900,6360,6450,140572
2023-06-01,6420,6590,6310,6330,48056
2023-06-02,6320,6420,6280,6360,25447
2023-06-05,6360,6850,6300,6530,127046
2023-06-07,6450,6870,6450,6870,120464
2023-06-08,6810,6950,6630,6680,87035
2023-06-09,6700,7130,6670,6830,147290
2023-06-12,7060,7060,6560,6590,71659
2023-06-13,6530,6690,6530,6560,41414
2023-06-14,6700,6700,6040,6310,84550
2023-06-15,6340,6460,6220,6310,43315
2023-06-16,6390,6560,6330,6520,28417
2023-06-19,6460,6480,6300,6380,18764
2023-06-20,6370,6380,6180,6300,25101
2023-06-21,6240,6280,6040,6080,38523
2023-06-22,6030,6220,6000,6120,19491
2023-06-23,6130,6180,5950,6070,32483
2023-06-26,6220,6270,5960,6120,25995
2023-06-27,6090,6230,6020,6060,14575
2023-06-28,6030,6110,6020,6020,15960
2023-06-29,5990,6050,5890,5950,33625
2023-06-30,5890,6190,5830,6160,41049
2023-07-03,6300,6920,6000,6040,189693
2023-07-04,6140,6150,5850,6000,47911
2023-07-05,6000,6050,5860,5910,22457
2023-07-06,5850,5880,5600,5690,71556
2023-07-07,5570,5680,5410,5410,24352
2023-07-10,5410,6990,5300,6420,2474292
2023-07-11,6410,7490,6130,6150,1861386
2023-07-12,6240,6410,5990,6000,247873
2023-07-13,6060,6110,5800,5800,113025
2023-07-14,5770,5850,5620,5800,69121
2023-07-17,5710,5800,5450,5670,49508
2023-07-18,5600,6470,5600,5890,551728
2023-07-19,5890,6470,5860,5880,488048
2023-07-20,5890,5960,5750,5840,74873
2023-07-21,5640,6110,5640,5960,99991
2023-07-24,5980,6040,5510,5540,102563
2023-07-25,5550,6100,5000,5060,443642
2023-07-26,4955,5050,4535,4660,182550
2023-07-27,4790,5260,4670,5180,120839
2023-07-28,5030,5520,5030,5390,66845
2023-07-31,5400,5900,5400,5640,94241
2023-08-01,5590,5670,5400,5450,42994
2023-08-02,5480,5650,5380,5470,29392
2023-08-03,5400,5640,5160,5400,27492
2023-08-04,5310,5400,5180,5190,23380
2023-08-07,5190,5490,5080,5420,32559
2023-08-08,5410,5510,5250,5370,22615
2023-08-09,5400,5710,5290,5440,61582
2023-08-10,5380,5700,5270,5360,81396
2023-08-11,5400,5500,5320,5350,18257
2023-08-14,5350,5430,5250,5380,24524
2023-08-16,5380,5400,5050,5200,28165
2023-08-17,5250,5250,4910,5060,25207
2023-08-18,4840,5090,4840,5040,28383
2023-08-21,5050,5320,5050,5090,43399
2023-08-22,5020,5460,4995,5230,44932
2023-08-23,5150,5210,5010,5080,20871
2023-08-24,5050,5180,5050,5150,19616
2023-08-25,5150,5180,5020,5020,13530
2023-08-28,5070,5190,5000,5050,12734
2023-08-29,5010,5200,5010,5130,13989
2023-08-30,5150,5200,5100,5170,12119
2023-08-31,5180,5370,4880,4880,81198
2023-09-01,4885,4985,4770,4860,47169
2023-09-04,4980,6180,4980,5130,1949947
2023-09-05,5180,5290,5090,5200,165889
2023-09-06,5210,5360,5170,5210,135683
2023-09-07,5210,5330,5020,5020,53221
2023-09-08,5040,5190,4985,5120,45214
2023-09-11,5120,5290,5100,5130,68230
2023-09-12,5110,5200,5090,5120,45666
2023-09-13,5120,5170,4955,4970,44637
2023-09-14,5110,5110,4920,5060,22861
2023-09-15,5100,5160,5020,5130,26768
2023-09-18,5120,5200,5070,5100,32490
2023-09-19,5060,5150,5050,5080,14910
2023-09-20,5080,5220,5050,5100,45128
2023-09-21,5030,5130,4900,4910,53719
2023-09-22,4825,5130,4825,4975,56600
2023-09-25,5020,5050,4755,4895,52252
2023-09-26,4850,4990,4850,4890,25791
2023-09-27,4970,5030,4810,5010,20593
2023-10-04,4915,4940,4830,4870,25438
2023-10-05,4850,5080,4820,4870,42468
2023-10-06,4800,5130,4800,5090,23035
2023-10-10,5010,5130,5000,5020,35530
2023-10-11,5010,5240,5010,5080,40322
2023-10-12,5120,5220,5120,5200,19396
2023-10-13,5150,5230,5120,5150,16790
2023-10-16,5140,5650,4935,4935,249546
2023-10-17,4880,5300,4880,5090,91541
2023-10-18,5180,5240,5070,5070,42464
2023-10-19,5000,5200,4925,4930,48834
2023-10-20,4940,5190,4865,5060,59789
2023-10-23,4950,5100,4945,4950,45344
2023-10-24,4915,5050,4915,4955,19393
2023-10-25,5010,5100,4990,5020,16419
2023-10-26,5030,5070,4905,5000,15286
2023-10-27,5030,5050,4980,4980,25433
2023-10-30,4960,5130,4960,5130,6705
2023-10-31,5170,5180,5110,5130,23294
2023-11-01,5140,5180,5040,5060,7999
2023-11-02,5080,5160,5080,5120,10234
2023-11-03,5140,5370,5120,5290,40150
2023-11-06,5390,5390,5210,5310,16000
2023-11-07,5240,5270,5140,5240,12733
2023-11-08,5230,5360,5160,5170,13194
2023-11-09,5130,5250,5040,5160,19637
2023-11-10,5130,5130,4965,4970,14960
2023-11-13,4970,5010,4710,4710,33317
2023-11-14,4580,4960,4580,4955,21729
2023-11-15,5080,5080,4960,4960,11895
2023-11-16,4905,5050,4905,4990,7111
2023-11-17,4950,5020,4860,5010,17862
2023-11-20,4955,5010,4935,5010,4980
2023-11-21,5030,5070,4990,5030,5467
2023-11-22,5070,5090,4970,5060,17098
2023-11-23,5180,5190,4985,5050,27299
2023-11-24,4990,5080,4990,5040,11469
2023-11-27,5040,5040,4860,4975,19013
2023-11-28,4975,4975,4880,4955,6568
2023-11-29,4955,4955,4860,4920,15444
2023-11-30,4915,4920,4860,4915,6675
2023-12-01,4915,4920,4875,4920,5306
2023-12-04,4920,4925,4875,4915,8033
2023-12-05,4860,4905,4750,4895,19921
2023-12-06,4815,4895,4815,4895,9629
2023-12-07,4860,4925,4805,4880,6878
2023-12-08,4890,5030,4890,4980,22559
2023-12-11,5020,5060,4955,5040,14000
2023-12-12,5060,5060,4895,4895,26192
2023-12-13,4895,4920,4855,4870,11031
2023-12-14,4885,4950,4855,4935,9117
2023-12-15,4935,4970,4895,4910,13022
2023-12-18,4910,4965,4875,4925,9042
2023-12-19,4925,4940,4885,4915,4689
2023-12-20,4915,4955,4875,4920,7186
2023-12-21,4855,4940,4855,4940,10423
2023-12-22,4915,4935,4860,4935,5296
2023-12-26,4935,4950,4850,4915,9185
2023-12-27,4905,4920,4815,4855,10475
2023-12-28,4815,4865,4780,4855,27455
2024-01-02,4865,4905,4835,4865,7443
2024-01-03,4815,4920,4815,4920,3912
2024-01-04,4895,4930,4820,4850,7217
2024-01-05,4850,4870,4815,4855,5694
2024-01-08,4900,5320,4890,5170,224889
2024-01-09,5280,5300,5040,5120,92526
2024-01-10,5120,5150,5020,5120,30553
2024-01-11,5120,6650,5070,6650,3508882
2024-01-12,7100,8130,6660,7020,11028761
2024-01-15,7200,8620,6940,7120,10188434
2024-01-16,7100,7200,6990,7120,399680
2024-01-17,7220,7220,7060,7100,209412
2024-01-18,7200,7400,7160,7400,450697
2024-01-19,7770,8590,7020,7150,7955349
2024-01-22,7390,8100,7250,7760,3690097
2024-01-23,7760,8900,7480,7720,6193339
2024-01-24,7690,8320,7600,7930,1570602
2024-01-25,7900,8250,7030,7120,1205646
2024-01-26,7020,7160,6770,6840,276980
2024-01-29,6730,6830,6270,6340,228568
2024-01-30,6310,6750,6300,6420,152362
2024-01-31,6210,6470,6000,6060,102339
2024-02-01,6000,6170,5820,5860,87512
2024-02-02,5860,6170,5860,6120,56364
2024-02-05,6060,6110,5850,5930,43770
2024-02-06,5860,5990,5800,5910,36187
2024-02-07,5870,5990,5760,5890,48013
2024-02-08,5900,6090,5810,5950,31832
2024-02-13,6130,6230,5980,6210,54034
2024-02-14,6200,6230,6000,6180,34090
