date,open,high,low,close,volume
2023-02-09,44300,45000,43450,44000,2510
2023-02-10,44000,44700,43100,44000,4804
2023-02-13,43800,43900,43100,43550,1975
2023-02-14,43250,44200,43000,43800,6191
2023-02-15,44050,44050,43000,43500,2842
2023-02-16,43500,43800,43150,43500,1902
2023-02-17,43450,46900,43000,46350,14596
2023-02-20,46500,53700,46500,51900,35109
2023-02-21,53500,53500,49050,51900,12353
2023-02-22,51300,51900,49000,50100,6379
2023-02-23,50100,50100,48300,49250,5881
2023-02-24,48150,48300,45000,45300,20536
2023-02-27,45400,45450,44200,44600,4223
2023-02-28,44300,45700,44300,44650,3107
2023-03-02,44800,44800,43600,43950,4226
2023-03-03,44450,45450,44200,44450,3146
2023-03-06,44450,45600,44200,44750,7035
2023-03-07,45000,45200,44500,44950,1315
2023-03-08,44950,45050,44350,44750,810
2023-03-09,44800,44800,44150,44200,1521
2023-03-10,44000,44500,43550,44100,1402
2023-03-13,43850,43950,42900,43950,1777
2023-03-14,43900,43900,40150,40500,12316
2023-03-15,40500,41150,40300,40550,1489
2023-03-16,40050,40350,38800,38950,6423
2023-03-17,38950,40700,38950,40100,1577
2023-03-20,40450,40450,39300,39600,1459
2023-03-21,39800,39800,39000,39800,1256
2023-03-22,40200,40200,39250,39250,872
2023-03-23,39100,39300,38750,38950,770
2023-03-24,38900,39400,36050,36900,6813
2023-03-27,37000,37350,35550,37050,2473
2023-03-28,36700,37800,36450,37650,1337
2023-03-29,37650,37900,37050,37050,1556
2023-03-30,37300,38150,36450,37900,1535
2023-03-31,37900,39000,37400,38850,3883
2023-04-03,39350,39350,37400,38050,5666
2023-04-04,38400,39100,37450,38650,3121
2023-04-05,39500,41600,38750,40900,8840
2023-04-06,40650,41150,39700,39900,2487
2023-04-07,39900,40750,39400,40100,918
2023-04-10,40100,40400,39050,40050,2260
2023-04-11,39950,40400,39500,39500,1765
2023-04-12,39500,40350,39200,40100,4158
2023-04-13,40100,40150,39000,39050,2149
2023-04-14,39500,40000,39400,39550,1754
2023-04-17,39450,39600,38900,39450,1241
2023-04-18,39350,39350,35900,37000,18734
2023-04-19,37350,37400,36650,36850,2842
2023-04-20,37000,38250,35850,35850,8766
2023-04-21,35850,36600,35500,36150,2538
2023-04-24,36050,36050,34250,35300,5097
2023-04-25,35100,35100,33850,35000,3355
2023-04-26,35000,35000,34000,34500,2763
2023-04-27,34750,34750,33750,34500,1339
2023-04-28,34800,35200,34350,35000,1556
2023-05-02,34950,35700,34500,35300,1309
2023-05-03,35300,35600,34650,34650,1501
2023-05-04,34350,34800,34300,34450,623
2023-05-08,34550,35900,34450,35250,948
2023-05-09,35200,35800,34650,34700,646
2023-05-10,34700,35450,34300,35250,893
2023-05-11,35250,35750,35000,35700,313
2023-05-12,35250,35250,34750,34750,864
2023-05-15,34600,34750,34050,34450,790
2023-05-16,34450,34550,32500,33600,4598
2023-05-17,33550,33550,32500,33250,2991
2023-05-18,33550,33900,33250,33250,1155
2023-05-19,33800,33800,33300,33700,303
2023-05-22,33700,33950,33650,33800,584
2023-05-23,33800,33800,32800,32900,2622
2023-05-24,33100,33350,32750,32950,1145
2023-05-25,32900,33300,32550,32950,1738
2023-05-26,32950,33000,32850,32950,816
2023-05-30,32700,32950,32400,32900,973
2023-05-31,33200,33500,32400,32550,1267
2023-06-01,32500,32650,31750,32050,3112
2023-06-02,32050,33000,32050,33000,936
2023-06-05,33250,33550,32400,33000,658
2023-06-07,33000,33100,32650,33100,645
2023-06-08,33100,33150,32000,32650,1633
2023-06-09,32600,32650,32050,32300,1414
2023-06-12,32300,32300,31250,31350,2283
2023-06-13,31350,32100,31150,32000,1389
2023-06-14,31700,32300,30750,30750,2876
2023-06-15,30750,31200,30300,30900,694
2023-06-16,30600,30800,30000,30450,1615
2023-06-19,30450,30800,29800,29900,1850
2023-06-20,30050,30400,29150,29750,4015
2023-06-21,30000,30150,28650,29500,3721
2023-06-22,29100,29150,28750,29000,1357
2023-06-23,28700,28950,28000,28400,3338
2023-06-26,28400,29000,27850,29000,2512
2023-06-27,29300,29300,28300,28500,3023
2023-06-28,28500,28650,28250,28600,700
2023-06-29,28500,29800,28300,28600,1228
2023-06-30,28500,28900,26850,27700,2751
2023-07-03,28800,28800,27900,28200,1174
2023-07-04,28800,28800,27000,27400,5184
