date,open,high,low,close,volume
2023-02-09,22050,22300,21950,22050,395228
2023-02-10,21900,22300,21800,22300,351371
2023-02-13,22200,23100,22200,23050,951244
2023-02-14,22900,23100,22700,22750,380134
2023-02-15,22850,22950,22350,22350,317359
2023-02-16,22500,23100,22400,22900,520610
2023-02-17,22600,23050,22450,22700,279485
2023-02-20,22750,22850,22250,22650,357378
2023-02-21,22700,23750,22450,23550,859378
2023-02-22,23300,24650,23300,24050,1453721
2023-02-23,24100,24150,23450,23850,823522
2023-02-24,24050,24750,23900,24200,982815
2023-02-27,24200,24450,23150,23350,976964
2023-02-28,23400,23400,22600,22600,829579
2023-03-02,22600,23350,22600,23050,712432
2023-03-03,23100,23100,22600,22850,524583
2023-03-06,23050,23050,22500,22600,606625
2023-03-07,22600,22950,22450,22500,744204
2023-03-08,22300,22350,21900,22150,729951
2023-03-09,22200,22300,21700,22100,1193317
2023-03-10,21700,21900,21300,21400,872002
2023-03-13,21400,21650,21100,21650,634508
2023-03-14,21550,21550,20850,20900,616761
2023-03-15,21250,21300,20900,21050,475101
2023-03-16,20850,20900,20300,20700,717775
2023-03-17,20900,21050,20650,20750,572984
2023-03-20,20750,21200,20650,20700,356967
2023-03-21,20800,21400,20750,21150,478593
2023-03-22,21400,21400,20950,21150,384694
2023-03-23,21000,21050,20600,20700,473675
2023-03-24,20650,20700,20400,20650,458370
2023-03-27,20750,21100,20550,20900,459435
2023-03-28,20950,21850,20950,21650,861094
2023-03-29,21550,21750,21150,21500,558944
2023-03-30,21600,21750,21200,21500,457732
2023-03-31,21550,22600,21450,22300,1439634
2023-04-03,22750,22750,22000,22100,612925
2023-04-04,22150,22500,22000,22050,515962
2023-04-05,22100,22300,21650,21800,542450
2023-04-06,21700,22000,21400,21550,426991
2023-04-07,21650,21750,21250,21350,503502
2023-04-10,21450,22550,21450,22350,1109353
2023-04-11,22500,22650,21800,21900,802894
2023-04-12,21900,22400,21850,22200,689086
2023-04-13,22350,22550,22000,22250,791219
2023-04-14,23450,27450,23300,26500,18318610
2023-04-17,27450,31500,27100,30300,17995784
2023-04-18,31850,34600,29950,30500,20199794
2023-04-19,31150,32450,30500,31250,6431312
2023-04-20,31100,31300,29150,29150,1799126
2023-04-21,28700,28700,27900,27950,1662785
2023-04-24,28050,28950,28050,28950,1048430
2023-04-25,29400,29450,26900,27500,3876913
2023-04-26,27700,28050,26750,27050,2483810
2023-04-27,26750,27500,26450,27400,2308485
2023-04-28,27800,28150,26250,26800,2133420
2023-05-02,27250,28850,27250,28150,2883293
2023-05-03,27900,28600,27150,27900,1767637
2023-05-04,28300,28400,27500,27950,1409827
2023-05-08,28800,28900,27600,27900,1457586
2023-05-09,27650,27700,26100,26850,1690137
2023-05-10,26600,28350,26550,27650,1928908
2023-05-11,27700,28700,27650,28400,1755076
2023-05-12,29700,29800,26900,27050,3627180
2023-05-15,27450,29650,27100,27650,3507527
2023-05-16,27750,29100,27650,28350,2369179
2023-05-17,28450,29050,28000,28800,1579056
2023-05-18,28900,31700,28750,30850,5653617
2023-05-19,31300,31500,29650,29850,2697937
2023-05-22,29850,31200,29650,30450,1979141
2023-05-23,29900,30200,28600,28700,2962471
2023-05-24,28400,29450,28400,29400,1644846
2023-05-25,29000,29350,28550,29000,1141084
2023-05-26,28600,29050,28150,28400,1394877
2023-05-30,29050,30800,29050,30150,4889090
2023-05-31,30150,30650,29500,30100,6480684
2023-06-01,29800,30150,29050,29950,1273560
2023-06-02,30200,31700,30200,31100,3112033
2023-06-05,31950,33450,31600,33000,3636919
2023-06-07,33550,33600,32400,33350,2240263
2023-06-08,33200,39550,32950,38700,14190858
2023-06-09,38400,38950,36400,36750,4590273
2023-06-12,37100,37650,36400,36650,2591679
2023-06-13,36850,37550,36200,36550,2397639
2023-06-14,36800,38300,36400,36800,4105890
2023-06-15,36950,37500,35800,36200,1899307
2023-06-16,36700,38050,36500,37800,2995152
2023-06-19,37800,38300,37250,38300,1880330
2023-06-20,38800,39300,37600,38000,2022996
2023-06-21,37700,39600,37700,38750,2532123
2023-06-22,38700,39700,38300,39200,2262232
2023-06-23,39300,39350,37300,37450,1985570
2023-06-26,37150,38750,37100,37950,1716788
2023-06-27,37800,39250,37600,38950,2771022
2023-06-28,39350,41400,39100,39700,6342027
2023-06-29,40050,40100,38350,38850,2079912
2023-06-30,38850,39850,38150,39850,1806695
2023-07-03,40150,40700,39550,40400,1999460
2023-07-04,40950,44200,40700,43100,6546370
2023-07-05,43450,48450,43150,46350,8607622
2023-07-06,46400,46450,43750,43900,3611006
2023-07-07,43900,45750,43600,45050,3335156
2023-07-10,45100,45150,42200,42500,2923613
2023-07-11,42550,44200,42200,43800,2703357
2023-07-12,44200,46650,43500,45300,3466437
2023-07-13,46000,46100,43800,45800,2430356
2023-07-14,46350,50400,46050,48450,6353122
2023-07-17,48800,51100,47950,48650,3519759
2023-07-18,48700,49400,47700,48750,2588623
2023-07-19,49000,49300,46300,46950,2746489
2023-07-20,46000,49100,46000,48800,2490810
2023-07-21,47800,51300,46500,50800,3669202
2023-07-24,51200,66000,51000,66000,11810517
2023-07-25,70500,76700,70100,74400,15560077
2023-07-26,77000,96700,74400,85100,24618846
2023-07-27,85100,89100,65000,66600,14951424
2023-07-28,64900,80000,62900,80000,17507414
2023-07-31,84000,94400,83200,90100,15691422
2023-08-01,93900,94400,82600,84100,9503517
2023-08-02,81600,88800,81500,85000,8349835
2023-08-03,87100,87500,78400,82100,6379468
2023-08-04,82700,89400,82400,85100,8807681
2023-08-07,83000,84300,75600,76400,5051649
2023-08-08,77100,87000,77100,87000,10012232
2023-08-09,88100,91000,85100,89000,7581723
2023-08-10,88000,93800,87600,91000,7932611
2023-08-11,92700,93500,85200,85200,5353079
2023-08-14,83300,91000,83300,90600,5562071
2023-08-16,88600,89200,85300,86300,3646855
2023-08-17,86800,88600,81000,87200,5968204
2023-08-18,85400,89500,81300,81500,4662017
2023-08-21,80900,83800,80000,80000,3606097
2023-08-22,82300,83500,78300,79300,3060983
2023-08-23,78800,80200,75900,77200,3074080
2023-08-24,78400,81400,75300,80300,3686164
2023-08-25,77900,80600,76500,79000,2572010
2023-08-28,80300,87800,79400,87600,7035510
2023-08-29,87600,87700,83400,83600,3636005
2023-08-30,85600,85600,79800,80200,3549989
2023-08-31,80200,82000,78800,79200,3566535
2023-09-01,79900,81600,76500,78500,3186476
2023-09-04,77700,82600,77500,81400,3329238
2023-09-05,82400,86300,80600,84300,4425825
2023-09-06,84300,85900,79200,79600,3447361
2023-09-07,79000,81000,78000,78400,2086171
2023-09-08,78200,80700,77700,80000,1723561
2023-09-11,80400,80800,76800,79000,1852392
2023-09-12,80100,81900,76200,76500,2760812
2023-09-13,75900,77900,73600,73800,1915556
2023-09-14,75100,79000,75100,77000,2600891
2023-09-15,77700,81600,76900,79600,3133225
2023-09-18,80400,82000,79200,81200,1767779
2023-09-19,81200,81500,77900,79400,1382148
2023-09-20,79300,82000,78500,81300,1705946
2023-09-21,80400,80400,78300,79400,1091734
2023-09-22,77800,79300,75700,76700,1480909
2023-09-25,76300,76600,72700,72800,1436102
2023-09-26,72400,74700,72400,72700,1162932
2023-09-27,71500,72700,70700,71400,1087062
2023-10-04,70800,71000,67500,68000,1383405
2023-10-05,69400,70100,66500,67200,1156175
2023-10-06,66900,69200,66700,67000,919410
2023-10-10,68000,69000,64700,64900,1470991
2023-10-11,66500,68400,66200,67500,1277897
2023-10-12,68100,69000,66900,67900,1332960
2023-10-13,67900,68600,66600,67400,840713
2023-10-16,66300,69300,65600,67400,1184858
2023-10-17,68100,69000,66000,66100,953451
2023-10-18,66000,66800,65000,65500,814284
2023-10-19,64100,64500,62400,62800,1131089
2023-10-20,61100,62800,59500,60700,1564246
2023-10-23,61100,62800,60500,61000,1219378
2023-10-24,61800,63400,59200,61900,1570589
2023-10-25,65200,65200,56200,56300,3292190
2023-10-26,54100,55300,52100,52500,2574277
2023-10-27,53200,54600,52300,53500,2108976
2023-10-30,52800,53900,52300,53900,1319817
2023-10-31,54100,54100,50000,50100,1646683
2023-11-01,51000,53200,51000,51800,1532242
2023-11-02,53200,54100,52500,53400,1122131
2023-11-03,55100,55200,52600,53800,1186964
2023-11-06,58800,65400,56800,65200,6589700
2023-11-07,64900,65000,56200,58100,3257432
2023-11-08,57300,60100,56700,56900,1555422
2023-11-09,61700,62400,58500,59100,4423935
2023-11-10,57400,57700,55600,56400,1459046
2023-11-13,57500,59600,56400,58100,1640185
2023-11-14,58600,60100,58400,59500,1413540
2023-11-15,62300,62300,58700,59300,1447733
2023-11-16,59700,60700,58700,59700,1001438
2023-11-17,59300,59400,57500,58300,807754
2023-11-20,58300,59600,57900,59200,671997
2023-11-21,59800,60600,58400,58900,708955
2023-11-22,58400,59200,57800,57900,609676
2023-11-23,58100,58500,57300,58200,540570
2023-11-24,58200,59300,57900,58900,654492
2023-11-27,59000,59200,57200,57300,669248
2023-11-28,57300,58600,57000,57600,712435
2023-11-29,57900,58200,56100,58000,1028852
2023-11-30,57500,58000,56800,57200,1193775
2023-12-01,57200,57200,55200,55700,819662
2023-12-04,55700,56300,54200,54900,921067
2023-12-05,54400,54700,53200,53400,712899
2023-12-06,53400,58300,52800,55600,2320449
2023-12-07,56800,57300,54600,56600,1110435
2023-12-08,56700,58200,56100,56900,1015693
2023-12-11,57300,59000,56900,56900,777506
2023-12-12,57200,57400,55900,56800,483474
2023-12-13,56100,56400,55000,55200,559734
2023-12-14,56400,57000,55500,56000,893069
2023-12-15,56700,59800,56500,58500,1828159
2023-12-18,61000,62200,59600,61200,1887307
2023-12-19,61600,61700,58900,59400,1063483
2023-12-20,59600,60300,58900,59200,808955
2023-12-21,58400,63200,58400,59600,2429816
2023-12-22,60100,61600,58000,58000,1238277
2023-12-26,57700,58600,56200,56300,923077
2023-12-27,56700,68900,56700,62300,10395130
2023-12-28,63700,64400,61500,62400,1800545
2024-01-02,62300,62400,58800,59200,1641666
2024-01-03,58400,60800,58300,58400,1502071
2024-01-04,57600,59400,57500,57700,718451
2024-01-05,58200,59200,57600,58200,881098
2024-01-08,58200,58300,56500,56600,749364
2024-01-09,57200,57600,55100,55400,828636
2024-01-10,55400,55800,53700,54000,734616
2024-01-11,54300,55300,54000,54000,669994
2024-01-12,54200,55000,52900,54300,606881
2024-01-15,54500,54500,52500,52800,526423
2024-01-16,52500,53200,51600,51600,481589
2024-01-17,51600,51700,50200,50500,663251
2024-01-18,50300,52000,50000,50600,595029
2024-01-19,51200,51600,49350,50200,848871
2024-01-22,50800,50800,47100,48700,974135
2024-01-23,48000,49400,47700,48400,808740
2024-01-24,48450,53400,48450,49850,2394349
2024-01-25,49300,49450,47800,48900,983296
2024-01-26,48500,52500,48500,51600,1378497
2024-01-29,52200,52700,51100,51900,705729
2024-01-30,53700,53700,51400,51400,634729
2024-01-31,51100,53400,51100,52600,679904
2024-02-01,52300,53500,51300,53500,574821
2024-02-02,54200,54300,53000,54000,617106
2024-02-05,53900,53900,52700,53400,421540
2024-02-06,53000,53300,52300,52800,312978
2024-02-07,53400,54800,53400,54500,680362
2024-02-08,55400,56500,55100,55700,898751
2024-02-13,56000,56600,54400,55500,562526
2024-02-14,54700,55500,53700,55200,465513
2024-02-15,56400,58100,56000,57600,891972
2024-02-16,58500,58600,57300,57300,579444
2024-02-19,57100,58400,56500,58000,488050
2024-02-20,58000,59400,57500,58900,672399
2024-02-21,58500,59200,57700,57700,485533
2024-02-22,58100,58500,57000,58500,427884
2024-02-23,58700,59000,57700,57800,426911
2024-02-26,57800,58400,56900,56900,407700
2024-02-27,56900,57900,55500,56000,476349
2024-02-28,56500,57400,56000,56600,454233
2024-02-29,56500,56800,55600,56100,437927
2024-03-04,56100,57500,55300,56800,500326
2024-03-05,56400,58300,55700,56000,477797
2024-03-06,56000,56600,55100,55300,378159
2024-03-07,55500,56100,54100,55200,538607
2024-03-08,55700,56100,54400,55000,467439
2024-03-11,54600,55000,53800,53800,394900
2024-03-12,54700,61000,54700,60800,4483303
2024-03-13,61700,61700,59500,61100,1593217
2024-03-14,61000,61700,59900,60400,892080
2024-03-15,59900,60400,57100,57100,1050055
2024-03-18,57600,58200,56500,56900,587542
2024-03-19,57200,57400,55800,56700,561677
2024-03-20,56700,57300,55000,55400,568146
2024-03-21,56100,56500,55500,55900,404200
2024-03-22,55600,57900,55600,56500,575130
2024-03-25,57500,57700,56600,56600,403568
2024-03-26,56900,57000,55300,55400,557140
2024-03-27,55300,55800,54300,54600,519029
2024-03-28,54400,55000,53100,53200,628088
2024-03-29,53200,54200,52400,52900,416032
2024-04-01,52200,53700,52200,52800,378137
2024-04-02,52600,53600,52400,52400,381674
2024-04-03,51700,51700,50100,50100,571865
2024-04-04,50400,51000,50000,50400,344642
2024-04-05,49550,50000,48650,48700,514683
2024-04-08,48250,49650,47100,49100,680832
2024-04-09,49400,50300,48650,48650,314696
2024-04-11,47450,48450,47100,47500,392073
2024-04-12,47850,47900,46400,46450,453118
2024-04-15,45350,46200,45050,45150,523696
2024-04-16,45000,45200,43350,43500,590612
2024-04-17,43400,43950,42000,42000,708530
2024-04-18,42400,45800,42400,43800,1052393
2024-04-19,43300,43350,41550,42650,659676
2024-04-22,43500,45300,43500,44850,670407
2024-04-23,45000,45650,44200,44800,427076
2024-04-24,46000,46950,45300,45600,442417
2024-04-25,45150,45600,44550,44750,302266
2024-04-26,45250,46450,44200,45400,519443
2024-04-29,45400,47400,44950,47300,548969
2024-04-30,47450,47500,46300,46300,440456
2024-05-02,46200,47100,45950,46200,291737
2024-05-03,46500,46900,46100,46150,200192
2024-05-07,46800,47200,46350,47200,278870
2024-05-08,47150,47150,46350,46850,236901
2024-05-09,46900,47200,46100,46100,321386
2024-05-10,46800,47700,46500,46900,330252
2024-05-13,46900,47100,46000,46050,224558
2024-05-14,46500,46900,46150,46500,191178
2024-05-16,47100,47400,46100,46350,343774
2024-05-17,46150,46350,45750,45750,243014
2024-05-20,46100,48600,45200,47600,964855
2024-05-21,47900,48650,46850,47050,500434
2024-05-22,47500,47750,46000,46000,363520
2024-05-23,45600,45750,44500,45300,378971
2024-05-24,44600,45300,44300,44900,255833
2024-05-27,44900,46500,44350,46500,348400
2024-05-28,46500,46500,45450,45900,296878
2024-05-29,45450,45650,43500,43500,695699
2024-05-30,43200,44100,43050,43050,297277
