date,open,high,low,close,volume
2023-02-09,17040,17040,16400,16740,10032
2023-02-10,16510,16950,16450,16860,11273
2023-02-13,16860,17250,16670,16990,8581
2023-02-14,17000,17060,16750,17020,38220
2023-02-15,17020,17020,16720,16900,4607
2023-02-16,16700,17000,16620,16760,11521
2023-02-17,16650,16800,16600,16770,6533
2023-02-20,16770,17000,16770,16770,14322
2023-02-21,16870,17140,16700,17080,22581
2023-02-22,17010,17130,16980,17060,7384
2023-02-23,16960,17120,16820,16890,5775
2023-02-24,17010,17060,16810,16920,9233
2023-02-27,16820,16990,16610,16610,38397
2023-02-28,16450,16800,16280,16500,31804
2023-03-02,16440,16540,16290,16450,11609
2023-03-03,16480,16680,15600,16400,10044
2023-03-06,16400,16400,16000,16000,10908
2023-03-07,15910,16100,15800,15930,24326
2023-03-08,15950,15980,15730,15900,18974
2023-03-09,16100,16100,15800,16050,14124
2023-03-10,16000,16350,15850,16070,3737
2023-03-13,16110,16470,15950,16150,3387
2023-03-14,16000,16320,15800,15980,14639
2023-03-15,16430,16430,15790,15900,22690
2023-03-16,16300,16370,15600,15970,24928
2023-03-17,15850,16050,15820,16050,40139
2023-03-20,16000,16100,15810,16050,32790
2023-03-21,16050,16100,16000,16050,3902
2023-03-22,16050,16050,15900,16000,12576
2023-03-23,15850,16020,15830,16020,44695
2023-03-24,15880,16040,15810,16000,40740
2023-03-27,16000,16270,15890,15960,6435
2023-03-28,15870,16100,15800,16100,55037
2023-03-29,15920,16400,15920,16300,20156
2023-03-30,16300,16500,16200,16400,8387
2023-03-31,16880,16880,16300,16600,16846
2023-04-03,16500,16880,16450,16860,6164
2023-04-04,16870,18850,16870,18100,92906
2023-04-05,18000,19430,17100,17220,185004
2023-04-06,17220,17220,16280,16830,38536
2023-04-07,16700,17750,16500,17350,34234
2023-04-10,17460,17900,17000,17330,29603
2023-04-11,17410,17760,17120,17370,15697
2023-04-12,17360,17550,17100,17350,11497
2023-04-13,17640,17800,17180,17800,23475
2023-04-14,17980,18250,17690,17960,26687
2023-04-17,18000,18000,17700,17950,19484
2023-04-18,17800,18740,17730,17950,58783
2023-04-19,17870,18900,17800,18890,91473
2023-04-20,19300,20200,18920,19810,135166
2023-04-21,20000,20050,19200,19310,52596
2023-04-24,19430,19430,17800,18250,90175
2023-04-25,18250,18250,17500,18020,33247
2023-04-26,18020,18560,17850,18500,189178
2023-04-27,18300,18990,18210,18390,23570
2023-04-28,18390,18690,17960,18650,58763
2023-05-02,18300,18820,16700,17880,206080
2023-05-03,17300,17300,16560,16750,129491
2023-05-04,16750,17150,16270,16990,53143
2023-05-08,16990,17090,16720,16940,13313
2023-05-09,16920,17030,16820,16950,6153
2023-05-10,16950,17090,16600,16910,22194
2023-05-11,17000,17050,16660,17000,19318
2023-05-12,17000,17130,16730,17000,129712
2023-05-15,16920,16920,16660,16800,22092
2023-05-16,16800,16800,16500,16680,23638
2023-05-17,16530,16980,16530,16830,24492
2023-05-18,16710,17080,16660,16810,21648
2023-05-19,16810,16850,16680,16770,31385
2023-05-22,16800,18160,16700,17940,305020
2023-05-23,17940,18430,17160,17420,165688
2023-05-24,17390,18090,17240,17560,82695
2023-05-25,17560,17590,17170,17280,23825
2023-05-26,17050,17200,16790,17040,31509
2023-05-30,17050,17320,16890,17070,29706
2023-05-31,17070,17150,16880,16980,24868
2023-06-01,16800,17060,16800,16970,28179
2023-06-02,17050,18390,16990,17650,111636
2023-06-05,17670,18000,17250,17380,21425
2023-06-07,17400,17410,16350,16350,57478
2023-06-08,16300,16590,16070,16360,56635
2023-06-09,16360,16400,16050,16300,51807
2023-06-12,16300,16350,15850,16100,40961
2023-06-13,16200,16300,15800,16000,30951
2023-06-14,16010,16400,15940,16080,9219
2023-06-15,16100,16260,15750,16100,18309
2023-06-16,16090,16600,16050,16350,35724
2023-06-19,16490,17600,16390,17070,39214
2023-06-20,17070,17830,16840,17440,39105
2023-06-21,17440,17510,16850,17000,16963
2023-06-22,17000,17000,16350,16550,47111
2023-06-23,16550,16800,16100,16500,43962
2023-06-26,16500,16550,16240,16500,23002
2023-06-27,16500,16550,16260,16340,49080
2023-06-28,16360,17620,16350,17370,305734
2023-06-29,17780,18100,17090,17480,38310
2023-06-30,17480,17500,16710,17500,17201
2023-07-03,17260,17500,17110,17190,14193
2023-07-04,17010,17200,16990,17130,23216
2023-07-05,17060,17200,16750,16750,28207
2023-07-06,16880,17100,16400,16440,41264
2023-07-07,16440,17660,16400,17660,58853
2023-07-10,17660,17660,17000,17170,24482
2023-07-11,17170,17270,16750,16880,19427
2023-07-12,16870,17200,16780,16920,30090
2023-07-13,17180,17190,16340,16450,55400
2023-07-14,16450,16800,16200,16600,40225
2023-07-17,16440,17390,16260,17010,27507
2023-07-18,17060,17500,16800,17030,50730
2023-07-19,17110,17300,16920,17030,27474
2023-07-20,17230,17300,16600,16710,28626
2023-07-21,16720,16720,16250,16270,30940
2023-07-24,16270,16440,15880,16000,27052
2023-07-25,16000,16000,15570,15800,34553
2023-07-26,15900,16200,15400,15750,69100
