ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,exit_reason
348370,2024-06-14,2024-06-24,276500.0,235025.0,-0.16249875807252856,6,SL_15PCT
080220,2024-06-14,2024-06-25,22350.0,18997.5,-0.16249875807252856,7,SL_15PCT
257720,2024-06-14,2024-07-01,50400.0,42840.0,-0.16249875807252856,11,SL_15PCT
066790,2024-06-14,2024-07-02,2840.0,2414.0,-0.16249875807252856,12,SL_15PCT
031980,2024-06-14,2024-07-02,78000.0,66300.0,-0.16249875807252845,12,SL_15PCT
298040,2024-06-14,2024-07-02,371000.0,315350.0,-0.16249875807252845,12,SL_15PCT
042700,2024-06-14,2024-07-04,190200.0,161670.0,-0.16249875807252856,14,SL_15PCT
039980,2024-06-14,2024-07-08,3085.0,2622.25,-0.16249875807252845,16,SL_15PCT
022100,2024-06-14,2024-07-08,43050.0,36592.5,-0.16249875807252845,16,SL_15PCT
006340,2024-06-14,2024-07-12,3540.0,4275.0,0.18986966076435374,20,REBALANCE
041020,2024-06-14,2024-07-12,7830.0,7350.0,-0.07510568279364205,20,REBALANCE
000500,2024-06-14,2024-07-12,48300.0,50600.0,0.0322144158209734,20,REBALANCE
103590,2024-06-14,2024-07-12,25000.0,28400.0,0.11929577744659725,20,REBALANCE
425420,2024-06-14,2024-07-12,31750.0,27150.0,-0.15745590668528575,20,REBALANCE
033790,2024-07-15,2024-07-12,11240.0,9554.0,-0.16249875807252845,-1,SL_15PCT
107640,2024-07-15,2024-07-17,46200.0,39270.0,-0.16249875807252845,2,SL_15PCT
065350,2024-06-14,2024-07-18,66700.0,56695.0,-0.16249875807252867,24,SL_15PCT
323280,2024-07-15,2024-07-18,8612.0,7320.2,-0.16249875807252856,3,SL_15PCT
304360,2024-07-15,2024-07-22,43000.0,36550.0,-0.16249875807252856,5,SL_15PCT
009470,2024-07-15,2024-07-23,60300.0,51255.0,-0.16249875807252856,6,SL_15PCT
229640,2024-06-14,2024-07-25,34550.0,29367.5,-0.16249875807252856,29,SL_15PCT
042700,2024-07-15,2024-07-25,161300.0,137105.0,-0.16249875807252834,8,SL_15PCT
348370,2024-07-15,2024-07-29,197300.0,167705.0,-0.16249875807252845,10,SL_15PCT
080220,2024-07-15,2024-08-02,17250.0,14662.5,-0.16249875807252856,14,SL_15PCT
033100,2024-06-14,2024-08-05,69400.0,58990.0,-0.16249875807252845,36,SL_15PCT
089030,2024-06-14,2024-08-05,43800.0,37230.0,-0.16249875807252845,36,SL_15PCT
