ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_amount,hold_days,exit_reason
032940,2024-06-14,2024-06-13,6540.0,5985.0,-0.09831895431985671,-2457363.3434999986,-1,TRAIL_SL
339770,2024-06-14,2024-06-13,5533.0,5628.6,0.0023196628385762086,57989.44068000122,-1,TRAIL_SL
003960,2024-06-14,2024-06-14,47450.0,55440.0,0.15120731054259018,3661261.461000001,0,TRAIL_SL
101530,2024-06-14,2024-06-18,8870.0,8505.0,-0.05524927878597452,-1381090.199999998,2,TRAIL_SL
017810,2024-06-14,2024-06-19,16850.0,16569.0,-0.03113575999327811,-778342.3097999988,3,TRAIL_SL
092730,2024-06-14,2024-06-19,17128.0,15806.7,-0.09071277297751423,-2267550.034499995,3,TRAIL_SL
114810,2024-06-14,2024-06-20,13020.0,12042.0,-0.08871510298268614,-2217037.390199998,4,TRAIL_SL
104700,2024-06-14,2024-06-21,10260.0,10008.0,-0.03890466354659605,-972250.4879999962,5,TRAIL_SL
106190,2024-06-14,2024-06-21,14210.0,14310.0,-0.007770602973703911,-194158.08599999826,5,TRAIL_SL
103140,2024-06-14,2024-06-21,57800.0,63900.0,0.08928006023133395,2228195.9700000035,5,TRAIL_SL
319660,2024-06-14,2024-06-24,33650.0,33390.0,-0.022317403445213824,-557826.1560000008,6,TRAIL_SL
075580,2024-06-14,2024-06-24,7660.0,8847.0,0.13797780484293343,3448774.4358000015,6,TRAIL_SL
027360,2024-06-14,2024-06-24,3420.0,3285.0,-0.053597667790937886,-1339806.321,6,TRAIL_SL
026890,2024-06-14,2024-06-24,10770.0,10323.0,-0.05559830461332804,-1389793.6853999968,6,TRAIL_SL
000660,2024-06-14,2024-06-25,225000.0,218700.0,-0.04229269746646791,-1053548.0999999992,7,TRAIL_SL
043370,2024-06-14,2024-07-01,13720.0,12915.0,-0.0725151312387845,-1812487.8449999965,11,TRAIL_SL
000270,2024-06-14,2024-07-09,121400.0,121500.0,-0.013892810406165412,-346300.1999999976,17,TRAIL_SL
086790,2024-06-14,2024-07-09,59100.0,61020.0,0.017305181296194183,432341.2800000023,17,TRAIL_SL
005380,2024-06-14,2024-07-12,268500.0,269550.0,-0.010851310060028818,-269791.3800000013,20,TRAIL_SL
009300,2024-07-15,2024-07-15,26000.0,28350.0,0.07435114066261606,1838681.7749999997,0,TRAIL_SL
103140,2024-07-15,2024-07-18,69200.0,63630.0,-0.09401217232497439,-2324514.7950000013,3,TRAIL_SL
000660,2024-07-15,2024-07-18,235000.0,212400.0,-0.10946050670640828,-2692603.6799999983,3,TRAIL_SL
014830,2024-07-15,2024-07-18,102400.0,95310.0,-0.08292459365685545,-2051201.5199999989,3,TRAIL_SL
002380,2024-07-15,2024-07-22,326500.0,310500.0,-0.06298843124590614,-1552454.9999999974,5,TRAIL_SL
077970,2024-07-15,2024-07-22,16490.0,15957.0,-0.04655175561397906,-1151988.4970999972,5,TRAIL_SL
064350,2024-07-15,2024-07-23,40950.0,41895.0,0.008033169016775643,198657.90000000416,6,TRAIL_SL
086280,2024-07-15,2024-07-24,126100.0,116550.0,-0.08932434812103551,-2210717.924999997,7,TRAIL_SL
000810,2024-07-15,2024-07-25,390000.0,351000.0,-0.1132339791356185,-2800242.8999999994,8,TRAIL_SL
104700,2024-07-15,2024-07-25,9050.0,8271.0,-0.09951605174103118,-2462890.6730999947,8,TRAIL_SL
017810,2024-07-15,2024-07-25,14530.0,13815.0,-0.06318937231464161,-1563593.2739999976,8,TRAIL_SL
105560,2024-06-14,2024-08-02,80400.0,83160.0,0.019119158306826645,476528.9760000018,35,TRAIL_SL
032830,2024-07-15,2024-08-02,95000.0,89640.0,-0.0702958349674484,-1734150.0960000006,14,TRAIL_SL
055550,2024-07-15,2024-08-02,52600.0,57780.0,0.08232658820329464,2035431.6420000026,14,TRAIL_SL
086790,2024-07-15,2024-08-05,63000.0,59760.0,-0.06537676531119152,-1616748.1200000006,15,TRAIL_SL
009540,2024-07-15,2024-08-05,167100.0,191700.0,0.13034806968350265,3222642.780000003,15,TRAIL_SL
138040,2024-07-15,2024-08-05,82400.0,77130.0,-0.07772029140682646,-1920842.1419999986,15,TRAIL_SL
259960,2024-07-15,2024-08-05,281000.0,271800.0,-0.046963208893084585,-1155572.2800000003,15,TRAIL_SL
005830,2024-07-15,2024-08-05,107900.0,99990.0,-0.08693507953630408,-1916577.2009999985,15,TRAIL_SL
950210,2024-08-13,2024-08-12,15540.0,14067.0,-0.10809826859007177,-2558129.1092999983,-1,TRAIL_SL
004310,2024-08-13,2024-08-13,5500.0,5211.0,-0.06647722530822375,-1573205.5574999996,0,TRAIL_SL
054540,2024-08-13,2024-08-13,5470.0,5202.0,-0.06297850080509582,-1490599.1483999963,0,TRAIL_SL
334970,2024-08-13,2024-08-16,6310.0,6480.0,0.011840784504524304,280274.1270000035,2,TRAIL_SL
263750,2024-08-13,2024-08-20,42650.0,41535.0,-0.0404630278337349,-957067.9904999991,4,TRAIL_SL
000100,2024-08-13,2024-08-21,88300.0,98730.0,0.10167873713275943,2403733.2060000002,5,TRAIL_SL
294870,2024-08-13,2024-08-21,23100.0,23805.0,0.015366287959432512,363699.33300000196,5,TRAIL_SL
014940,2024-08-13,2024-08-22,4800.0,4450.5,-0.08644625558867358,-2046014.1958499998,6,TRAIL_SL
009540,2024-08-13,2024-08-26,198000.0,184050.0,-0.08412297340017161,-1978224.569999999,8,TRAIL_SL
