ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_amount,hold_days,exit_reason
003960,2024-06-14,2024-06-14,47450.0,55440.0,0.15120731054259018,3776804.229000001,0,TRAIL_SL
035150,2024-06-14,2024-06-17,13900.0,14157.0,0.003512914258757105,87776.36340000277,1,TRAIL_SL
017810,2024-06-14,2024-06-19,16850.0,16569.0,-0.03113575999327811,-778342.3097999988,3,TRAIL_SL
114810,2024-06-14,2024-06-20,13020.0,12042.0,-0.08871510298268614,-2217037.390199998,4,TRAIL_SL
161890,2024-06-14,2024-06-20,70000.0,67500.0,-0.049893549073877,-1244398.5,4,TRAIL_SL
104700,2024-06-14,2024-06-21,10260.0,10008.0,-0.03890466354659605,-972250.4879999962,5,TRAIL_SL
103140,2024-06-14,2024-06-21,57800.0,63900.0,0.08928006023133395,2228195.9700000035,5,TRAIL_SL
106190,2024-06-14,2024-06-21,14210.0,14310.0,-0.007770602973703911,-194158.08599999826,5,TRAIL_SL
026890,2024-06-14,2024-06-24,10770.0,10323.0,-0.05559830461332804,-1389793.6853999968,6,TRAIL_SL
319660,2024-06-14,2024-06-24,33650.0,33390.0,-0.022317403445213824,-557826.1560000008,6,TRAIL_SL
075580,2024-06-14,2024-06-24,7660.0,8847.0,0.13797780484293343,3448774.4358000015,6,TRAIL_SL
027360,2024-06-14,2024-06-24,3420.0,3285.0,-0.053597667790937886,-1339806.321,6,TRAIL_SL
000660,2024-06-14,2024-06-25,225000.0,218700.0,-0.04229269746646791,-1053548.0999999992,7,TRAIL_SL
073240,2024-06-14,2024-07-03,6750.0,6291.0,-0.08170452061599598,-2042177.2136999995,13,TRAIL_SL
086790,2024-06-14,2024-07-09,59100.0,61020.0,0.017305181296194183,432341.2800000023,17,TRAIL_SL
000270,2024-06-14,2024-07-09,121400.0,121500.0,-0.013892810406165412,-346300.1999999976,17,TRAIL_SL
175330,2024-06-14,2024-07-10,13350.0,14535.0,0.07275439977226683,1818307.1700000016,18,TRAIL_SL
105560,2024-06-14,2024-08-02,80400.0,83160.0,0.019119158306826645,476528.9760000018,35,TRAIL_SL
138040,2024-06-14,2024-08-05,73000.0,77310.0,0.043468509482881945,1085901.1800000016,36,TRAIL_SL
010140,2024-06-14,2024-08-05,8900.0,11052.0,0.22353783552973105,5408532.098400001,36,TRAIL_SL
070960,2024-09-12,2024-09-13,4460.0,4221.0,-0.06750389285785896,-1709966.1249000002,1,TRAIL_SL
294870,2024-09-12,2024-09-19,23900.0,24750.0,0.020337471705878407,515153.9250000023,2,TRAIL_SL
001750,2024-09-12,2024-09-20,16150.0,15975.0,-0.025380998740385463,-642780.164999996,3,TRAIL_SL
950210,2024-09-12,2024-09-24,13300.0,14256.0,0.056118328608406376,1421318.0784000014,5,TRAIL_SL
006280,2024-09-12,2024-09-25,152000.0,152100.0,-0.01405620048631262,-354820.94999999885,6,TRAIL_SL
001530,2024-09-12,2024-09-25,28984.0,31786.2,0.08055486906183518,2039781.3727200031,6,TRAIL_SL
329180,2024-09-12,2024-09-27,181700.0,183150.0,-0.006841578173353513,-172664.90999999695,8,TRAIL_SL
009540,2024-09-12,2024-09-27,176000.0,183600.0,0.0278424332746241,700361.0399999993,8,TRAIL_SL
138930,2024-09-12,2024-09-30,9260.0,9027.0,-0.0394964158455996,-1000166.0096999969,9,TRAIL_SL
006360,2024-09-12,2024-10-02,18490.0,17802.0,-0.051366582331126676,-1301036.5175999976,10,TRAIL_SL
000810,2024-09-12,2024-10-02,345000.0,337500.0,-0.03612389036480268,-903150.0,10,TRAIL_SL
021240,2024-09-12,2024-10-04,66600.0,64260.0,-0.0493229145688161,-1246459.265999998,11,TRAIL_SL
259960,2024-09-12,2024-10-07,329000.0,318600.0,-0.045850542899723234,-1153898.8800000004,12,TRAIL_SL
105560,2024-09-12,2024-10-30,77900.0,93510.0,0.18273414079344352,4627787.991000002,28,TRAIL_SL
055550,2024-09-12,2024-10-31,53500.0,53910.0,-0.007153557948103684,-181045.41000000061,29,TRAIL_SL
103140,2024-09-12,2024-10-31,55500.0,66600.0,0.18235469448584207,4614470.91,29,TRAIL_SL
086790,2024-09-12,2024-10-31,57500.0,62280.0,0.06720362858809037,1680188.8320000004,29,TRAIL_SL
267250,2024-09-12,2024-11-04,77400.0,74880.0,-0.04678381219746064,-1184496.2999999975,31,TRAIL_SL
175330,2024-09-12,2024-12-05,14360.0,18450.0,0.26592642254316323,6733855.800000003,54,TRAIL_SL
003780,2024-12-18,2024-12-17,8960.0,8730.0,-0.03999660687672968,-1042780.8089999963,-1,TRAIL_SL
086980,2024-12-18,2024-12-19,4360.0,4216.5,-0.04713330097485602,-1229025.1568999994,1,TRAIL_SL
049430,2024-12-18,2024-12-19,11120.0,10944.0,-0.0302990275439855,-765043.8911999963,1,TRAIL_SL
259960,2024-12-18,2024-12-20,342500.0,315000.0,-0.0938157451020919,-2425556.25,2,TRAIL_SL
001530,2024-12-18,2024-12-27,46303.0,43286.4,-0.07889556746877535,-2055357.2605799981,6,TRAIL_SL
051600,2024-12-18,2024-12-27,45100.0,44010.0,-0.038517551657022975,-1003600.5419999943,6,TRAIL_SL
175330,2024-12-18,2025-01-02,16800.0,15750.0,-0.07628539493293596,-1989064.3500000017,8,TRAIL_SL
032830,2024-12-18,2025-01-02,99600.0,93060.0,-0.07940154058858384,-2069547.4799999988,8,TRAIL_SL
086280,2024-12-18,2025-01-02,115500.0,122580.0,0.04569291811020593,1189851.2640000023,8,TRAIL_SL
006280,2024-12-18,2025-01-13,171500.0,162270.0,-0.06773228243820406,-1765430.2409999978,15,TRAIL_SL
010140,2024-12-18,2025-01-15,11100.0,12015.0,0.06651588995851299,1733711.7915000003,17,TRAIL_SL
009540,2024-12-18,2025-01-23,208500.0,226350.0,0.06964822181003338,1812389.5800000015,23,TRAIL_SL
105560,2024-12-18,2025-02-06,84500.0,83970.0,-0.020884381696487653,-543517.5060000003,29,TRAIL_SL
055550,2024-12-18,2025-02-20,48850.0,46800.0,-0.05605254687926631,-1460661.449999998,39,TRAIL_SL
000810,2024-12-18,2025-02-24,363000.0,384750.0,0.04433188407582134,1149992.325000001,41,TRAIL_SL
033780,2024-12-18,2025-02-25,110300.0,102510.0,-0.08429147981456886,-2189721.221999999,42,TRAIL_SL
138930,2024-12-18,2025-02-28,10830.0,11070.0,0.007130383807192553,185915.80800000473,45,TRAIL_SL
207940,2024-12-18,2025-03-10,1439366.0,1601405.1,0.09621692106025015,2369656.497390003,50,TRAIL_SL
030200,2024-12-18,2025-03-26,46050.0,49800.0,0.0655313750523876,1706982.2700000035,62,REBALANCE
047810,2025-03-27,2025-03-28,80000.0,74520.0,-0.08219716840536517,-2131162.152000001,1,TRAIL_SL
086280,2025-03-27,2025-03-28,126000.0,116820.0,-0.08649024199843869,-2237595.624,1,TRAIL_SL
021240,2025-03-27,2025-03-31,86500.0,80100.0,-0.08760490338809301,-2272869.8400000003,2,TRAIL_SL
053800,2025-03-27,2025-03-31,80800.0,74970.0,-0.085796911658379,-2225806.8690000004,2,TRAIL_SL
002020,2025-03-27,2025-03-31,23700.0,21960.0,-0.08704257767548906,-2259033.9839999992,2,TRAIL_SL
082920,2025-03-27,2025-04-01,12616.0,11649.6,-0.09017918721714047,-2341720.665599997,3,TRAIL_SL
122870,2025-03-27,2025-04-02,65300.0,60930.0,-0.08064227239634558,-2093566.7549999978,4,TRAIL_SL
138930,2025-03-27,2025-04-03,10280.0,9837.0,-0.057164143186022365,-1484582.4209999996,5,TRAIL_SL
011760,2025-03-27,2025-04-03,23100.0,21420.0,-0.08636228153366743,-1517999.6159999983,5,TRAIL_SL
001530,2025-03-27,2025-04-04,42381.0,41786.1,-0.028534966548397267,-740058.2870399964,6,TRAIL_SL
041510,2025-03-27,2025-04-04,104300.0,105570.0,-0.002707054195666747,-70192.70699999922,6,TRAIL_SL
138040,2024-09-12,2025-04-07,88300.0,114660.0,0.2794336473173522,7077796.0200000005,133,TRAIL_SL
033500,2025-03-27,2025-04-07,22850.0,22275.0,-0.03949851131757354,-1025592.0674999972,7,TRAIL_SL
306200,2025-03-27,2025-04-07,186900.0,174780.0,-0.07859838816552744,-2040402.3119999967,7,TRAIL_SL
108380,2025-03-27,2025-04-07,16600.0,15201.0,-0.09774228359039716,-2537788.1381999957,7,TRAIL_SL
017800,2025-03-27,2025-04-07,53700.0,53910.0,-0.010851310060028707,-281521.43999999855,7,TRAIL_SL
175330,2025-03-27,2025-04-07,17100.0,17019.0,-0.019371610845294818,-503112.2192999941,7,TRAIL_SL
352820,2025-03-27,2025-04-09,240000.0,223650.0,-0.08182768256333828,-2114993.564999998,9,TRAIL_SL
018670,2025-03-27,2025-05-13,240000.0,223200.0,-0.08367511177347242,-2162743.92,30,TRAIL_SL
017960,2025-03-27,2025-05-13,14270.0,19485.0,0.34537381581736937,8968619.256000001,30,TRAIL_SL
045390,2025-07-01,2025-06-30,5330.0,5013.0,-0.07330455230495203,-1820367.6740999976,-1,TRAIL_SL
016590,2025-07-01,2025-07-01,12410.0,12042.0,-0.04392188886660553,-1090643.8367999976,0,TRAIL_SL
000720,2025-07-01,2025-07-02,79000.0,75510.0,-0.05823203606934657,-1444632.6959999977,1,TRAIL_SL
036530,2025-07-01,2025-07-02,58000.0,58590.0,-0.004681586926358006,-116151.22499999942,1,TRAIL_SL
012630,2025-07-01,2025-07-02,23700.0,22815.0,-0.0514971042653134,-1278779.4944999989,1,TRAIL_SL
065710,2025-07-01,2025-07-02,39300.0,36135.0,-0.09405456138155421,-2332672.303499998,1,TRAIL_SL
015760,2025-07-01,2025-07-02,38800.0,36720.0,-0.06752439043126879,-1674479.759999997,1,TRAIL_SL
000320,2025-07-01,2025-07-02,24750.0,24030.0,-0.04336756537054598,-1077083.0280000006,1,TRAIL_SL
122870,2025-07-01,2025-07-03,95200.0,87210.0,-0.0973988716201829,-2417154.5369999954,2,TRAIL_SL
041510,2025-07-01,2025-07-03,140300.0,137250.0,-0.03612389036480246,-892696.8749999949,2,TRAIL_SL
005440,2025-07-01,2025-07-04,9100.0,8559.0,-0.07328078478898137,-1819595.2766999973,3,TRAIL_SL
071050,2025-07-01,2025-07-04,141800.0,133020.0,-0.07571214468437504,-1880203.2839999956,3,TRAIL_SL
017800,2025-07-01,2025-07-04,85900.0,79560.0,-0.08742588772512994,-2169346.325999997,3,TRAIL_SL
111770,2025-07-01,2025-07-04,62600.0,59220.0,-0.0679040866952666,-1685699.843999997,3,TRAIL_SL
023590,2025-07-01,2025-07-07,34600.0,34560.0,-0.015843491295021606,-393396.32399999973,4,TRAIL_SL
016360,2025-07-01,2025-07-07,73900.0,69210.0,-0.07723535853219288,-1913016.0689999969,4,TRAIL_SL
001720,2025-07-01,2025-07-08,122500.0,131040.0,0.053984756227379194,1337879.7180000003,5,TRAIL_SL
136490,2025-07-01,2025-07-17,12350.0,13635.0,0.08781418753808756,2180925.8910000003,12,TRAIL_SL
032350,2025-07-01,2025-07-23,18130.0,16830.0,-0.085354407602651,-2119803.7739999946,16,TRAIL_SL
021240,2025-07-01,2025-08-04,95700.0,103230.0,0.06282197067026729,1506734.1090000044,24,TRAIL_SL
000320,2025-09-29,2025-09-26,25800.0,26865.0,0.025967663674488106,617003.2575000048,-1,TRAIL_SL
079940,2025-09-29,2025-09-30,29500.0,26550.0,-0.11323397913561839,-2689691.999999998,1,TRAIL_SL
032350,2025-09-29,2025-10-01,18220.0,16695.0,-0.09717290411447443,-2309470.0560000017,2,TRAIL_SL
006730,2025-09-29,2025-10-02,10200.0,9486.0,-0.08367511177347231,-1989522.2807999982,3,TRAIL_SL
034230,2025-09-29,2025-10-10,21350.0,19890.0,-0.08208294795771265,-1950831.3719999972,4,TRAIL_SL
019180,2025-09-29,2025-10-10,5970.0,5625.0,-0.07164361299792543,-1703458.8224999974,4,TRAIL_SL
036530,2025-09-29,2025-10-13,74900.0,68580.0,-0.09784284659725118,-2323460.159999995,5,TRAIL_SL
023590,2025-09-29,2025-10-13,37000.0,33930.0,-0.09645732468683288,-2291771.9219999993,5,TRAIL_SL
267250,2025-09-29,2025-10-14,152600.0,150390.0,-0.028973774007613584,-685321.0979999981,6,TRAIL_SL
041510,2025-09-29,2025-10-14,132700.0,121500.0,-0.09786425910556507,-2326637.999999997,6,TRAIL_SL
078520,2025-09-29,2025-10-14,11040.0,10278.0,-0.0827112356638372,-1966804.2359999998,6,TRAIL_SL
122870,2025-09-29,2025-10-15,100100.0,95310.0,-0.0618529309736463,-1470686.6279999996,7,TRAIL_SL
000720,2025-09-29,2025-10-17,55300.0,56700.0,0.010239770604991705,243364.380000001,9,TRAIL_SL
071050,2025-09-29,2025-10-20,143400.0,159300.0,0.09454383328448768,2237896.4399999985,10,TRAIL_SL
039490,2025-09-29,2025-10-20,255000.0,250200.0,-0.033251161567458554,-785142.7200000003,10,TRAIL_SL
010140,2025-09-29,2025-10-27,20850.0,26505.0,0.25253042275568527,6004314.805500003,15,TRAIL_SL
045390,2025-09-29,2025-10-29,4430.0,4626.0,0.028888791702690986,686939.4635999984,17,TRAIL_SL
017800,2025-09-29,2025-10-30,81200.0,78840.0,-0.043341090791627845,-1027229.8800000018,18,TRAIL_SL
032830,2025-09-29,2025-10-31,155000.0,153360.0,-0.025129484159415405,-584137.812000001,19,TRAIL_SL
004800,2025-09-29,2025-11-03,85100.0,148230.0,0.7162204892639676,16992991.857,20,TRAIL_SL
002230,2026-01-06,2026-01-05,11090.0,10647.0,-0.054062937166308944,-1292600.8241999983,-1,TRAIL_SL
204320,2026-01-06,2026-01-06,62100.0,58410.0,-0.07325097014334359,-1748969.0459999978,0,TRAIL_SL
123410,2026-01-06,2026-01-07,8150.0,8073.0,-0.024013348815521307,-574199.3235000013,1,TRAIL_SL
011210,2026-01-06,2026-01-08,76400.0,85860.0,0.10729683757149244,2565986.9820000054,2,TRAIL_SL
011070,2026-01-06,2026-01-09,274500.0,260550.0,-0.06477681952554304,-1539126.0900000003,3,TRAIL_SL
058470,2026-01-06,2026-01-09,65000.0,61470.0,-0.0682135503840422,-1628885.8650000002,3,TRAIL_SL
