ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_amount,hold_days,exit_reason,source
003960,2024-06-14,2024-06-14,47450.0,54208.0,0.12562492586386598,4181755.0742000053,0,CORE_TRAIL,CORE
035150,2024-06-14,2024-06-17,13900.0,13842.4,-0.018787372724770934,-626089.4534399975,1,CORE_TRAIL,CORE
108380,2024-06-14,2024-06-17,15080.0,14027.2,-0.08349216564479411,-2547163.977599996,1,CORE_TRAIL,CORE
026890,2024-06-14,2024-06-24,10770.0,10093.6,-0.076585008955254,-2552809.280999995,6,CORE_TRAIL,CORE
009240,2024-06-14,2024-06-24,52700.0,58608.0,0.09575338289731561,3189614.260800002,6,CORE_TRAIL,CORE
103140,2024-06-14,2024-06-26,57800.0,62480.0,0.0650738366706376,2165429.5520000043,8,CORE_TRAIL,CORE
104700,2024-06-14,2024-06-27,10260.0,9785.6,-0.06026233769000511,-2008195.9189599943,9,CORE_TRAIL,CORE
073240,2024-06-14,2024-07-09,6750.0,6151.2,-0.1021110868245294,-3403439.1837599985,17,CORE_TRAIL,CORE
010140,2024-06-14,2024-07-12,8900.0,9900.0,0.09600294713575241,3199985.579999998,20,CORE_REBAL,CORE
000810,2024-06-14,2024-07-12,329000.0,382000.0,0.14402100631608827,4769090.000000002,20,CORE_REBAL,CORE
175330,2024-06-14,2024-07-16,13350.0,14212.0,0.04891541311066083,1630018.1920000005,22,CORE_TRAIL,CORE
000660,2024-06-14,2024-07-18,225000.0,218680.0,-0.042380279295689105,-1410838.9679999992,24,CORE_TRAIL,CORE
014830,2024-07-15,2024-07-22,102400.0,93192.0,-0.10330404713114749,-3556129.2623999976,5,CORE_TRAIL,CORE
027360,2024-07-15,2024-07-22,2990.0,2767.6,-0.08799195862346254,-2334000.7891199985,5,CORE_TRAIL,CORE
017810,2024-07-15,2024-07-25,14530.0,13508.0,-0.08400738626320514,-2899404.903999997,8,CORE_TRAIL,CORE
280360,2024-07-15,2024-08-02,170100.0,165792.0,-0.03965829165100565,-1364734.4435999994,14,CORE_TRAIL,CORE
001680,2024-07-15,2024-08-02,26300.0,23540.0,-0.11810426146398201,-4076736.9279999933,14,CORE_TRAIL,CORE
051360,2024-07-15,2024-08-02,21400.0,18876.0,-0.13091404933353756,-4517272.821599998,14,CORE_TRAIL,CORE
138040,2024-06-14,2024-08-05,73000.0,75592.0,0.020280320383262218,675009.1392000001,36,CORE_TRAIL,CORE
105560,2024-06-14,2024-08-05,80400.0,81312.0,-0.0035279340999916364,-117336.22559999434,36,CORE_TRAIL,CORE
086790,2024-06-14,2024-08-05,59100.0,59664.0,-0.0053016005103879715,-176602.27199999557,36,CORE_TRAIL,CORE
035150,2024-07-15,2024-08-05,14260.0,12856.8,-0.11165861173062319,-3854256.4631999964,15,CORE_TRAIL,CORE
161890,2024-07-15,2024-08-05,61300.0,58960.0,-0.05231603062961865,-1804350.2619999954,15,CORE_TRAIL,CORE
