ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,exit_reason
065350,2024-01-09,2024-01-08,69100.0,62190.0,-0.11323397913561839,-1,SL_10PCT
080220,2024-01-09,2024-01-08,20150.0,18135.0,-0.11323397913561839,-1,SL_10PCT
253590,2024-01-09,2024-01-08,11900.0,10710.0,-0.11323397913561839,-1,SL_10PCT
290690,2024-01-09,2024-01-09,32260.0,29034.0,-0.11323397913561839,0,SL_10PCT
383930,2024-01-09,2024-01-10,19800.0,17820.0,-0.1132339791356185,1,SL_10PCT
425420,2024-01-09,2024-01-10,36650.0,32985.0,-0.11323397913561839,1,SL_10PCT
091440,2024-01-09,2024-01-12,13690.0,12321.0,-0.11323397913561828,3,SL_10PCT
321820,2024-01-09,2024-01-12,20050.0,18045.0,-0.1132339791356185,3,SL_10PCT
340360,2024-01-09,2024-01-12,2550.0,2295.0,-0.11323397913561839,3,SL_10PCT
066790,2024-01-09,2024-01-15,2150.0,1935.0,-0.1132339791356185,4,SL_10PCT
087010,2024-01-09,2024-01-15,32852.0,29566.8,-0.1132339791356185,4,SL_10PCT
110990,2024-01-09,2024-01-16,21200.0,19080.0,-0.11323397913561839,5,SL_10PCT
022100,2024-01-09,2024-01-22,61000.0,54900.0,-0.1132339791356185,9,SL_10PCT
229640,2024-01-09,2024-02-06,20300.0,18230.0,-0.115175448256285,20,ABS_MOM_NEG
025320,2024-01-09,2024-02-06,7548.0,7404.0,-0.03350179319321067,20,ABS_MOM_NEG
348370,2024-03-12,2024-03-11,268500.0,241650.0,-0.1132339791356185,-1,SL_10PCT
089030,2024-03-12,2024-03-11,26000.0,23400.0,-0.1132339791356185,-1,SL_10PCT
064800,2024-03-12,2024-03-11,3570.0,3213.0,-0.11323397913561839,-1,SL_10PCT
115450,2024-03-12,2024-03-11,8611.0,7749.900000000001,-0.11323397913561839,-1,SL_10PCT
025320,2024-03-12,2024-03-11,10225.0,9202.5,-0.1132339791356185,-1,SL_10PCT
066790,2024-03-12,2024-03-13,6020.0,5418.0,-0.1132339791356185,1,SL_10PCT
028300,2024-03-12,2024-03-13,99300.0,89370.0,-0.11323397913561839,1,SL_10PCT
041190,2024-03-12,2024-03-13,10780.0,9702.0,-0.11323397913561839,1,SL_10PCT
321820,2024-03-12,2024-03-22,15500.0,13950.0,-0.1132339791356185,8,SL_10PCT
405100,2024-03-12,2024-03-25,34300.0,30870.0,-0.11323397913561839,9,SL_10PCT
080220,2024-03-12,2024-03-26,26600.0,23940.0,-0.1132339791356185,10,SL_10PCT
039980,2024-03-12,2024-03-26,2630.0,2367.0,-0.11323397913561839,10,SL_10PCT
196170,2024-03-12,2024-04-05,177800.0,160020.0,-0.11323397913561839,18,SL_10PCT
253590,2024-03-12,2024-04-08,14110.0,12699.0,-0.1132339791356185,19,SL_10PCT
264850,2024-03-12,2024-04-09,7560.0,7070.0,-0.07856617173557057,20,REBALANCE
389020,2024-04-11,2024-04-09,109900.0,98910.0,-0.11323397913561839,-1,SL_10PCT
115450,2024-04-11,2024-04-12,12717.0,11445.300000000001,-0.11323397913561839,1,SL_10PCT
348370,2024-04-11,2024-04-15,363000.0,326700.0,-0.11323397913561839,2,SL_10PCT
066790,2024-04-11,2024-04-15,3645.0,3280.5,-0.11323397913561839,2,SL_10PCT
399720,2024-04-11,2024-04-19,101500.0,91350.0,-0.1132339791356185,6,SL_10PCT
051980,2024-04-11,2024-04-25,5400.0,4860.0,-0.11323397913561839,10,SL_10PCT
